producto,marca,formato,cantidad,precio,supermercado
Tarta de queso,Caprichoso,Tarrina,100 g,"1,15 €",Dia
Gelatina de fresa,Caprichoso,Pack,6 x 100 g,"0,99 €",Dia
Mousse de chocolate con leche,Caprichoso,Pack,4 x 60 g,"1,05 €",Dia
"Gelatina de fresa, limón y multifruta",Sueños,Pack,6 x 100 g,"0,99 €",Dia
Gelatina sabor fresa sin azúcar,Royal,Pack,4 x 90 g,"1,89 €",Dia
Cheesecake,Caprichoso,Pack,2 x 90 g,"1,65 €",Dia
Gelatina sabor frutas alto en proteínas,Dia Láctea,Pack,4 x 100 g,"1,25 €",Dia
Tiramisú,Caprichoso,Pack,2 x 90 g,"1,29 €",Dia
Carrot cake,Caprichoso,Pack,2 x 90 g,"1,49 €",Dia
Postre de torrija,Caprichoso,Pack,2 x 87 g,"1,79 €",Dia
Mousse de cacao alta en proteínas,Dia Láctea,Vaso,200 g,"1,29 €",Dia
Gelatina de arándanos,Royal,Pack,4 x 90 g,"1,79 €",Dia
Tocino de cielo,Caprichoso,Pack,2 x 100 g,"1,49 €",Dia
Postre lácteo serradura,Caprichoso,Pack,2 x 85 g,"1,49 €",Dia
Postre Mario Vaquerizo de chocolate con caramelo salado,Caprichoso,Pack,2 x 110 g,"1,99 €",Dia
Postre vegetal de chocolate,Vegedia,Vaso,150 g,"0,85 €",Dia
Postre vegetal de chocolate con cereza,Vegedia,Vaso,150 g,"0,85 €",Dia
Postre vegetal de mango y piña con bebida de coco,Vegedia,Vaso,150 g,"0,85 €",Dia
Postre vegetal de arándano con bebida de coco,Vegedia,Vaso,150 g,"0,85 €",Dia
Crema catalana tardicional,Pastoret,Tarrina,150 g,"1,95 €",Dia
