producto,marca,formato,cantidad,precio,supermercado
Yogur griego stracciatella,Fidias,Pack,6 x 125 g,"1,59 €",Dia
Yogur griego lima-limón,Danone,Pack,4 x 115 g,"1,49 €",Dia
Yogur griego natural azucarado,Fidias,Pack,6 x 125 g,"1,59 €",Dia
Yogur griego natural,Danone,Vaso,440 g,"1,49 €",Dia
Yogur griego natural,Fidias,Pack,6 x 125 g,"1,59 €",Dia
Yogur griego con fresa,Fidias,Pack,6 x 125 g,"1,85 €",Dia
Yogur griego,Fidias,Vaso,1 Kg,"2,45 €",Dia
Yogur griego con nueces,Fidias,Pack,4 x 125 g,"1,69 €",Dia
Yogur griego con lima y limón,Fidias,Pack,4 x 125 g,"1,69 €",Dia
Yogur griego natural con azúcar de caña,Fidias,Tarrina,1 kg,"2,45 €",Dia
Yogur griego con manzana y canela,Fidias,Pack,4 x 125 g,"1,89 €",Dia
Yogur griego con fresa,Fidias,Pack,4 x 125 g,"1,69 €",Dia
Yogur griego natural,Danone,Vaso,440 g,"1,49 €",Dia
Yogur griego con plátano y caramelo,Fidias,Pack,4 x 125 g,"1,75 €",Dia
Yogur griego lima-limón,Danone,Pack,4 x 115 g,"1,49 €",Dia
Yogur griego stracciatella,Oikos,Pack,4 x 110 g,"2,79 €",Dia
Yogur griego natural azucarado,Oikos,Pack,4 x 110 g,"2,79 €",Dia
Yogur griego natural,Oikos,Pack,4 x 110 g,"2,79 €",Dia
Yogur griego con caramelo,Oikos,Pack,2 x 110 g,"1,79 €",Dia
Yogur griego tarta de arándanos,Oikos,Pack,2 x 110 g,"1,79 €",Dia
Yogur griego con fresas,Oikos,Pack,4 x 110 g,"2,79 €",Dia
