producto,marca,formato,cantidad,precio,supermercado
Preparado de carne picada de cerdo y vacuno,Selección de Dia,bandeja,500 g,"3,99 €",Dia
Burger meat de pollo,Selección de Dia,bandeja,540 g,"3,99 €",Dia
Preparado de carne picada de vacuno,Selección de Dia,bandeja,500 g,"4,39 €",Dia
Preparado de carne picada de pavo y pollo,Selección de Dia,bandeja,365 g,"2,89 €",Dia
Burger meat de vacuno,Selección de Dia,bandeja,540 g,"4,89 €",Dia
Burger crispy chicken 2 unidades,Selección de Dia,bandeja,240 g,"2,15 €",Dia
Burger meat de cerdo y vacuno,Selección de Dia,bandeja,540 g,"4,19 €",Dia
Preparado de carne picada de cerdo,Selección de Dia,bandeja,500 g,"3,09 €",Dia
Burger meat de pollo y espinacas,Selección de Dia,bandeja,200 g,"2,00 €",Dia
Burger meat big new york,Selección de Dia,bandeja,340 g,"3,59 €",Dia
Preparado de carne picada de vacuno y cerdo,Selección de Dia,bandeja,900 g,"6,39 €",Dia
Preparado de carne picada de vacuno,Selección de Dia,bandeja,900 g,"6,99 €",Dia
Hamburguesa de vacuno ecológica,Selección de Dia,bandeja,240 g,"3,29 €",Dia
