producto,marca,formato,cantidad,precio,supermercado
Helado mini surtido,Hacendado,Caja,12 ud. (684 ml),"2,80 €",Mercadona
Helado sándwich de nata,Hacendado,Caja,8 ud. (800 ml),"2,00 €",Mercadona
Helado mini Boom  con cobertura blanda de pasta de avellana y galleta troceada,Hacendado,Caja,8 ud. (480 ml),"2,85 €",Mercadona
Helado crocan choc vainilla  con lengua sabor chocolate,Hacendado,Caja,6 ud. (450 ml),"2,45 €",Mercadona
Helado almendrado,Hacendado,Caja,6 ud. (720 ml),"2,75 €",Mercadona
Helado mini sándwich nata,Hacendado,Caja,6 ud. (480 ml),"2,30 €",Mercadona
Helado mini bombón almendrado,Hacendado,Caja,8 ud. (480 ml),"2,70 €",Mercadona
Helado sándwich super nata,Hacendado,Caja,6 ud. (870 ml),"2,70 €",Mercadona
Helado mini bombón  sin azúcares añadidos,Hacendado,Caja,8 ud. (456 ml),"2,60 €",Mercadona
Helado mini sándwich vainilla y cookie,Hacendado,Caja,6 ud. (510 ml),"2,80 €",Mercadona
Helado mini nocciola,Hacendado,Caja,8 ud. (480 ml),"2,90 €",Mercadona
Helado barrita sabor cacahuete  con cobertura de chocolate con leche,Hacendado,Caja,6 ud. (300 ml),"3,00 €",Mercadona
Helado sándwich de nata  sin azúcares añadidos,Hacendado,Caja,8 ud. (800 ml),"2,90 €",Mercadona
Helado Mochi coco,Hacendado,Caja,6 ud. (216 ml),"2,80 €",Mercadona
Helado mini galletas cacao,Hacendado,Caja,8 ud. (480 ml),"2,85 €",Mercadona
Helado mini chocolate,Hacendado,Caja,8 ud. (480 ml),"2,90 €",Mercadona
Helado barrita crema sabor coco  con cobertura de chocolate con leche,Hacendado,Caja,6 ud. (300 ml),"3,00 €",Mercadona
Helado vegetal mini a base de anacardo con crema de pistacho,Hacendado,Caja,4 ud. (326 ml),"2,95 €",Mercadona
Helado Mochi mango,Hacendado,Caja,6 ud. (216 ml),"2,80 €",Mercadona
Helado negro,Hacendado,Caja,6 ud. (720 ml),"2,75 €",Mercadona
Medios cocos helados,Hacendado,Caja,2 ud. (350 ml),"2,35 €",Mercadona
Helado vegetal mini triple chocolate a base de anacardo,Hacendado,Caja,4 ud. (326 ml),"2,95 €",Mercadona
Helado blanco,Hacendado,Caja,6 ud. (720 ml),"2,75 €",Mercadona
Helado mini bombón Biscuit  con galleta caramelizada,Hacendado,Caja,8 ud. (480 ml),"3,20 €",Mercadona
Helado mini sándwich choco cream,Hacendado,Caja,6 ud. (510 ml),"2,70 €",Mercadona
Helado Dochi cheesecake,Hacendado,Caja,6 ud. (216 ml),"3,00 €",Mercadona
Helado mini cucurucho nata,Hacendado,Caja,12 ud. (444 ml),"2,80 €",Mercadona
Helado cucurucho de vainilla,Hacendado,Caja,6 ud. (720 ml),"2,20 €",Mercadona
Helado cucurucho de nata,Hacendado,Caja,6 ud. (720 ml),"2,20 €",Mercadona
Helado mini cucurucho nata  sin azúcares añadidos,Hacendado,Caja,12 ud. (444 ml),"3,40 €",Mercadona
Helado cucurucho choco nata,Hacendado,Caja,6 ud. (720 ml),"2,20 €",Mercadona
Helado cucurucho fresa nata,Hacendado,Caja,6 ud. (720 ml),"2,20 €",Mercadona
Helado cucurucho vainilla caramelo con nueces pecán,Hacendado,Caja,8 ud. (560 ml),"3,00 €",Mercadona
Helado cucurucho de chocolate,Hacendado,Caja,6 ud. (660 ml),"3,40 €",Mercadona
Flash popitos,Hacendado,Paquete,15 ud. (1 L),"1,50 €",Mercadona
Mini helados,Hacendado,Caja,3 bolsitas (270 ml),"1,70 €",Mercadona
Helado lima limón,Hacendado,Caja,6 ud. (660 ml),"2,55 €",Mercadona
Helado fresa,Hacendado,Caja,6 ud. (660 ml),"2,55 €",Mercadona
Granizado de limón  sin azúcares añadidos,Hacendado,Pack,6 ud. x 200 ml,"2,70 €",Mercadona
Helado sabor chocolate,Hacendado,Caja,10 ud. (750 ml),"2,25 €",Mercadona
Granizado de limón,Hacendado,Pack,6 ud. x 200 ml,"2,60 €",Mercadona
Granizado de café,Hacendado,Pack,6 ud. x 200 ml,"3,10 €",Mercadona
Helado de fresa,Hacendado,Caja,10 ud. (750 ml),"2,25 €",Mercadona
Helado de naranja,Hacendado,Caja,10 ud. (750 ml),"2,05 €",Mercadona
Helado de limón,Hacendado,Caja,10 ud. (750 ml),"2,05 €",Mercadona
Helado sorbete de mango,Hacendado,Caja,10 ud. (750 ml),"2,25 €",Mercadona
Helado de vainilla,Hacendado,Tarrina,1 L,"2,30 €",Mercadona
Helado de chocolate,Hacendado,Tarrina,1 L,"2,90 €",Mercadona
Helado de leche merengada,Hacendado,Tarrina,1 L,"2,90 €",Mercadona
Helado nata montada,Hacendado,Bote,500 ml,"2,10 €",Mercadona
Helado turrón,Hacendado,Bote,500 ml,"3,05 €",Mercadona
Helado chocolate y cookies,Hacendado,Bote,500 ml,"2,85 €",Mercadona
Helado vainilla praliné con nueces pecán,Hacendado,Tarrina,950 ml,"3,25 €",Mercadona
Helado caramelo con salsa de caramelo salado y trozos de caramelo,Hacendado,Bote,500 ml,"3,05 €",Mercadona
Sorbete con limón,Hacendado,Tarrina,1 L,"2,35 €",Mercadona
Helado stracciatella,Hacendado,Tarrina,950 ml,"3,00 €",Mercadona
Helado capuccino,Hacendado,Tarrina,950 ml,"3,00 €",Mercadona
Helado vainilla y nueces de macadamia,Hacendado,Bote,500 ml,"2,85 €",Mercadona
Helado tarta de queso  con fresas,Hacendado,Bote,500 ml,"2,85 €",Mercadona
Helado sabor huevo de chocolate,Hacendado,Tarrina,950 ml,"3,25 €",Mercadona
Helado menta choco con trocitos sabor chocolate,Hacendado,Bote,500 ml,"2,85 €",Mercadona
"Helado 3 sabores  chocolate, vainilla y fresa",Hacendado,Tarrina,1 L,"2,15 €",Mercadona
Helado tutti frutti,Hacendado,Tarrina,1 L,"3,25 €",Mercadona
Helado vegetal de chocolate  con trozos de chocolate,Hacendado,Bote,500 ml,"3,05 €",Mercadona
"Helado +Proteínas sabor plátano con trozos de brownie  24,6 g proteínas",Hacendado,Bote,500 ml,"2,85 €",Mercadona
Helado nutticream,Hacendado,Bote,500 ml,"3,05 €",Mercadona
Helado Biscuit  sabor galleta caramelizada,Hacendado,Bote,500 ml,"3,05 €",Mercadona
Tarta helada nata y chocolate,Hacendado,Caja,1 L,"1,95 €",Mercadona
"Barra de helado sabor vainilla, chocolate y nata",Hacendado,Caja,10 raciones (1 L),"1,85 €",Mercadona
Tarta helada de limón,Hacendado,Caja,1 L,"2,15 €",Mercadona
Barra de helado turrón,Hacendado,Caja,10 raciones (1 L),"2,50 €",Mercadona
Obleas para helado,Hacendado,Paquete,24 ud. (52 g),"0,70 €",Mercadona
Tubitos bañados chocolate negro,Hacendado,Bote,150 g,"2,10 €",Mercadona
Tubitos,Hacendado,Bote,175 g,"2,00 €",Mercadona
