producto,marca,formato,cantidad,precio,supermercado
Bacon en tiras,Nuestra Alacena de Dia,bandeja,2 x 100 g,"1,68 €",Dia
Pechuga de pavo,Nuestra Alacena de Dia,sobre,2 x 200 g,"3,37 €",Dia
Jamón cocido extra,Nuestra Alacena de Dia,sobre,2 x 225 g,"3,45 €",Dia
Bacon,Nuestra Alacena de Dia,sobre,200 g,"1,99 €",Dia
Jamón cocido extra 97% carne,Nuestra Alacena de Dia,sobre,150 g,"1,53 €",Dia
Pechuga de pavo 90% carne,Nuestra Alacena de Dia,sobre,120 g,"2,19 €",Dia
Jamón de pavo,Nuestra Alacena de Dia,sobre,200 g,"1,48 €",Dia
Mortadela con aceitunas,Nuestra Alacena de Dia,sobre,250 g,"1,25 €",Dia
Mortadela,Nuestra Alacena de Dia,sobre,250 g,"1,25 €",Dia
Pechuga de pavo bajo en sal,Nuestra Alacena de Dia,sobre,200 g,"1,48 €",Dia
Jamón cocido extra,Elpozo 1954,sobre,150 g,"2,00 €",Dia
Jamón cocido extra bajo en sal,Nuestra Alacena de Dia,sobre,200 g,"1,99 €",Dia
Lacón ahumado,Nuestra Alacena de Dia,sobre,200 g,"2,29 €",Dia
Fiambre de pavo sándwich,Elpozo,bandeja,270 g,"2,00 €",Dia
Fiambre maxi york,Nuestra Alacena de Dia,sobre,400 g,"1,90 €",Dia
Jamón cocido,Elpozo,sobre,80 g,"1,00 €",Dia
Fiambre sándwich,Nuestra Alacena de Dia,sobre,250 g,"1,54 €",Dia
Mortadela,Bologna I.G.P. Selección Mundial de Dia,sobre,150 g,"1,99 €",Dia
Pechuga de pollo braseado,Nuestra Alacena de Dia,sobre,200 g,"2,15 €",Dia
Chopped pork,Nuestra Alacena de Dia,sobre,250 g,"1,39 €",Dia
Bacon,Oscar mayer,sobre,150 g,"2,29 €",Dia
Magro de cerdo cocido,Nuestra Alacena de Dia lata,bandeja,200 g,"2,35 €",Dia
Mortadela ibérica,Legado Ibérico,bandeja,150 g,"2,00 €",Dia
Pechuga de pavo,Elpozo,sobre,80 g,"1,00 €",Dia
Pechuga de pollo + proteínas,Elpozo Bienstar,sobre,130 g,"2,00 €",Dia
Pechuga de pavo + proteínas,Elpozo Bienstar,sobre,130 g,"2,00 €",Dia
Jamón cocido asado al horno,Argal Bonnatur,sobre,125 g,"2,19 €",Dia
Pechuga de pavo braseado,Campofrío,sobre,75 g,"1,00 €",Dia
Pechuga de pavo bajo en grasa y reducido en sal,Nuestra Alacena de Dia,bandeja,500 g,"3,89 €",Dia
Jamón cocido extra,Nuestra Alacena de Dia,sobre,200 g,"2,05 €",Dia
Fiambre de pavo,Nuestra Alacena de Dia,sobre,400 g,"2,75 €",Dia
Pavo trufado con pistachos,Serrano,sobre,150 g,"1,89 €",Dia
Jamón cocido extra braseado,Nuestra Alacena de Dia,sobre,150 g,"2,25 €",Dia
Chopped pork,Nuestra Alacena de Dia,bandeja,500 g,"2,25 €",Dia
Mortadela,Nuestra Alacena de Dia,bandeja,500 g,"2,15 €",Dia
Pechuga de pollo,Nuestra Alacena de Dia,sobre,200 g,"2,11 €",Dia
Pechuga de pavo braseado,Nuestra Alacena de Dia,sobre,200 g,"2,49 €",Dia
Panceta curada,Nuestra Alacena de Dia,sobre,150 g,"1,99 €",Dia
Jamón cocido extra sabor ahumado,Nuestra Alacena de Dia,sobre,250 g,"2,75 €",Dia
Pavo maxi,Nuestra Alacena de Dia,bandeja,900 g,"2,99 €",Dia
Chopped de pavo,Nuestra Alacena de Dia,sobre,200 g,"1,69 €",Dia
Mortadela de pavo,Nuestra Alacena de Dia,sobre,200 g,"1,59 €",Dia
Bacon en taco,Nuestra Alacena de Dia,bolsa,300 g,"2,89 €",Dia
Chopped lata,Nuestra Alacena de Dia,sobre,250 g,"1,99 €",Dia
Cabeza de jabalí,Nuestra Alacena de Dia,sobre,200 g,"1,99 €",Dia
Jamón york maxi,Nuestra Alacena de Dia,bandeja,800 g,"2,99 €",Dia
Paleta cocida,Nuestra Alacena de Dia,sobre,250 g,"2,65 €",Dia
Jamón de pavo con trufa y boletus,Elpozo,sobre,120 + 20 g,"2,00 €",Dia
Mortadela ahumada,Mrm,sobre,200 g,"2,29 €",Dia
Lacón en tapas,Mrm,bandeja,200 g,"4,09 €",Dia
Pechuguitas de pollo asada,La carloteña,bandeja,100 g,"2,09 €",Dia
Pechuga de pavo,Elpozo Bienstar,sobre,115 g,"1,50 €",Dia
Chopped pork,Campofrío,sobre,95 g,"1,00 €",Dia
Mortadela clásica,Campofrío,sobre,95 g,"1,00 €",Dia
Fiambre de york,Elpozo,sobre,300 g,"2,00 €",Dia
