producto,marca,formato,cantidad,precio,supermercado
Jamón de cebo ibérico 50%,Nuestra Alacena de Dia,bandeja,90 g,"4,64 €",Dia
Paleta de cebo ibérica 50%,Nuestra Alacena de Dia,bandeja,100 g,"4,99 €",Dia
Jamón Serrano,Nuestra Alacena de Dia,bandeja,200 g,"3,65 €",Dia
MEDIAS LONCHAS Jamón Serrano,Nuestra Alacena de Dia,bandeja,100 g,"1,66 €",Dia
LONCHAS EXTRAFINAS Jamón Serrano,Nuestra Alacena de Dia,bandeja,120 g,"2,45 €",Dia
PÉTALOS Jamón Serrano 50% Duroc,Nuestra Alacena de Dia,sobre,80 g,"2,59 €",Dia
Paleta Curada,Nuestra Alacena de Dia,bandeja,200 g,"3,85 €",Dia
Paleta Curada 50% Duroc,Nuestra Alacena de Dia,bandeja,110 g,"2,59 €",Dia
Mini taquitos de jamón,Nuestra Alacena de Dia,bandeja,75 g,"2,21 €",Dia
Jamón curado,Elpozo,bandeja,80 g,"2,25 €",Dia
Jamón curado,Navidul,sobre,50 g,"1,10 €",Dia
Jamón curado,Elpozo,sobre,105 g,"2,00 €",Dia
Jamón serrano en taquitos,Navidul,bandeja,100 g,"2,00 €",Dia
Pizcas de jamón de cebo ibérico 50 %,Nuestra Alacena de Dia,bandeja,60 g,"1,99 €",Dia
Jamón curado bajo en sal,Navidul,sobre,50 g,"1,10 €",Dia
Jamón curado en taco,Nuestra Alacena de Dia,bolsa,300 g,"5,10 €",Dia
Paleta de cebo ibérica 50%,Elpozo,sobre,70 g,"3,49 €",Dia
Jamón serrano gran reserva 50% duroc,Boadas,sobre,100 g,"3,79 €",Dia
Jamón de cebo ibérico 50%,Elpozo,sobre,60 g,"3,49 €",Dia
Jamón bodega,Volatin,Pieza entera,6.5 Kg,"38,50 €",Dia
Jamón de cebo ibérico 50%,Manuel de Montejo,Pieza entera,8 Kg,"90,30 €",Dia
Jamón gran reserva,DIA,Pieza entera,8 Kg,"59,50 €",Dia
Jamón reserva cuatro estaciones,Navidul,Pieza entera,7 Kg,"62,30 €",Dia
