producto,marca,formato,cantidad,precio,supermercado
Lentejas cocidas,Vegecampo de Dia,frasco,400 g,"0,85 €",Dia
Lenteja castellana,Vegecampo de Dia,bolsa,1 Kg,"1,95 €",Dia
Lenteja roja,Vegecampo de Dia,bolsa,1 Kg,"1,89 €",Dia
Lenteja pardina,Luengo,bolsa,500 g,"1,95 €",Dia
Lenteja pardina,Luengo,bolsa,1 Kg,"3,79 €",Dia
Lentejas cocidas,Vegecampo de Dia,frasco,210 g,"0,75 €",Dia
Lenteja pardina,La Asturiana,bolsa,500 g,"2,45 €",Dia
Lenteja roja pelada,Luengo,bolsa,400 g,"2,39 €",Dia
Lenteja pardina cocida,Luengo,frasco,400 g,"1,45 €",Dia
Lenteja pardina,La Asturiana,bolsa,1 Kg,"4,75 €",Dia
