producto,marca,formato,cantidad,precio,supermercado
Vermouth rojo  reserva,Maronti,Botella,1 L,"3,60 €",Mercadona
Vermouth blanco,Maronti,Botella,1 L,"2,70 €",Mercadona
Vermouth bianco,Martini,Botella,1 L,"10,70 €",Mercadona
Vermouth rosso,Martini,Botella,1 L,"10,70 €",Mercadona
Vermouth rojo,Maronti,Botella,1 L,"2,70 €",Mercadona
Ginebra London Dry Gin,Larios,Botella,1 L,"11,85 €",Mercadona
Ginebra London Dry Gin,Beefeater,Botella,700 ml,"13,95 €",Mercadona
Ginebra Dry Gin,Seagram's,Botella,700 ml,"16,50 €",Mercadona
Ginebra London Dry Gin,Tanqueray,Botella,700 ml,"15,00 €",Mercadona
Ginebra strawberry Gin,Glivery,Botella,700 ml,"7,65 €",Mercadona
Ginebra sweet Gin Exotic,Glivery,Botella,700 ml,"7,65 €",Mercadona
Ginebra London Dry Gin  & Sons,Kingerly,Botella,700 ml,"6,25 €",Mercadona
Ginebra natural & soft 1185,Hacendado,Botella,700 ml,"6,25 €",Mercadona
Bebida espirituosa centenario,Terry,Botella,1 L,"9,50 €",Mercadona
Bebida espirituosa  de Baco,Convidado,Botella,1 L,"6,00 €",Mercadona
Brandy de Jerez solera reserva  de Baco,Convidado,Botella,700 ml,"5,90 €",Mercadona
Brandy de Jerez solera gran reserva  de Baco,Convidado,Botella,700 ml,"9,90 €",Mercadona
Whisky escocés,Ballantine's,Botella,700 ml,"12,95 €",Mercadona
Whisky escocés Red Label  Walker,Johnnie,Botella,700 ml,"14,50 €",Mercadona
Whisky escocés,J&B,Botella,700 ml,"11,95 €",Mercadona
Whisky escocés  Webb,James,Botella,700 ml,"6,00 €",Mercadona
Whisky,DYC,Botella,700 ml,"9,90 €",Mercadona
Whisky escocés Black Label  Walker,Johnnie,Botella,700 ml,"28,95 €",Mercadona
Licor de whisky Spice Macako picante,Hacendado,Botella,700 ml,"6,90 €",Mercadona
Ron añejo,Negrita,Botella,700 ml,"9,25 €",Mercadona
Ron blanco superior  Recompensa,La,Botella,700 ml,"5,25 €",Mercadona
dominicano añejo  Barceló,Ron,Botella,700 ml,"15,45 €",Mercadona
caribeño sabor coco Malibu,Ron,Botella,700 ml,"12,60 €",Mercadona
Elixir a base de ron  Recompensa,La,Botella,700 ml,"7,60 €",Mercadona
Ron añejo  Recompensa,La,Botella,700 ml,"5,95 €",Mercadona
Ron viejo  Recompensa,La,Botella,700 ml,"9,50 €",Mercadona
añejo palido  Montero,Ron,Botella,1 L,"14,90 €",Mercadona
Licor crema Irlandesa  Swan,Royal,Botella,700 ml,"6,00 €",Mercadona
Licor crema de fresa  Swan,Royal,Botella,700 ml,"6,95 €",Mercadona
Licor crema  Pazos,Puente,Botella,700 ml,"6,25 €",Mercadona
Licor crema choco avellana  Swan,Royal,Botella,700 ml,"6,25 €",Mercadona
Licor crema Caramel Biscuit  Swan,Royal,Botella,700 ml,"7,00 €",Mercadona
Bebida espirituosa a base de vodka  caramelo,Knebep,Botella,700 ml,"5,70 €",Mercadona
Vodka,Knebep,Botella,1 L,"6,70 €",Mercadona
Licor dulce  del mono,Anís,Botella,700 ml,"8,10 €",Mercadona
Licor de anís dulce  Mayor,Dama,Botella,700 ml,"5,75 €",Mercadona
Licor de hierbas  Pazos,Puente,Botella,700 ml,"6,10 €",Mercadona
Licor de limoncello,Franzini,Botella,700 ml,"6,85 €",Mercadona
Licor de hierbas,Jägermeister,Botella,700 ml,"14,50 €",Mercadona
Aguardiente de orujo  Pazos,Puente,Botella,700 ml,"7,10 €",Mercadona
Licor dulce  Del Patriarca,Amaretto,Botella,700 ml,"4,90 €",Mercadona
Ponche  de Baco,Convidado,Botella,700 ml,"6,30 €",Mercadona
Tequila Gold  Concepción,Santa,Botella,700 ml,"10,50 €",Mercadona
Pacharán,Oibar,Botella,1 L,"6,90 €",Mercadona
Licor mora sin alcohol,Pi.omka,Botella,700 ml,"2,80 €",Mercadona
