producto,marca,formato,cantidad,precio,supermercado
Chorizo extra,Nuestra Alacena de Dia,bandeja,2 x 100 g,"1,37 €",Dia
Fuet extra,Nuestra Alacena de Dia,bolsa,2 x 170 g,"3,59 €",Dia
Salchichón extra,Nuestra Alacena de Dia,bandeja,2 x 100 g,"1,76 €",Dia
Chorizo extra dulce,Nuestra Alacena de Dia,bolsa,270 g,"2,49 €",Dia
Lomo embuchado,Nuestra Alacena de Dia,bandeja,2 x 70 g,"2,63 €",Dia
Espetec extra,Casa Tarradellas,bolsa,180 g,"2,49 €",Dia
Salami extra,Nuestra Alacena de Dia,bandeja,200 g,"1,64 €",Dia
Espetec extra,Nuestra Alacena de Dia,bolsa,170 g,"2,19 €",Dia
Chorizo extra picante,Nuestra Alacena de Dia,bolsa,270 g,"2,49 €",Dia
Chorizo de pamplona extra,Nuestra Alacena de Dia,bandeja,5 g,"1,95 €",Dia
Chorizo y salchichón extra,Nuestra Alacena de Dia,bandeja,2 x 100 g,"2,39 €",Dia
Longaniza payés extra,Nuestra Alacena de Dia,bandeja,2 x 62 g,"2,07 €",Dia
Chorizo,Revilla,sobre,65 g,"1,00 €",Dia
Salchichón ibérico extra,Nuestra Alacena de Dia,bandeja,2 x 60 g,"1,99 €",Dia
Chorizo ibérico extra,Nuestra Alacena de Dia,bandeja,2 x 60 g,"1,99 €",Dia
Mini fuet,Campofrío,bolsa,50 g,"1,49 €",Dia
Longaniza imperial,Elpozo,bolsa,250 g,"2,95 €",Dia
Caña de lomo,Navidul,sobre,40 g,"1,10 €",Dia
Salchichón nobleza,Elpozo,bandeja,65 g,"1,00 €",Dia
Cabecero de lomo,Monells,bandeja,2 x 70 g,"2,79 €",Dia
Chorizo dulce,Palacios,bolsa,250 g,"3,79 €",Dia
Longaniza con pavo,Elpozo,bolsa,230 g,"2,95 €",Dia
Salchichón de,Vic Exentis,sobre,80 g,"2,25 €",Dia
Pétalos de salchichón extra 50%,Duroc Boadas,sobre,80 g,"2,09 €",Dia
Pétalos de lomo embuchado 50% duroc,Boadas,sobre,80 g,"2,35 €",Dia
Pétalos de chorizo extra 50% duroc,Boadas,sobre,80 g,"2,09 €",Dia
Lomo embuchado ya cortado,España e hijos,sobre,200 g,"3,75 €",Dia
Salchichón extra ya cortado,España e hijos,sobre,200 g,"2,59 €",Dia
Chorizo extra ya cortado,España e hijos,sobre,200 g,"2,59 €",Dia
Chorizo a la pimienta,Boadas,sobre,100 g,"1,99 €",Dia
Taquitos de chorizo,Revilla,bandeja,65 g,"1,00 €",Dia
Salchichón a la pimienta,Sola,bandeja,100 g,"1,85 €",Dia
Salchichón ibérico,Nuestra Alacena de Dia,bolsa,90 g,"2,30 €",Dia
Salchichón pavo extra,Nuestra Alacena de Dia,bandeja,2 x 75 g,"2,38 €",Dia
Lomo de cebo ibérico 50%,Nuestra Alacena de Dia,bandeja,80 g,"3,44 €",Dia
Chorizo ibérico,Nuestra Alacena de Dia,sobre,90 g,"2,30 €",Dia
Chorizo de pavo extra,Nuestra Alacena de Dia,bandeja,2 x 75 g,"2,38 €",Dia
Chorizo de león picante,Nuestra Alacena de Dia,bandeja,100 g,"1,99 €",Dia
Chorizo de león dulce,Nuestra Alacena de Dia,bandeja,100 g,"1,99 €",Dia
Chorizo de león picante,Nuestra Alacena de Dia,bolsa,320 g,"3,93 €",Dia
Chorizo de león dulce,Nuestra Alacena de Dia,bolsa,320 g,"3,93 €",Dia
Sobrasada,Elpozo,tarrina,250 g,"1,95 €",Dia
