producto,marca,formato,cantidad,precio,supermercado
Preparado de paella y sopa  ultracongelado,Hacendado,Paquete,685 g escurrido,"4,10 €",Mercadona
Gambón congelado,Hacendado,Granel,150 g aprox.,"1,49 €",Mercadona
Gambón grande congelado,Hacendado,Caja,2 kg,"17,90 €",Mercadona
Alistado mediano congelado,Hacendado,Granel,150 g aprox.,"4,34 €",Mercadona
Alistado mediano  congelado,Hacendado,Caja,1 kg aprox.,"27,95 €",Mercadona
Langostino crudo ultracongelado,Hacendado,Granel,150 g aprox.,"1,64 €",Mercadona
Langostino crudo  ultracongelado,Hacendado,Caja,1 kg,"10,25 €",Mercadona
Gamba arrocera  congelada,Hacendado,Granel,150 g aprox.,"2,24 €",Mercadona
Gamba blanca pequeña  congelada,Hacendado,Caja,1 kg aprox.,"13,95 €",Mercadona
Langostino cocido y pelado  ultracongelado,Hacendado,Bandeja,220 g escurrido,"4,75 €",Mercadona
Gamba pelada cruda tamaño mediano  ultracongelada,Hacendado,Paquete,360 g escurrido,"4,95 €",Mercadona
Langostino crudo y pelado  ultracongelado,Hacendado,Bandeja,220 g escurrido,"3,95 €",Mercadona
Camarón boreal cocido y pelado  ultracongelado,Hacendado,Paquete,200 g,"4,25 €",Mercadona
Gamba pelada cruda tamaño grande  ultracongelada,Hacendado,Paquete,360 g escurrido,"5,95 €",Mercadona
Colas de gambón crudo  congelado,Hacendado,Bandeja,250 g,"6,55 €",Mercadona
Palitos de surimi  ultracongelados,Hacendado,Paquete,32 ud. (600 g),"2,35 €",Mercadona
Carne de mejillón de Chile cocido  ultracongelado,Hacendado,Paquete,275 g escurrido,"2,40 €",Mercadona
Almeja  congelada,Hacendado,Paquete,450 g,"1,70 €",Mercadona
Caracoles precocidos  ultracongelados,Hacendado,Paquete,350 g,"2,95 €",Mercadona
