producto,marca,formato,cantidad,precio,supermercado
Zumo de melocotón y uva,Hacendado,Brick,1 L,"1,00 €",Mercadona
Zumo de melocotón y uva,Hacendado,Brick,6 mini bricks x 200 ml,"1,50 €",Mercadona
Bebida de melocotón  sin azúcares añadidos,Hacendado,Brick,1 L,"1,00 €",Mercadona
Bebida de melocotón  sin azúcares añadidos,Hacendado,Brick,6 mini bricks x 200 ml,"1,50 €",Mercadona
Zumo de piña y uva,Hacendado,Brick,1 L,"0,90 €",Mercadona
Zumo de piña y uva,Hacendado,Brick,6 mini bricks x 200 ml,"1,40 €",Mercadona
Bebida de piña  sin azúcares añadidos,Hacendado,Brick,1 L,"0,90 €",Mercadona
Bebida de piña  sin azúcares añadidos,Hacendado,Brick,6 mini bricks x 200 ml,"1,35 €",Mercadona
Zumo de piña,Hacendado,Brick,1 L,"1,25 €",Mercadona
Néctar de piña La Verja,Hacendado,Botella,"1,5 L","1,50 €",Mercadona
