producto,marca,formato,cantidad,precio,supermercado
Zumo de naranja recién exprimido,Hacendado,Botella,250 ml,"1,99 €",Mercadona
Zumo de naranja recién exprimido,Hacendado,Botella,500 ml,"2,99 €",Mercadona
Zumo de naranja recién exprimido,Hacendado,Botella,1 L,"4,79 €",Mercadona
Zumo pura naranja,Hacendado,Brick,1 L,"1,75 €",Mercadona
Zumo pura naranja,Hacendado,Brick,6 mini bricks x 200 ml,"2,80 €",Mercadona
Zumo pura naranja con pulpa,Hacendado,Brick,1 L,"1,75 €",Mercadona
Bebida de naranja  sin azúcares añadidos,Hacendado,Brick,1 L,"0,95 €",Mercadona
Bebida de naranja  sin azúcares añadidos,Hacendado,Brick,6 mini bricks x 200 ml,"1,75 €",Mercadona
Zumo de clementina selección,Hacendado,Brick,1 L,"1,70 €",Mercadona
Bebida Florida,Hacendado,Botella,2 L,"1,25 €",Mercadona
Zumo de naranja,Hacendado,Botella,1 L,"1,90 €",Mercadona
Zumo de naranja,Hacendado,Botella,330 ml,"1,00 €",Mercadona
