producto,marca,formato,cantidad,precio,supermercado
Copa de chocolate y nata,Caprichoso,Pack,4 x 115 g,"1,39 €",Dia
Flan de vainilla,Caprichoso,Pack,6 x 100 g,"0,99 €",Dia
Natillas sabor vainilla,Caprichoso,Pack,4 x 125 g,"1,05 €",Dia
Flan de huevo con caramelo,Caprichoso,Pack,4 x 100 g,"1,35 €",Dia
Natillas de vainilla con galleta,Caprichoso,Pack,4 x 125 g,"1,25 €",Dia
Natillas de chocolate,Caprichoso,Pack,4 x 125 g,"1,05 €",Dia
Flan de queso,Caprichoso,Pack,4 x 100 g,"1,99 €",Dia
Crema de chocolate con bizcocho,Caprichoso,Pack,4 x 125 g,"1,59 €",Dia
Natillas con galleta,Reina,Pack,4 x 125 g,"1,59 €",Dia
Natillas de vainilla,Danet,Pack,4 x 120 g,"1,99 €",Dia
Copa de vainilla con caramelo y nata,Caprichoso,Pack,4 x 115 g,"1,39 €",Dia
Crema bombón,Clesa,Pack,   4 x 125 g,"1,73 €",Dia
Flan de huevo Doble,Caprichoso,Pack,   4 x 100 g,"1,59 €",Dia
Flan de café,Caprichoso,Pack,4 x 120 g,"1,75 €",Dia
Flan de huevo al baño maría,Reina,Pack,6 x 100 g,"2,95 €",Dia
Copa de chocolate de nata,Danone,Pack,2 x 110 g,"1,59 €",Dia
Natillas sabor vainilla rico en proteínas,Dia Láctea,Pack,2 x 150 g,"1,89 €",Dia
Natillas de chocolate,Danet,Pack,4 x 120 g,"1,99 €",Dia
Natillas sabor chocolate rico en proteínas,Reina,Pack,4 x 125 g,"2,69 €",Dia
Natillas de vainilla sin azúcar,Reina,Pack,4 x 125 g,"1,75 €",Dia
Flan de huevo al baño maría,Dhul,Pack,4 x 110 g,"2,89 €",Dia
Natillas de vainilla alta en proteínas,Danone,Pack,4 x 120 g,"2,29 €",Dia
Flan de huevo rico en proteí­nas,Reina,Pack,2 x 160 g,"1,99 €",Dia
Natilla de chocolate alta en proteínas,Valio,Tarrina,180 g,"1,65 €",Dia
Natilla con sorpresa de chocolate y vainilla,Dairy for fun,Tarrina,70 g,"1,09 €",Dia
Crema bombón original,Clesa,Pack,4 x 125 g,"1,73 €",Dia
