producto,marca,formato,cantidad,precio,supermercado
Macarrón,Al Diante Dia,bolsa,1 Kg,"1,30 €",Dia
Espagueti,Al Diante Dia,bolsa,1 Kg,"1,30 €",Dia
Espirales tricolor,Al Diante Dia,bolsa,500 g,"0,80 €",Dia
Pasta de tiburones,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Tallarines,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Fideo cabellín,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Ñoquis bolitas de patata,Gallo,bolsa,400 g,"1,49 €",Dia
Tortiglioni,Selección Mundial de Dia,bolsa,500 g,"1,24 €",Dia
Macarrón,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Macarrón integral,Al Diante Dia,bolsa,500 g,"1,20 €",Dia
Fideuá,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Espagueti integral,Al Diante Dia,bolsa,500 g,"1,20 €",Dia
Espaguetis nº 3,Gallo,bolsa,450 g,"1,33 €",Dia
Pluma nº 6,Gallo,bolsa,450 g,"1,33 €",Dia
Hélices con tomate y espinacas,Gallo,bolsa,450 g,"1,70 €",Dia
Sopa maravilla,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Placas para lasaña,El pavo,caja,200 g,"1,43 €",Dia
Tortelloni de carne,Gallo,bolsa,200 g,"1,43 €",Dia
Fusilli,Selección Mundial de Dia,bolsa,500 g,"1,24 €",Dia
Pluma rayada n 5,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Tallarines,Gallo,bolsa,450 g,"1,33 €",Dia
Fideo nº 0,Gallo,bolsa,450 g,"1,33 €",Dia
Espagueti,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Fideo entrefino,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Placas para canelones,El pavo,caja,125 g,"1,25 €",Dia
Pasta penne rigate,Barilla,caja,500 g,"1,69 €",Dia
Espaguetis spaghettoni nº 7,Barilla,caja,500 g,"1,69 €",Dia
Placas para canelones precocidas,El pavo,caja,125 g,"1,43 €",Dia
Gnocchi de patata,La molisana,bolsa,500 g,"2,15 €",Dia
Pasta radiatori nº 73,La molisana,bolsa,500 g,"1,84 €",Dia
Pasta caserecce molisane nº 29,La molisana,bolsa,500 g,"1,84 €",Dia
Linguine nº 6,La molisana,bolsa,500 g,"1,84 €",Dia
Hélices 100% de garbanzo,Gallo,bolsa,250 g,"1,79 €",Dia
Pasta,Mickey and friends Disney Gallo,bolsa,300 g,"2,10 €",Dia
Espirales con remolacha sin gluten,Al Diante Dia,bolsa,250 g,"1,95 €",Dia
Espirales sin gluten,Al Diante Dia,bolsa,250 g,"1,95 €",Dia
Pasta tagliatelle con albahaca sin gluten,Al Diante Dia,bolsa,250 g,"1,95 €",Dia
Pasta tagliatelle sin gluten,Al Diante Dia,bolsa,250 g,"1,95 €",Dia
Fideo grueso,Al Diante Dia,bolsa,500 g,"0,82 €",Dia
Plumas nº 3,Gallo,bolsa,450 g,"1,33 €",Dia
Fideuá,Gallo,bolsa,450 g,"1,33 €",Dia
Pasta rigatoni nº31,La molisana,bolsa,500 g,"1,84 €",Dia
Pasta fresca rellena con ternera gallega,Gallo,bandeja,250 g,"2,82 €",Dia
Pasta fresca rellena con setas del bosque,Gallo,bandeja,250 g,"2,82 €",Dia
Pasta fresca rellena con jamón ibérico,Gallo,bandeja,250 g,"2,82 €",Dia
Hélices 100% de lenteja roja,Gallo,bolsa,250 g,"1,79 €",Dia
Espaguetis,Selección Mundial de Dia,bolsa,500 g,"1,24 €",Dia
Pasta penne,Selección Mundial de Dia,bolsa,500 g,"1,24 €",Dia
Pasta linguine nº 13,Barilla,caja,500 g,"1,69 €",Dia
Plumas rayadas,Gallo,bolsa,450 g,"1,33 €",Dia
Tortellini relleno de jamón y queso,Rana,bolsa,250 g,"2,95 €",Dia
Tortellini relleno de 4 quesos,Rana,bolsa,250 g,"2,95 €",Dia
Tortelloni de queso,Gallo,bolsa,200 g,"1,43 €",Dia
Pasta tortiglioni nº 83,Barilla,caja,500 g,"1,69 €",Dia
Pasta tagliatelle nido,Garofalo,bolsa,500 g,"2,79 €",Dia
Pasta radiatori,Garofalo,bolsa,500 g,"1,69 €",Dia
Pasta elicoidale,Garofalo,bolsa,500 g,"1,69 €",Dia
Pasta de estrellas,Gallo,bolsa,450 g,"1,33 €",Dia
Fideos sin gluten,Gallo,bolsa,450 g,"1,99 €",Dia
Espaguetis sin gluten,Gallo,bolsa,450 g,"2,00 €",Dia
Plumas sin gluten,Gallo,bolsa,450 g,"2,00 €",Dia
Espagueti nº 5,Barilla,caja,500 g,"1,69 €",Dia
Margaritas con tomate y espinacas,Gallo,bolsa,450 g,"1,70 €",Dia
Espagueti integral,Gallo,bolsa,450 g,"1,79 €",Dia
Fideo nº 1,Gallo,bolsa,450 g,"1,33 €",Dia
Fideo nº 4,Gallo,bolsa,450 g,"1,33 €",Dia
Tagliatelle al huevo,Al Diante Dia,bolsa,500 g,"1,35 €",Dia
Plumas rayadas integral,Gallo,bolsa,450 g,"1,79 €",Dia
Espaguetis al huevo,Gallo,bolsa,450 g,"1,67 €",Dia
