producto,marca,formato,cantidad,precio,supermercado
Filetes de merluza Argentina sin piel  ultracongelados,Hacendado,Paquete,600 g escurrido,"4,20 €",Mercadona
Rodaja de emperador  ultracongelado,Hacendado,Pieza,200 g aprox. escurrido,"3,18 €",Mercadona
Filetes de bacalao  ultracongelado,Maredeus,Paquete,375 g escurrido,"5,30 €",Mercadona
Tubo de pota argentina limpia congelado,Hacendado,Pieza,100 g aprox. escurrido,"1,29 €",Mercadona
Medallones de merluza  ultracongelados,Hacendado,Paquete,485 g escurrido,"3,65 €",Mercadona
Sepia limpia congelada,Hacendado,Pieza,400 g aprox. escurrido,"5,98 €",Mercadona
Filete de salmón rosado salvaje con piel  ultracongelado,Hacendado,Pieza,300 g aprox. escurrido,"3,58 €",Mercadona
Sepia limpia troceada  congelada,Hacendado,Paquete,360 g escurrido,"4,05 €",Mercadona
Calamar limpio troceado  congelado,Hacendado,Paquete,475 g escurrido,"5,10 €",Mercadona
Filetes de panga  ultracongelados,Hacendado,Paquete,900 g escurrido,"4,80 €",Mercadona
Lomos de merluza del cabo  ultracongelados,Hacendado,Caja,400 g,"4,25 €",Mercadona
Anguriñas de surimi  ultracongeladas,Hacendado,Bandeja,260 g,"2,30 €",Mercadona
Fritura de pescado  ultracongelada,Hacendado,Paquete,600 g escurrido,"5,45 €",Mercadona
Porciones de bacalao sin piel  ultracongelado,MareDeus,Paquete,600 g escurrido,"7,20 €",Mercadona
Rodaja de potón del Pacífico cocido  congelado,Hacendado,Paquete,475 g escurrido,"6,05 €",Mercadona
Rodaja de tintorera sin piel  ultracongelada,Hacendado,Pieza,450 g aprox. escurrido,"3,13 €",Mercadona
Porciones de merluza del cabo sin piel  ultracongeladas,Hacendado,Paquete,500 g,"4,60 €",Mercadona
Sepia limpia pequeña  congelada,Hacendado,Paquete,360 g escurrido,"4,00 €",Mercadona
Tacos de bacalao  ultracongelado,MareDeus,Paquete,400 g escurrido,"4,95 €",Mercadona
Pescadilla de merluza sin cabeza  ultracongelada,Hacendado,Paquete,1 kg escurrido,"5,00 €",Mercadona
Cola de rape del cabo  ultracongelada,Hacendado,Pieza,500 g aprox. escurrido,"8,48 €",Mercadona
Tiras de potón  congeladas,Hacendado,Paquete,400 g escurrido,"4,45 €",Mercadona
Tinta de sepia  congelada,Nortindal,Paquete,8 ud. (32 g),"2,05 €",Mercadona
Merluza del cabo sin cabeza  ultracongelada,Hacendado,Pieza,700 g aprox. escurrido,"4,86 €",Mercadona
Anillas de pota  congeladas,Hacendado,Paquete,360 g escurrido,"5,15 €",Mercadona
Pulpo crudo  congelado,Hacendado,Paquete,1 kg aprox.,"17,95 €",Mercadona
Chipirón puntilla  congelado,Hacendado,Paquete,450 g escurrido,"4,70 €",Mercadona
Lenguado negro entero  ultracongelado,Hacendado,Paquete,600 g escurrido,"7,70 €",Mercadona
Lomos de salmón sin piel y sin espinas  congelado,Hacendado,Paquete,2 ud. (250 g),"6,40 €",Mercadona
Migas de bacalao sin espinas y sin piel  ultra congeladas,MareDeus,Paquete,300 g escurrido,"3,85 €",Mercadona
Calamar patagónico pequeño  ultracongelado,Hacendado,Paquete,500 g escurrido,"4,50 €",Mercadona
Rodajas de atún de aleta amarilla  congelado,Hacendado,Bandeja,250 g aprox.,"4,24 €",Mercadona
Filetes de bacaladilla  ultracongelado,Hacendado,Paquete,500 g escurrido,"2,95 €",Mercadona
Croquetas de merluza  ultracongelados,Hacendado,Paquete,350 g,"2,10 €",Mercadona
Escalopines de rosada sin piel  ultracongelados,Hacendado,Paquete,500 g escurrido,"7,99 €",Mercadona
Filetes de merluza grandes sin piel  ultracongelados,Hacendado,Paquete,970 g escurrido,"9,90 €",Mercadona
Lomo de bacalao  ultracongelado,MareDeus,Paquete,390 g aprox.,"6,35 €",Mercadona
