producto,marca,formato,cantidad,precio,supermercado
Pizza jamón y queso,Hacendado,Pack,415 g,"2,50 €",Mercadona
Pizza jamón y queso familiar,Hacendado,Pack,600 g,"3,40 €",Mercadona
Pizza jamón y queso,Hacendado,Pack,2 ud. x 220 g,"2,90 €",Mercadona
Pizza barbacoa,Hacendado,Pack,415 g,"2,50 €",Mercadona
Pizza barbacoa familiar,Hacendado,Pack,600 g,"3,40 €",Mercadona
Pizza barbacoa,Hacendado,Pack,2 ud. x 220 g,"2,90 €",Mercadona
Pizza 4 quesos,Hacendado,Pack,410 g,"2,90 €",Mercadona
Pizza 4 quesos familiar,Hacendado,Pack,580 g,"3,40 €",Mercadona
Pizza 4 quesos,Hacendado,Pack,2 ud. x 210 g,"2,90 €",Mercadona
Pizza serrana,Hacendado,Pack,400 g,"2,90 €",Mercadona
Pizza carbonara,Hacendado,Pack,430 g,"2,90 €",Mercadona
Pizza carbonara familiar,Hacendado,Pack,600 g,"3,40 €",Mercadona
Pizza mediterránea,Hacendado,Pack,430 g,"2,90 €",Mercadona
Pizza pepperoni,Hacendado,Pack,410 g,"2,90 €",Mercadona
Pizza atún y bacón,Hacendado,Pack,415 g,"2,90 €",Mercadona
Pizza atún y bacón,Hacendado,Pack,2 ud. x 220 g,"2,90 €",Mercadona
Pizza pollo,Hacendado,Pack,430 g,"2,90 €",Mercadona
Pizza romana  con champiñones salteados,Hacendado,Pack,430 g,"2,90 €",Mercadona
Pizza margarita,Hacendado,Pack,340 g,"2,20 €",Mercadona
Pizza jamón y queso sin gluten y sin lactosa,Hacendado,Pack,420 g,"3,20 €",Mercadona
Pizza pollo y bacón,Hacendado,Pack,420 g,"2,90 €",Mercadona
Pizza Calzone con jamón cocido y queso,Hacendado,Caja,400 g,"3,80 €",Mercadona
Pizza Prosciutto  jamón y queso,Hacendado,Caja,400 g,"3,90 €",Mercadona
Pizza Formaggi  4 quesos,Hacendado,Caja,400 g,"3,90 €",Mercadona
Pizzas tomate y queso  ultracongeladas,Hacendado,Pack,2 ud. x 285 g,"2,40 €",Mercadona
Pizza boloñesa  ultracongelada,Hacendado,Pack,400 g,"2,60 €",Mercadona
Pizza Pepperoni barbacoa  ultracongelada,Hacendado,Pack,540 g,"3,50 €",Mercadona
Pizza masa fina 4 quesos  ultracongelada,Hacendado,Pack,390 g,"2,50 €",Mercadona
Pizza atún  ultracongelada,Hacendado,Pack,390 g,"2,60 €",Mercadona
Pizza masa fina jamón  ultracongelada,Hacendado,Pack,400 g,"2,50 €",Mercadona
Pizza americana rellena de cheddar  ultracongelada,Hacendado,Pack,540 g,"3,50 €",Mercadona
Pizza 4 quesos sin gluten y sin lactosa  ultracongelada,Hacendado,Pack,410 g,"3,10 €",Mercadona
Pizza masa fina carbonara  ultracongelada,Hacendado,Pack,390 g,"2,50 €",Mercadona
Pizza masa fina Barbacoa  ultracongelada,Hacendado,Pack,390 g,"2,50 €",Mercadona
Masa pizza fresca familiar,Hacendado,Paquete,400 g,"1,80 €",Mercadona
Bases de pizza artesanas extrafinas y crujientes  ultracongeladas,Hacendado,Paquete,3 ud. (420 g),"1,90 €",Mercadona
Bases de pizza sin gluten sin lactosa  ultracongeladas,Hacendado,Paquete,2 ud. (400 g),"4,00 €",Mercadona
Piadinas pan estilo italiano,Hacendado,Paquete,4 ud. (320 g),"2,10 €",Mercadona
Masa fresca pizza,Hacendado,Pack,2 paquetes x 260 g,"2,40 €",Mercadona
Masa fresca pizza de cereales y semillas,Hacendado,Pack,2 paquetes x 260 g,"2,60 €",Mercadona
Rosca jamón serrano y queso emmental,Hacendado,Pack,450 g,"3,50 €",Mercadona
Quiche verduras,Hacendado,Pack,390 g,"2,90 €",Mercadona
"Rosca lomo, bacón y queso emmental",Hacendado,Pack,480 g,"3,50 €",Mercadona
Quiche york y bacón,Hacendado,Pack,380 g,"2,90 €",Mercadona
"Focaccia con queso, romero y tomillo",Hacendado,Pack,2 ud. x 150 g,"1,80 €",Mercadona
