producto,marca,formato,cantidad,precio,supermercado
Pizzas tomate y queso  ultracongeladas,Hacendado,ud.,2 ud. x 285 g,"2,40 €",Mercadona
Pizza boloñesa  ultracongelada,Hacendado,ud.,400 g,"2,60 €",Mercadona
Pizza masa fina 4 quesos  ultracongelada,Hacendado,ud.,390 g,"2,50 €",Mercadona
Pizza atún  ultracongelada,Hacendado,ud.,390 g,"2,60 €",Mercadona
Pizza Pepperoni barbacoa  ultracongelada,Hacendado,ud.,540 g,"3,50 €",Mercadona
Pizza masa fina jamón  ultracongelada,Hacendado,ud.,400 g,"2,50 €",Mercadona
Pizza americana rellena de cheddar  ultracongelada,Hacendado,ud.,540 g,"3,50 €",Mercadona
Pizza 4 quesos sin gluten y sin lactosa  ultracongelada,Hacendado,ud.,410 g,"3,10 €",Mercadona
Pizza masa fina carbonara  ultracongelada,Hacendado,ud.,390 g,"2,50 €",Mercadona
Pizza masa fina Barbacoa  ultracongelada,Hacendado,ud.,390 g,"2,50 €",Mercadona
Bases de pizza artesanas extrafinas y crujientes  ultracongeladas,Hacendado,Paquete,3 ud. (420 g),"1,90 €",Mercadona
Bases de pizza sin gluten sin lactosa  ultracongeladas,Hacendado,Paquete,2 ud. (400 g),"4,00 €",Mercadona
