producto,marca,formato,cantidad,precio,supermercado
Lasaña boloñesa familiar,Hacendado,Bandeja,700 g,"4,80 €",Mercadona
Lasaña boloñesa,Hacendado,Bandeja,350 g,"2,65 €",Mercadona
Lasaña de espinacas y requesón,Hacendado,Bandeja,350 g,"3,00 €",Mercadona
Canelones de carne y boletus,Hacendado,Bandeja,350 g,"3,75 €",Mercadona
Lasaña de salmón y brócoli,Hacendado,Bandeja,350 g,"3,75 €",Mercadona
Spaghetti carbonara,Hacendado,Bandeja,280 g,"2,20 €",Mercadona
Macarrones con queso,Hacendado,Bandeja,280 g,"2,60 €",Mercadona
Arroz cocido basmati,Sabroz,Pack,2 vasitos x 125 g,"1,20 €",Mercadona
Arroz cocido integral,Sabroz,Pack,2 vasitos x 125 g,"1,15 €",Mercadona
Quinoa cocida blanca y roja,Sabroz,Pack,2 vasitos x 125 g,"1,50 €",Mercadona
Arroz cocido redondo,Sabroz,Pack,2 vasitos x 125 g,"1,15 €",Mercadona
Arroz de secreto ibérico con setas,Hacendado,Bandeja,280 g,"3,00 €",Mercadona
Pollo al curry  con arroz basmati,Hacendado,Bandeja,280 g,"2,85 €",Mercadona
Pollo asado,Hacendado,Paquete,1 kg aprox.,"5,20 €",Mercadona
Roti de pollo relleno de jamón y queso,Hacendado,Paquete,375 g,"3,00 €",Mercadona
Pollo asado troceado,Hacendado,Paquete,"1,3 kg aprox.","7,87 €",Mercadona
Codillo de cerdo asado,Hacendado,Paquete,1 kg aprox.,"6,50 €",Mercadona
Alitas de pollo asadas,Hacendado,Bote,500 g aprox.,"4,40 €",Mercadona
Muslo de pato confitado,Hacendado,Bandeja,300 g aprox.,"6,30 €",Mercadona
Albóndigas guisadas,Hacendado,Bandeja,275 g,"2,75 €",Mercadona
Costillas de cerdo a la barbacoa cortadas,Hacendado,Bote,500 g aprox.,"6,25 €",Mercadona
Migas,Hacendado,Bandeja,220 g,"1,70 €",Mercadona
Callos de cerdo Moreno Plaza,Hacendado,Paquete,500 g,"2,70 €",Mercadona
Pollo teriyaki,Hacendado,Bol,300 g,"5,00 €",Mercadona
Tortilla de patata y cebolla,Hacendado,Bandeja,600 g,"2,60 €",Mercadona
Tortilla de patata,Hacendado,Bandeja,600 g,"2,60 €",Mercadona
Fideos orientales Yakisoba classic,Gallina Blanca,Vaso,93 g,"1,95 €",Mercadona
Fideos orientales Yatekomo sabor pollo,Gallina Blanca,Pack,3 vasos x 60 g,"3,95 €",Mercadona
Fideos orientales Yatekomo sabor pollo,Gallina Blanca,Vaso,60 g,"1,55 €",Mercadona
Fideos orientales Yakisoba sabor soja,Hacendado,Vaso,80 g,"1,30 €",Mercadona
Pasta oriental sabor pollo,Maggi,Paquete,71 g,"0,90 €",Mercadona
Fideos orientales Yakisoba sabor soja,Hacendado,Paquete,90 g,"0,90 €",Mercadona
Fideos orientales sabor pollo,Hacendado,Vaso,65 g,"0,85 €",Mercadona
Fideos orientales sabor picante,Hacendado,Vaso,65 g,"1,00 €",Mercadona
Fideos orientales sabor ternera asada,Hacendado,Paquete,65 g,"0,75 €",Mercadona
Callos a la madrileña,Hacendado,Lata,380 g,"2,30 €",Mercadona
Fabada,Hacendado,Bote,420 g,"1,45 €",Mercadona
Fabada,Hacendado,Bote,860 g,"2,80 €",Mercadona
Lentejas a la riojana,Hacendado,Bote,420 g,"1,35 €",Mercadona
Lentejas a la jardinera,Hacendado,Bote,420 g,"1,15 €",Mercadona
Fabada asturiana Litoral,Hacendado,Bote,420 g,"2,50 €",Mercadona
Albóndigas en salsa,Hacendado,Bote,420 g,"1,70 €",Mercadona
Alubias a la jardinera,Hacendado,Bote,420 g,"1,15 €",Mercadona
Garbanzos a la riojana,Hacendado,Bote,420 g,"1,35 €",Mercadona
Garbanzos a la jardinera,Hacendado,Bote,420 g,"1,15 €",Mercadona
Cocido madrileño,Hacendado,Bote,420 g,"1,80 €",Mercadona
Albóndigas de pollo,Hacendado,Bote,420 g,"1,70 €",Mercadona
Alubias con tomate,Heinz,Bote,415 g,"1,50 €",Mercadona
Hamburguesa de ternera con bacon y queso,Hacendado,Caja,220 g,"2,65 €",Mercadona
Patatas bravas con mayonesa y salsa brava,Hacendado,Bandeja,490 g,"2,50 €",Mercadona
Hamburguesas vegetales  con berenjenas,Hacendado,Paquete,2 ud. (200 g),"2,40 €",Mercadona
Mini hamburguesas vegetales  con espinacas y zanahoria,Hacendado,Paquete,4 ud. (200 g),"2,40 €",Mercadona
Seitán,Hacendado,Paquete,250 g,"3,10 €",Mercadona
Empanados vegetales con proteína de soja Tivall,Tivall,Bandeja,2 ud. (180 g),"2,80 €",Mercadona
