producto,marca,formato,cantidad,precio,supermercado
Filetes de pechuga de pollo,Selección de Dia,bandeja,450 g aprox.,"3,51 €",Dia
Jamoncitos de pollo familiar,Selección de Dia,bandeja,800 g aprox.,"3,35 €",Dia
Longaniza de pollo,Selección de Dia,bandeja,400 g,"2,99 €",Dia
Pechuga de pollo entera formato familiar,Selección de Dia,bandeja,1.2 Kg aprox.,"8,39 €",Dia
Alas partidas de pollo,Selección de Dia,bandeja,600 g aprox.,"3,29 €",Dia
Cuartos traseros de pollo,Selección de Dia,bandeja,650 g aprox.,"2,27 €",Dia
Pechugas enteras de pollo,Selección de Dia,bandeja,500 g aprox.,"2,95 €",Dia
Albóndigas de pollo,Selección de Dia,bandeja,420 g,"3,79 €",Dia
Filetes de contramuslo de pollo,Selección de Dia,bandeja,500 g aprox.,"3,75 €",Dia
Filetes de pechuga de pollo corte fino,Selección de Dia,bandeja,450 g aprox.,"4,05 €",Dia
Pollo entero limpio,Selección de Dia,bandeja,1.9 Kg aprox.,"6,37 €",Dia
Alas de pollo adobadas,Selección de Dia,bandeja,450 g,"2,79 €",Dia
Filetes de pollo empanados,Selección de Dia,bandeja,400 g,"3,19 €",Dia
Filetes de pechuga de pollo a las finas hierbas,Selección de Dia,bandeja,450 g aprox.,"3,60 €",Dia
Solomillo de pollo,Selección de Dia,bandeja,400 g aprox.,"3,52 €",Dia
Cuarto trasero de pollo formato familiar,Selección de Dia,bandeja,1.2 Kg aprox.,"4,07 €",Dia
Solomillo de pollo empanado,Selección de Dia,bandeja,500 g aprox.,"4,75 €",Dia
Medio pollo troceado formato familiar,Selección de Dia,bandeja,800 g aprox.,"3,43 €",Dia
Pollo entero para asar,Selección de Dia,bandeja,2 Kg,"7,99 €",Dia
Pinchos de pollo rojo,Selección de Dia,bandeja,340 g,"3,79 €",Dia
