producto,marca,formato,cantidad,precio,supermercado
Queso mozzarella rallado,Dia Láctea,bolsa,200 g,"1,16 €",Dia
Queso mezcla 4 quesos rallado,Dia Láctea,bolsa,200 g,"1,83 €",Dia
Queso especial pasta en polvo,Dia Láctea,bolsa,150 g,"1,25 €",Dia
Rulo de queso de cabra,Dia Lactea,rulo,140 g,"1,65 €",Dia
Queso curado,El Cencerro de Dia,sobre,300 g,"3,45 €",Dia
Queso semicurado,El Cencerro de Dia,sobre,300 g,"3,03 €",Dia
Dados de queso especial ensalada,Dia Láctea,bolsa,100 g,"0,99 €",Dia
Queso tierno,El Cencerro de Dia,sobre,250 g,"2,39 €",Dia
Queso semicurado,El Cencerro de Dia,sobre,200 g,"1,84 €",Dia
Queso especial gratinar rallado,Dia Láctea,bolsa,200 g,"1,35 €",Dia
Queso de oveja curado,El Cencerro de Dia,sobre,250 g,"3,99 €",Dia
Queso tierno,El Cencerro de Dia,sobre,300 g,"2,89 €",Dia
Queso grana padano rallado,Selección Mundial de Dia,bolsa,100 g,"1,60 €",Dia
Queso curado cortado,El Cencerro de Dia,sobre,250 g,"3,89 €",Dia
Queso gouda rallado,Dia Láctea,bolsa,200 g,"1,44 €",Dia
Queso tierno de vaca,El Cencerro de Dia,sobre,250 g,"2,00 €",Dia
Queso emmental rallado,Dia Láctea,bolsa,200 g,"1,58 €",Dia
Queso tierno cortado,El Cencerro de Dia,sobre,250 g,"3,02 €",Dia
Queso madurado,Arzúa-Ulloa Cruceiro,sobre,550 g,"4,99 €",Dia
Queso mezcla añejo,El Cencerro de Dia,sobre,250 g,"3,55 €",Dia
Queso tierno de cabra,El Cencerro de Dia,bandeja,550 g,"7,79 €",Dia
Queso tierno,No encontrado,sobre,1 Kg,"8,05 €",Dia
Mezcla de 4 quesos,El caserío,bolsa,120 g,"2,59 €",Dia
Queso semicurado ya cortado,García Baquero,sobre,225 g,"3,99 €",Dia
Queso mezcla curado,Gran capitan,sobre,150 g,"3,00 €",Dia
Queso curado tostado mezcla,Gran capitan,sobre,200 g,"4,89 €",Dia
Queso semicurado,García Baquero,spbre,180 g,"2,99 €",Dia
Queso de tetilla,Cruceiro,sobre,550 g,"4,99 €",Dia
Medallones de queso de cabra,Dia Láctea,sobre,100 g,"1,65 €",Dia
Rulo de queso de vaca,Dia Lactea,sobre,140 g,"1,39 €",Dia
Queso de oveja viejo,Flor de esgueva,sobre,150 g,"3,79 €",Dia
Queso light rallado,Dia Láctea,bolsa,150 g,"1,59 €",Dia
Queso de oveja curado,El Cencerro de Dia,sobre,200 g,"3,55 €",Dia
Queso de oveja añejo,El Cencerro de Dia,sobre,250 g,"4,37 €",Dia
Queso semicurado,García Baquero,sobre,120 g,"2,00 €",Dia
Queso curado de oveja trufado,Vega sotuelamos,sobre,170 g,"4,99 €",Dia
Queso añejo de oveja al romero,Vega sotuelamos,sobre,170 g,"3,95 €",Dia
Queso semicurado de cabra,El Cencerro de Dia,sobre,200 g,"3,25 €",Dia
Queso semicurado cortado,El Cencerro de Dia,sobre,250 g,"3,41 €",Dia
Queso sin lactosa rallado,Dia Láctea,bolsa,150 g,"1,63 €",Dia
Queso tierno de cabra,El Cencerro de Dia,sobre,200 g,"2,85 €",Dia
Queso semicurado de oveja,El Cencerro de Dia,sobre,200 g,"2,99 €",Dia
Queso tierno reducido en sal,El Cencerro de Dia,sobre,160 g,"2,19 €",Dia
Queso semicurado,El Cencerro de Dia,sobre,930 g,"9,30 €",Dia
Queso curado mezcla,El Cencerro de Dia,sobre,860 g,"9,59 €",Dia
Queso rico en proteínas,Arla foods,bandeja,150 g,"2,49 €",Dia
Queso curado la cava barus,García Baquero,sobre,250 g,"4,79 €",Dia
Queso curado de oveja en aceite,El Cencerro de Dia,sobre,250 g,"3,99 €",Dia
Queso curado manchego,El Cencerro de Dia,sobre,250 g,"5,79 €",Dia
Queso parmigiano reggiano,Selección Mundial de Dia,tarrina,80 g,"1,99 €",Dia
Queso tierno light,El Cencerro de Dia,sobre,200 g,"2,41 €",Dia
Queso rallado en polvo,El caserío,bolsa,80 g,"1,40 €",Dia
