producto,marca,formato,cantidad,precio,supermercado
Queso fresco natural,Dia Láctea,tarrina,5 g,"1,04 €",Dia
Queso mozzarella fresca,Dia Láctea,bolsa,125 g,"0,99 €",Dia
Queso fresco natural,Dia Láctea,tarrina,2 x 250 g,"1,78 €",Dia
Queso fresco de vaca,El Cencerro de Dia,tarrina,250 g,"1,65 €",Dia
Queso burrata,Selección Mundial de Dia,tarrina,150 g,"2,20 €",Dia
Queso fresco 0% m.g,Dia Láctea,tarrina,5 g,"1,04 €",Dia
Queso fresco de cabra,El Cencerro de Dia,tarrina,250 g,"2,67 €",Dia
Queso fresco artesano,Vega e Hijos,tarrina,250 g,"2,78 €",Dia
Queso feta,Selección Mundial de Dia,bolsa,150 g,"2,35 €",Dia
Queso fresco 0% m.g,Dia Láctea,tarrina,2 x 250 g,"1,78 €",Dia
Mini queso mozzarella,Dia Láctea,tarrina,125 g,"1,69 €",Dia
Queso mozzarella,Galbani,bolsa,100 g,"1,39 €",Dia
Queso fresco batido rico en proteínas,Granja Rinya,tarrina,400 g,"1,89 €",Dia
Queso fresco natural,Burgo de Arias,tarrina,3 x 72 g,"2,99 €",Dia
Requesón,Granja rinya,tarrina,200 g,"0,99 €",Dia
Queso fresco sin lactosa,Dia Láctea,tarrina,5 g,"1,68 €",Dia
Tofu bio,Apologize,bandeja,300 g,"2,39 €",Dia
Queso mozzarella di bufala campana,Selección Mundial de Dia,tarrina,125 g,"1,69 €",Dia
Queso fresco protein plus,Burgo de Arias,tarrina,3 x 70 g,"1,99 €",Dia
Queso fresco light bajo en sal,El Cencerro de Dia,tarrina,250 g,"2,15 €",Dia
Queso fresco 0% m.g,Burgo de Arias,tarrina,3 x 72 g,"1,99 €",Dia
Queso mascarpone,Selección Mundial de Dia,tarrina,250 g,"2,55 €",Dia
Queso fresco latino,Tgt,bolsa,300 g,"3,49 €",Dia
Queso protein cottage,Arla foods,tarrina,200 g,"2,20 €",Dia
Queso fresco bajo en sal,Dia Láctea,tarrina,5 g,"1,39 €",Dia
