producto,marca,formato,cantidad,precio,supermercado
Queso fundido sándwich,Dia Láctea,bolsa,300 g,"1,19 €",Dia
Queso fundido en porciones,Dia Láctea,caja,375 g,"2,00 €",Dia
Crema con queso camembert,Dia Láctea,tarrina,125 g,"1,32 €",Dia
Queso de untar original,Philadelphia,tarrina,250 g,"2,68 €",Dia
Queso fundido light en porciones,Dia Láctea,caja,250 g,"1,49 €",Dia
Queso fundido burger con cheddar,Dia Láctea,bolsa,300 g,"1,75 €",Dia
Crema con queso semicurado,Dia Láctea,tarrina,125 g,"1,32 €",Dia
Crema con queso de cabra,Dia Láctea,tarrina,125 g,"1,32 €",Dia
Mini queso tierno snack,Babybel malla,malla,120 g,"2,74 €",Dia
Queso de untar original,Philadelphia,tarrina,350 g,"3,55 €",Dia
Queso de untar light,Philadelphia,tarrina,250 g,"2,68 €",Dia
Queso fundido original en porciones,La vaca que ríe,caja,250 g,"2,78 €",Dia
Queso fundido light,Dia Láctea,bolsa,300 g,"1,80 €",Dia
Queso fundido con palitos de pan,La vaca que ríe,caja,140 g,"2,39 €",Dia
Queso de untar con finas hierbas,Philadelphia,tarrina,150 g,"2,39 €",Dia
Queso de untar light,Philadelphia,tarrina,350 g,"3,55 €",Dia
Queso fundido,El caserío,bolsa,262 g,"2,55 €",Dia
Queso fundido light en porciones,La Vaca que ríe,caja,250 g,"2,78 €",Dia
Mousse de queso con nueces,President Bon délice,tarrina,125 g,"1,99 €",Dia
Crema de untar vegetal,Philadelphia,tarrina,145 g,"2,99 €",Dia
Queso fundido light,La Vaca que ríe,bolsa,263 g,"2,39 €",Dia
Queso fundido light en porciones,El caserío,caja,250 g,"2,40 €",Dia
