producto,marca,formato,cantidad,precio,supermercado
Queso gouda,Selección Mundial de Dia,sobre,240 g,"1,72 €",Dia
Queso brie,Selección Mundial de Dia,sobre,200 g,"1,60 €",Dia
Queso provolone con orégano,Selección Mundial de Dia,bolsa,150 g,"1,76 €",Dia
Queso edam,Selección Mundial de Dia,sobre,240 g,"1,60 €",Dia
Queso gouda,Selección Mundial de Dia,bandeja,400 g,"2,93 €",Dia
Queso curado italiano,Selección Mundial de Dia,bandeja,200 g,"2,79 €",Dia
Queso emmental,Selección Mundial de Dia,bolsa,250 g,"2,03 €",Dia
Queso camembert,Selección Mundial de Dia,tarrina,250 g,"1,83 €",Dia
Queso havarti,Selección Mundial de Dia,sobre,200 g,"2,49 €",Dia
Queso cheddar,Selección Mundial de Dia,sobre,200 g,"1,99 €",Dia
Queso mozzarella,Dia Láctea,sobre,200 g,"1,70 €",Dia
Queso parmigiano reggiano,Selección Mundial de Dia,bandeja,150 g,"3,45 €",Dia
Queso cheddar extra mature,Selección Mundial de Dia,bolsa,200 g,"2,19 €",Dia
Queso Gruyére,Selección Mundial de Dia,bolsa,200 g,"2,49 €",Dia
Queso havarti light,Selección Mundial de Dia,sobre,200 g,"2,49 €",Dia
Queso de untar blanco con piña,Castello,tarrina,125 g,"2,29 €",Dia
Queso emmental,Selección Mundial de Dia,sobre,200 g,"2,05 €",Dia
Queso gouda light,Selección Mundial de Dia,sobre,200 g,"1,99 €",Dia
Queso gouda sin lactosa,Selección Mundial de Dia,sobre,200 g,"1,99 €",Dia
Queso vegano mozzarella,Flax&kale,bolsa,130 g,"1,99 €",Dia
Queso vegano cheddar,Flax&kale,bandeja,130 g,"1,99 €",Dia
