producto,marca,formato,cantidad,precio,supermercado
Nuggets de pollo  ultracongelados,Hacendado,Paquete,500 g,"2,70 €",Mercadona
Croquetas de cocido  ultracongeladas,Hacendado,Paquete,350 g,"2,10 €",Mercadona
Delicias de pollo  ultracongeladas,Hacendado,Paquete,500 g,"3,75 €",Mercadona
San Jacobos empanados de york y queso  ultracongelados,Hacendado,Paquete,4 ud. (350 g),"1,25 €",Mercadona
Croquetas de jamón  ultracongeladas,Hacendado,Paquete,500 g,"1,25 €",Mercadona
Relleno para kebab con carne de pollo asado  ultracongelado,Hacendado,Paquete,300 g,"3,25 €",Mercadona
Nuggets de pavo  ultracongelados,Hacendado,Paquete,400 g,"3,20 €",Mercadona
Croquetas caprichos de jamón  ultracongeladas,Hacendado,Paquete,500 g,"3,00 €",Mercadona
Albóndigas de bacalao  congeladas,Camós,Paquete,400 g,"1,90 €",Mercadona
Aritos de surimi a la romana  ultracongelados,Pescanova,Paquete,625 g,"2,95 €",Mercadona
Merluza empanada pan fino  ultracongelada,Hacendado,Paquete,510 g,"3,95 €",Mercadona
Filetes de merluza al huevo  ultracongelados,Hacendado,Paquete,600 g,"4,95 €",Mercadona
Varitas de merluza empanadas  ultracongeladas,Hacendado,Paquete,400 g,"3,95 €",Mercadona
Empanadillas de atún  ultracongeladas,Hacendado,Caja,500 g,"1,90 €",Mercadona
Rabas empanadas  ultracongeladas,Hacendado,Paquete,500 g,"3,75 €",Mercadona
Anillas de pota a la romana  ultracongeladas,Hacendado,Paquete,500 g,"4,30 €",Mercadona
Muslitos de surimi  ultracongelados,Hacendado,Paquete,450 g,"2,60 €",Mercadona
Palitos de merluza a la romana  ultracongelados,Hacendado,Paquete,500 g,"2,75 €",Mercadona
Figuritas de merluza empanadas  ultracongeladas,Hacendado,Paquete,500 g,"3,60 €",Mercadona
Langostino caballitos rebozados  ultracongelados,Hacendado,Paquete,300 g,"3,30 €",Mercadona
Filetes de boquerón en tempura  ultracongelado,Hacendado,Paquete,400 g,"3,75 €",Mercadona
Tortillitas de camarones  ultracongeladas,Crabss,Bandeja,300 g,"2,75 €",Mercadona
Rollitos primavera  ultracongelados,Hacendado,Caja,6 rollitos (300 g),"1,60 €",Mercadona
Croquetas de espinacas  ultracongeladas,Hacendado,Paquete,350 g,"2,10 €",Mercadona
Fingers de queso  ultracongelados,Hacendado,Paquete,300 g,"2,40 €",Mercadona
Tequeños de queso  ultracongelados,Hacendado,Caja,480 g,"4,90 €",Mercadona
