producto,marca,formato,cantidad,precio,supermercado
Salchichas cocidas frankfurt con queso,Funky Frank de Dia,bolsa,4 x 140 g,"1,74 €",Dia
Salchichas cocidas frankfurt,Funky Frank de Dia,bolsa,4 x 160 g,"1,74 €",Dia
Salchichas cocidas Viena con queso ,Funky Frank de Dia,bolsa,3 x 200 g,"1,68 €",Dia
Salchichas cocidas frankfurt,Campofrío,bolsa,4 x 140 g,"2,25 €",Dia
Salchichas cocidas Viena de pollo,Funky Frank de Dia,bolsa,3 x 200 g,"1,72 €",Dia
Salchichas cocidas wieners,Oscar mayer,bolsa,200 g,"1,39 €",Dia
Salchichas cocidas súper,Funky Frank de Dia,bolsa,350 g,"1,79 €",Dia
Salchichas cocidas wieners con queso,Oscar mayer,bolsa,200 g,"1,39 €",Dia
Salchichas cocidas jumbo classic,Oscar mayer,bolsa,350 g,"2,45 €",Dia
Salchichas bockwurst,Selección Mundial de Dia,frasco,250 g,"2,59 €",Dia
Salchichas big pavo,Elpozo,bolsa,3 x 200 g,"2,50 €",Dia
Salchichas bockwurst,Selección Mundial de Dia,bolsa,270 g,"2,99 €",Dia
Salchichas cocidas Viena clásicas,Funky Frank de Dia,bolsa,3 x 200 g,"2,10 €",Dia
Salchichas cocidas jumbo con queso,Oscar mayer,bolsa,350 g,"2,45 €",Dia
Salchichas bratwurst,Selección Mundial de Dia,bolsa,270 g,"2,99 €",Dia
Salchichas frankfurt,Elpozo,bolsa,2 x 140 g,"1,00 €",Dia
Salchichas cocidas hot dog,Elpozo King,bolsa,275 g,"1,75 €",Dia
Salchichas veganas,Revolu green,bolsa,170 g,"2,79 €",Dia
Salchichas de pavo,Campofrío Cuida-T,bolsa,170 g,"0,85 €",Dia
Salchichas frankfurt de pavo,Campofrío,bolsa,3 x 140 g,"1,99 €",Dia
Salchichas meisterhand,Schara,bolsa,340 g,"3,95 €",Dia
Salchicha alemana cocktail,Selección Mundial de Dia,frasco,150 g,"2,35 €",Dia
Salchichas de pavo,Elpozo King,bolsa,330 g,"1,99 €",Dia
Salchichas cocidas frankfurt pikante,Schara,bolsa,170 g,"2,95 €",Dia
Salchichas cocidas bockwurst,Meica,frasco,250 g,"4,99 €",Dia
