producto,marca,formato,cantidad,precio,supermercado
Sangría,Casón Histórico,Botella,"1,5 L","1,60 €",Mercadona
Tinto de verano limón,Sandevid,Botella,"1,5 L","1,95 €",Mercadona
Tinto de verano zero limón,Casón Histórico,Botella,"1,5 L","1,15 €",Mercadona
"Tinto de verano 0,0% sin alcohol limón",Don Simón,Botella,"1,5 L","1,40 €",Mercadona
Tinto de verano sabor limón,Casón Histórico,Botella,"1,5 L","1,20 €",Mercadona
Tinto de verano classic,Casón Histórico,Botella,"1,5 L","1,20 €",Mercadona
Tinto de verano sabor limón,Casón Histórico,Pack,6 latas x 330 ml,"3,30 €",Mercadona
Tinto de verano sabor limón,Casón Histórico,Lata,330 ml,"0,55 €",Mercadona
Tinto de verano zero limón  0% alcohol 0% azúcares,Casón Histórico,Pack,6 latas x 330 ml,"3,30 €",Mercadona
Tinto de verano zero limón  0% alcohol 0% azúcares,Casón Histórico,Lata,330 ml,"0,55 €",Mercadona
Tinto de verano sabor limón,La Casera,Pack,"2 botellas x 1,5 L","4,50 €",Mercadona
Tinto de verano sabor limón,La Casera,Botella,"1,5 L","2,30 €",Mercadona
