producto,marca,formato,cantidad,precio,supermercado
Mix de frutos rojos  ultracongeladas,Hacendado,Paquete,300 g,"1,50 €",Mercadona
Fresas enteras  ultracongeladas,Hacendado,Paquete,300 g,"1,64 €",Mercadona
Arándanos enteros  ultracongelados,Hacendado,Paquete,300 g,"1,97 €",Mercadona
Ensaladilla  ultracongelada,Hacendado,Paquete,1 kg,"1,30 €",Mercadona
Garrofón  ultracongelado,Hacendado,Paquete,450 g,"1,50 €",Mercadona
Garbanzo  ultracongelado,Hacendado,Paquete,450 g,"1,30 €",Mercadona
Guisante muy tierno  ultracongelado,Hacendado,Paquete,300 g,"1,01 €",Mercadona
Guisante fino  ultracongelado,Hacendado,Paquete,1 kg,"1,60 €",Mercadona
Judía verde plana  ultracongelada,Hacendado,Paquete,1 kg,"1,55 €",Mercadona
Cebolla troceada  ultracongelada,Hacendado,Paquete,450 g,"1,10 €",Mercadona
Judía verde redonda  ultracongelada,Hacendado,Paquete,1 kg,"1,55 €",Mercadona
Ajo tierno  ultracongelado,Hacendado,Paquete,300 g,"1,97 €",Mercadona
Alcachofa troceada  ultracongelada,Hacendado,Paquete,400 g,"2,55 €",Mercadona
Espinaca en porciones  ultracongelada,Hacendado,Paquete,2 porciones (450 g),"0,96 €",Mercadona
Espinaca picada en porciones  ultracongelada,Hacendado,Paquete,500 g,"1,25 €",Mercadona
Menestra de verduras  ultracongelada,Hacendado,Paquete,1 kg,"1,65 €",Mercadona
"Relleno fajitas pollo, pimientos y cebolla  ultracongelado",Hacendado,Paquete,300 g,"1,95 €",Mercadona
Habitas muy tiernas  ultracongeladas,Hacendado,Paquete,300 g,"2,80 €",Mercadona
Haba fina  ultracongelada,Hacendado,Paquete,450 g,"1,15 €",Mercadona
Haba baby  ultracongelada,Hacendado,Paquete,450 g,"1,68 €",Mercadona
Salteado de setas  ultracongeladas,Hacendado,Paquete,450 g,"1,55 €",Mercadona
Pimiento rojo y verde  ultracongelado,Hacendado,Paquete,450 g,"1,30 €",Mercadona
Salteado de verduras asadas  ultracongeladas,Hacendado,Paquete,400 g,"1,85 €",Mercadona
Parrillada de verduras  ultracongeladas,Hacendado,Paquete,400 g,"1,55 €",Mercadona
Maíz dulce  ultracongelado,Hacendado,Paquete,400 g,"1,20 €",Mercadona
"Salteado de gambas, espárragos verdes, ajos tiernos, champiñón y cebolla  ultracongelado",Hacendado,Paquete,450 g,"2,90 €",Mercadona
Brócoli  ultracongelado,Hacendado,Paquete,1 kg,"2,05 €",Mercadona
Salteado de pollo  ultracongelado,Hacendado,Paquete,450 g,"2,15 €",Mercadona
Salteado de patata y salchicha  ultracongelado,Hacendado,Paquete,450 g,"1,90 €",Mercadona
Ajo troceado  ultracongelado,Hacendado,Paquete,150 g,"1,00 €",Mercadona
Pimientos del piquillo rellenos de bacalao  ultracongelados,Hacendado,Paquete,4 ud (185 g),"1,90 €",Mercadona
Tempura de verduras  ultracongelada,Hacendado,Paquete,400 g,"2,70 €",Mercadona
Pisto de verduras  ultracongelado,Hacendado,Paquete,450 g,"2,30 €",Mercadona
Zanahoria baby  ultracongelada,Hacendado,Paquete,400 g,"1,05 €",Mercadona
Rollitos primavera  ultracongelados,Hacendado,Caja,6 rollitos (300 g),"1,60 €",Mercadona
Croquetas de espinacas  ultracongeladas,Hacendado,Paquete,350 g,"2,10 €",Mercadona
"Coliflor, brócoli y zanahoria  ultracongelada",Hacendado,Paquete,1 kg,"2,10 €",Mercadona
Coles de Bruselas  ultracongeladas,Hacendado,Paquete,450 g,"1,55 €",Mercadona
Coliflor  ultracongelada,Hacendado,Paquete,1 kg,"2,05 €",Mercadona
Perejil troceado  ultracongelado,Hacendado,Paquete,75 g,"1,50 €",Mercadona
Edamame soja verde  ultracongelada,Hacendado,Paquete,500 g,"1,67 €",Mercadona
Wok de verduras asiático  ultracongelado,Hacendado,Paquete,600 g,"2,60 €",Mercadona
Wakame ensalada de alga marina  congelada,Hacendado,Paquete,125 g,"1,70 €",Mercadona
Espinacas a la crema  ultracongeladas,Hacendado,Paquete,450 g,"2,20 €",Mercadona
Salteado de verduras  ultracongelado,Hacendado,Paquete,600 g,"1,55 €",Mercadona
Migas de coliflor  ultracongeladas,Hacendado,Paquete,450 g,"1,70 €",Mercadona
Gyozas de pollo y verduras  congeladas,Hacendado,Paquete,10 ud. (230 g),"2,50 €",Mercadona
Patatas prefritas corte fino  ultracongeladas,Hacendado,Paquete,1 kg,"1,90 €",Mercadona
Patatas prefritas corte grueso  ultracongeladas,Hacendado,Paquete,2 kg,"3,15 €",Mercadona
Patatas prefritas gajo  ultracongeladas,Hacendado,Paquete,750 g,"1,90 €",Mercadona
Patatas prefritas Waffle fries Lambweston ultracongeladas,Lambweston,Paquete,600 g,"2,40 €",Mercadona
Patatas prefritas Twister fries Lambweston ultracongeladas,Lambweston,Paquete,600 g,"2,40 €",Mercadona
Patatas fritas horno y air fryer  ultracongeladas,Hacendado,Paquete,750 g,"2,00 €",Mercadona
