producto,marca,formato,cantidad,precio,supermercado
Vino blanco,Casón Histórico,Brick,1 L,"0,90 €",Mercadona
Vino blanco  chardonnay airén,Don Simón,Pack,3 mini bricks x 250 ml,"1,60 €",Mercadona
Bebida aromatizada a base de vino para cocinar,Abuela Carola,Botella,750 ml,"2,35 €",Mercadona
Vino blanco,Don Simón,Brick,1 L,"1,60 €",Mercadona
Vino blanco airén verdejo,Elegido,Botella,1 L,"2,00 €",Mercadona
Vino blanco D.O La Mancha,Fidencio,Botella,750 ml,"1,40 €",Mercadona
Vino blanco Chardonnay,Indómito,Botella,750 ml,"2,30 €",Mercadona
Vino blanco D.O Rioja,El Coto,Botella,750 ml,"4,15 €",Mercadona
Vino blanco albariño D.O Rías Baixas,Pazo de Orantes,Botella,750 ml,"6,00 €",Mercadona
Vino blanco D.O Valencia  dulce,Finca La Malcriada,Botella,750 ml,"2,60 €",Mercadona
Vino blanco D.O Somontano,Atardecer Chardonnay,Botella,750 ml,"3,60 €",Mercadona
Vino blanco verdejo D.O Rueda,Arribeño,Botella,750 ml,"1,90 €",Mercadona
Vino blanco verdejo D.O Rueda,Abadía Mantrús,Botella,750 ml,"2,10 €",Mercadona
Vino blanco D.O Rueda  Sauvignon Blanc,Abadía Mantrús,Botella,750 ml,"3,00 €",Mercadona
Vino blanco verdejo D.O Rueda,Condado de Teón,Botella,750 ml,"3,80 €",Mercadona
Vino blanco suave y afrutado,El Pescaito,Botella,750 ml,"2,10 €",Mercadona
Vino blanco semidulce  D.O Rioja,Diamante,Botella,750 ml,"4,30 €",Mercadona
Vino blanco semidulce,Allegretto Alba,Botella,750 ml,"2,00 €",Mercadona
Vino blanco afrutado El Mandamás The Guv'Nor,Marca no encontrada,Botella,750 ml,"2,35 €",Mercadona
Vino dulce Pedro Ximénez  D.O Jerez de la frontera,Real Tesoro,Botella,750 ml,"6,00 €",Mercadona
Mistela de moscatel  D.O Valencia,Mig Segle,Botella,750 ml,"3,60 €",Mercadona
Mosto tinto,Casón Histórico,Botella,"1,5 L","2,00 €",Mercadona
Vino dulce cream  D.O Jerez de la frontera,Real Tesoro,Botella,750 ml,"4,00 €",Mercadona
Vino fino Corredera D.O Montilla-Moriles,Marca no encontrada,Botella,750 ml,"2,85 €",Mercadona
Vino Oloroso  D.O Jerez de la frontera,Real Tesoro,Botella,750 ml,"4,30 €",Mercadona
Manzanilla MuyFina  D.O Sanlúcar de Barrameda,Barbadillo,Botella,750 ml,"4,35 €",Mercadona
Vino fino  D.O Montilla-Moriles,Conde de la Cortina Monumental,Caja,5 L,"10,15 €",Mercadona
Bebida refrescante aromatizada sin alcohol light,Castillo de Salobreña,Botella,1 L,"1,60 €",Mercadona
Bebida refrescante aromatizada tinto sin alcohol light,Castillo de Salobreña,Botella,1 L,"1,60 €",Mercadona
Vino dulce Pedro Ximénez  D.O Málaga,Panda Verdia,Botella,1 L,"6,40 €",Mercadona
