producto,marca,formato,cantidad,precio,supermercado
Vino tinto,Casón Histórico,Brick,1 L,"1,05 €",Mercadona
Vino tinto,Don Simón,Brick,1 L,"1,60 €",Mercadona
Vino tinto tempranillo,Elegido,Botella,1 L,"2,00 €",Mercadona
Vino tinto,Dominio de Borgia,Botella,2 L,"2,70 €",Mercadona
Vino tinto,Dominio de Borgia,Garrafa,5 L,"5,55 €",Mercadona
Vino tinto D.O Rioja  crianza,El Coto,Botella,750 ml,"6,30 €",Mercadona
Vino tinto D.O Rioja  cosecha,Comportillo,Botella,750 ml,"2,45 €",Mercadona
Vino tinto D.O Rioja  crianza,Cune,Botella,750 ml,"6,95 €",Mercadona
Vino tinto D.O Rioja  crianza,Comportillo,Botella,750 ml,"2,95 €",Mercadona
Vino tinto D.O Rioja  reserva,Comportillo,Botella,750 ml,"4,10 €",Mercadona
Vino tinto D.O Rioja  reserva,Coto de Imaz,Botella,750 ml,"8,60 €",Mercadona
Vino tinto D.O Rioja  crianza,Arteso,Botella,750 ml,"4,20 €",Mercadona
Vino tinto D.O La Mancha,Fidencio,Botella,750 ml,"1,45 €",Mercadona
Vino tinto D.O Valdepeñas  crianza,Viña Albali,Botella,750 ml,"2,70 €",Mercadona
Vino tinto D.O Valdepeñas  reserva,Pata Negra,Botella,750 ml,"2,75 €",Mercadona
Vino tinto D.O Valdepeñas  reserva,Viña Albali,Botella,750 ml,"3,70 €",Mercadona
Vino tinto D.O Valdepeñas  crianza,Señorío de los Llanos,Botella,750 ml,"2,25 €",Mercadona
Vino tinto D.O Valdepeñas  reserva tempranillo,Condado de Egara,Botella,750 ml,"2,00 €",Mercadona
Vino tinto D.O La Mancha  crianza,Fidencio,Botella,750 ml,"1,65 €",Mercadona
Vino tinto D.O Ribera del Duero  crianza,Abadía Mantrús,Botella,750 ml,"4,50 €",Mercadona
Vino tinto D.O Ribera del Duero  reserva,Abadía Mantrús,Botella,750 ml,"6,00 €",Mercadona
Vino tinto D.O Ribera del Duero  roble,Arribeño,Botella,750 ml,"3,65 €",Mercadona
Vino tinto D.O Campo de Borja  barrica,Borsao,Botella,750 ml,"2,25 €",Mercadona
Vino tinto dulce de aguja  Cueva peccato,Sangue di Giuda,Botella,750 ml,"3,90 €",Mercadona
Vino tinto tempranillo,El Mandamás The Guv'Nor,Botella,750 ml,"2,85 €",Mercadona
Vino tinto tempranillo  Fariña,Fin del Río,Botella,1 L,"2,30 €",Mercadona
Vino tinto D.O Toro  roble,Conquero,Botella,750 ml,"2,90 €",Mercadona
Vino tinto sin sulfitos añadidos  D.O. Navarra,Davida,Botella,750 ml,"3,90 €",Mercadona
Vino tinto Porto Tawny,Almeida Dias,Botella,750 ml,"7,00 €",Mercadona
Vino tinto Merlot,Mar de Uvas,Botella,750 ml,"2,40 €",Mercadona
Vino tinto Syrah,Mar de Uvas,Botella,750 ml,"2,35 €",Mercadona
Vino tinto D.O Cariñena  roble,Sierra de Viento,Botella,750 ml,"1,65 €",Mercadona
Vino tinto Caperucita tinta  suave,Torre Oria,Botella,750 ml,"1,95 €",Mercadona
Vino tinto Bobal,Para Pecar,Botella,750 ml,"2,90 €",Mercadona
Vino tinto tempranillo,Muñana Rojo,Botella,750 ml,"6,00 €",Mercadona
