producto,marca,formato,cantidad,precio,supermercado
Yogur natural edulcorado  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,6 ud. x 125 g,"1,10 €",Mercadona
Postre lácteo cremoso natural edulcorado  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,6 ud. x 125 g,"1,45 €",Mercadona
Postre lácteo con fresa +Proteínas  0% m.g 10 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,55 €",Mercadona
Yogur natural  0% m.g 0% sin azúcares,Hacendado,Pack,6 ud. x 125 g,"1,10 €",Mercadona
Postre lácteo con arándanos +Proteínas  0% m.g 10 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,55 €",Mercadona
Postre lácteo con fruta  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,8 ud. x 125 g,"2,05 €",Mercadona
Yogur sabores  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,8 ud. x 125 g,"1,70 €",Mercadona
Yogur sabor coco  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"0,95 €",Mercadona
Yogur sabor fresa  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"0,95 €",Mercadona
Yogur sabor limón  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"0,95 €",Mercadona
Yogur sin lactosa natural  0% m.g 0% sin azúcares añadidos,Hacendado,Pack,4 ud. x 125 g,"1,40 €",Mercadona
Postre lácteo con puré mango y maracuya +Proteínas  0% m.g 10 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,55 €",Mercadona
Postre lácteo natural +Proteínas  0% m.g 10 g proteínas,Hacendado,Bote,500 g,"1,35 €",Mercadona
Postre lácteo natural +Proteínas  0% m.g 12 g proteínas,Hacendado,Pack,4 ud. x 120 g,"1,35 €",Mercadona
Postre lácteo con stracciatella +Proteínas  0% m.g 12 g proteínas,Hacendado,Pack,4 ud. x 125 g,"1,55 €",Mercadona
