producto,marca,formato,cantidad,precio,supermercado
Yogur griego natural,Hacendado,Pack,6 ud. x 125 g,"1,60 €",Mercadona
Yogur griego stracciatella,Hacendado,Pack,6 ud. x 125 g,"1,90 €",Mercadona
Yogur griego sabor fresa  sin trozos,Hacendado,Pack,6 ud. x 125 g,"1,85 €",Mercadona
Yogur griego natural,Hacendado,Bote,1 kg,"2,45 €",Mercadona
Yogur griego con fresa,Hacendado,Pack,4 ud. x 125 g,"1,70 €",Mercadona
Yogur griego natural  con azúcar de caña,Hacendado,Pack,6 ud. x 125 g,"1,65 €",Mercadona
Yogur griego con mango,Hacendado,Pack,4 ud. x 125 g,"1,70 €",Mercadona
Yogur griego ligero natural  2% m.g,Hacendado,Bote,1 kg,"2,45 €",Mercadona
Yogur griego ligero natural,Hacendado,Pack,6 ud. x 125 g,"1,60 €",Mercadona
Yogur griego sabor limón,Hacendado,Pack,6 ud. x 125 g,"1,85 €",Mercadona
