producto,marca,formato,cantidad,precio,supermercado
Yogur líquido de fresa,Hacendado,Pack,12 mini botellas x 115 g,"2,30 €",Mercadona
Bebida láctea de fresa y plátano,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Yogur líquido desnatado de Fresa  0% m.g 0% sin azúcares añadidos,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Bebida láctea de fresa,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Bebida láctea de piña y coco,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Bebida láctea de frutas del bosque,Hacendado,Botella,"1,5 kg","2,05 €",Mercadona
Bebida láctea con fresa y plátano,Hacendado,Botella,"1,5 kg","2,05 €",Mercadona
Yogur líquido natural  con azúcar de caña,Hacendado,Pack,12 mini botellas x 115 g,"2,30 €",Mercadona
Yogur líquido desnatado Piña y Coco  0% m.g 0% sin azúcares añadidos,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Yogur líquido desnatado Frutos Silvestres  0% m.g 0% sin azúcares añadidos,Hacendado,Botella,1 kg,"1,45 €",Mercadona
Bebida láctea natural azucarada,Hacendado,Botella,"1,5 kg","2,05 €",Mercadona
Bebida láctea desnatada sabor fresa +Proteínas  0% m.g 20 g proteínas,Hacendado,Botella,280 g,"1,15 €",Mercadona
Batido lácteo sabor chocolate +Proteínas  26 g proteínas,Hacendado,Brick,330 ml,"1,30 €",Mercadona
Batido lácteo sabor vainilla +Proteínas  26 g proteínas,Hacendado,Brick,330 ml,"1,30 €",Mercadona
Bebida láctea desnatada sabor tropical +Proteínas  0% m.g 20 g proteínas,Hacendado,Botella,280 g,"1,15 €",Mercadona
Bebida láctea desnatada +Proteínas sabor açaí plátano  0% m.g 20 g proteínas,Hacendado,Botella,280 g,"1,15 €",Mercadona
Bebida láctea sabor coco +Proteínas  0% m.g 0% azúcar 11 g proteínas,Hacendado,Pack,4 botellas x 160 g,"2,20 €",Mercadona
Bebida láctea de fresa L-casei,Hacendado,Pack,12 mini botellas x 100 g,"2,35 €",Mercadona
Bebida láctea sabores L-casei,Hacendado,Pack,12 mini botellas x 100 g,"2,35 €",Mercadona
Bebida láctea natural azucarada L-casei,Hacendado,Pack,12 mini botellas x 100 g,"2,35 €",Mercadona
Bebida láctea de fresa Cuidacol 0% azúcares añadidos,Hacendado,Pack,8 mini botellas x 100 g,"2,60 €",Mercadona
Bebida láctea de fresa L-casei 0% m.g 0% azúcares añadidos,Hacendado,Pack,6 mini botellas x 100 g,"1,65 €",Mercadona
Bebida láctea natural Actimel,Actimel,Pack,12 mini botellas x 100 g,"6,00 €",Mercadona
Bebida láctea de fresa Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea natural Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea natural L-casei 0% m.g 0% azúcares añadidos,Hacendado,Pack,6 mini botellas x 100 g,"1,65 €",Mercadona
Bebida láctea tropical Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea natural Cuidacol 0% azúcares añadidos,Hacendado,Pack,8 mini botellas x 100 g,"2,60 €",Mercadona
Bebida láctea natural Actimel 0% m.g,Actimel,Pack,12 mini botellas x 100 g,"6,00 €",Mercadona
Bebida láctea de fresa Cuidacol 0% azúcares añadidos,Hacendado,Pack,8 mini botellas x 100 g,"2,60 €",Mercadona
Bebida láctea de fresa Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea natural Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea tropical Danacol 0% azúcares añadidos,Danone,Pack,10 mini botellas x 100 g,"5,45 €",Mercadona
Bebida láctea natural Cuidacol 0% azúcares añadidos,Hacendado,Pack,8 mini botellas x 100 g,"2,60 €",Mercadona
Bebida Kéfir de coco,Hacendado,Botella,250 g,"1,10 €",Mercadona
Bebida Kéfir natural  0% m.g,Hacendado,Botella,250 g,"0,90 €",Mercadona
Bebida Kéfir de fresa y plátano,Hacendado,Botella,250 g,"0,90 €",Mercadona
