producto,marca,formato,cantidad,precio,supermercado
Yogur natural,Hacendado,Pack,6 ud. x 125 g,"1,05 €",Mercadona
Yogur natural con azúcar de caña,Hacendado,Pack,6 ud. x 125 g,"1,05 €",Mercadona
Yogur natural ,Danone,Pack,8 ud. x 120 g,"2,00 €",Mercadona
Kéfir natural sabor suave,Danone,Bote,500 g,"1,30 €",Mercadona
Yogur natural de cabra,Hacendado,Pack,4 ud. x 125 g,"2,20 €",Mercadona
"Yogur sin lactosa  cremoso, natural y azucarado",Hacendado,Pack,4 ud. x 125 g,"1,55 €",Mercadona
Yogur sabores,Hacendado,Pack,16 ud. x 125 g,"2,60 €",Mercadona
Yogur sabor fresa,Hacendado,Pack,4 ud. x 125 g,"0,80 €",Mercadona
Yogur sabor limón,Hacendado,Pack,4 ud. x 125 g,"0,80 €",Mercadona
Yogur sabor macedonia,Hacendado,Pack,4 ud. x 125 g,"0,80 €",Mercadona
Yogur sabor fresa ,Danone,Pack,4 ud. x 120 g,"1,00 €",Mercadona
Yogur cremoso  con frutos silvestres,Hacendado,Bote,500 g,"1,20 €",Mercadona
Yogur cremoso  con melocotón y maracuya,Hacendado,Bote,500 g,"1,20 €",Mercadona
Yogur sabor macedonia ,Danone,Pack,4 ud. x 120 g,"1,00 €",Mercadona
Yogur sabor coco,Hacendado,Pack,4 ud. x 125 g,"0,80 €",Mercadona
Yogur con frutas,Hacendado,Pack,8 ud. x 125 g,"2,10 €",Mercadona
Yogur sabor limón ,Danone,Pack,4 ud. x 120 g,"1,00 €",Mercadona
Yogur sabor coco ,Danone,Pack,4 ud. x 120 g,"1,00 €",Mercadona
Yogur sabor plátano,Hacendado,Pack,4 ud. x 125 g,"0,80 €",Mercadona
Yogur sin lactosa sabor fresa,Hacendado,Pack,4 ud. x 125 g,"1,50 €",Mercadona
