producto,marca,formato,cantidad,precio,supermercado
Petit de bolsillo de fresa,Hacendado,Caja,4 ud. (360 g),"1,60 €",Mercadona
Danonino sabor fresa ,Danone,Pack,6 ud. x 50 g,"1,44 €",Mercadona
Danonino sabor fresa y plátano ,Danone,Pack,6 ud. x 50 g,"1,44 €",Mercadona
Petit sabores,Hacendado,Pack,12 ud. x 60 g,"1,50 €",Mercadona
Petit Nesquik,Nestlé,Pack,6 ud. x 60 g,"1,80 €",Mercadona
Postre lácteo infantil de fresa y plátano  +8 meses,Hacendado,Pack,1 ud. (100 g),"0,85 €",Mercadona
Postre lácteo infantil de fresa  +8 meses,Yogolino,Pack,4 ud. x 100 g,"2,95 €",Mercadona
Postre lácteo infantil de plátano  +6 meses,Yogolino,Pack,4 ud. x 100 g,"2,95 €",Mercadona
Postre lácteo infantil de natillas  +6 meses,Yogolino,Pack,4 ud. x 100 g,"3,35 €",Mercadona
Postre lácteo infantil de galleta  +8 meses,Hacendado,Pack,1 ud. (100 g),"0,85 €",Mercadona
