producto,marca,formato,cantidad,precio,supermercado
Yogur líquido natural,Actimel,Pack,12 x 100 g,"5,99 €",Dia
Bífidus desnatado con lima y limón,Activia,Pack,4 x 120 g,"2,99 €",Dia
Bebida láctea de fresa,Danacol,Pack,12 x 100 g,"7,29 €",Dia
Bífidus con avena y nueces,Activia,Pack,4 x 115 g,"2,59 €",Dia
Yogur líquido de fresa,L-Casei,Pack,12 x 100 g,"2,59 €",Dia
Yogur líquido de fresa y plátano/coco y piña,L-Casei,Pack,12 x 100 g,"2,59 €",Dia
Yogur líquido de fresa,Actimel,Pack,12 x 100 g,"5,99 €",Dia
Bebida láctea natural,Danacol,Pack,12 x 100 g,"7,29 €",Dia
Cremoso desnatado con nueces y cereales,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso con mango,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso desnatado con piña y coco,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso con fresa y nueces,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso lima y limón,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso desnatado con fresa,Bífidus,Pack,4 x 125 g,"1,39 €",Dia
Cremoso natural desnatado edulcorado,Bífidus,Pack,4 x 125 g,"1,09 €",Dia
Cremoso desnatado con melocotón,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso natural desnatado,Bífidus,Pack,8 x 125 g,"1,99 €",Dia
Cremoso sabor vainilla,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso natural,Bífidus,Pack,4 x 125 g,"1,09 €",Dia
Bífidus natural desnatado edulcorado,Activia,Vaso,8 x 120 g,"3,99 €",Dia
Bífidus desnatado con ciruelas,Activia,Vaso,480 g,"2,99 €",Dia
Bífidus desnatado con kiwi,Activia,Pack,4 x 120 g,"2,99 €",Dia
Cremoso con fibra y cereales,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Bebida láctea de fresa,Danacol,Pack,6 x 100 g,"4,49 €",Dia
Bífidus sabor mango y papaya con soja,Activia,Pack,4 x 120 g,"2,99 €",Dia
Bífidus natural,Activia,Pack,4 x 120 g,"2,69 €",Dia
Bífidus con pera,Activia,Pack,4 x 120 g,"2,99 €",Dia
Bífidus con frutos del bosque,Activia,Pack,4 x 120 g,"2,99 €",Dia
Yogur desnatado líquido natural,Actimel,Pack,6 x 100 g,"3,99 €",Dia
Bífidus natural desnatado,Activia,Pack,4 x 120 g,"2,79 €",Dia
Bífidus cremoso sabor fresa,Activia,Pack,4 x 115 g,"2,39 €",Dia
"Bífidus con coco, avena y nueces",Activia,Pack,4 x 115 g,"2,99 €",Dia
Bífidus natural desnatado,Activia,Pack,8 x 120 g,"3,99 €",Dia
Yogur desnatado líquido de fresa,Actimel,Pack,6 x 100 g,"3,99 €",Dia
Pudding sabor chocolate rico en proteínas,Yopro,Tarrina,180 g,"1,79 €",Dia
Yogur líquido natural,Actimel,Pack,6 x 100 g,"3,99 €",Dia
Pudding sabor caramelo rico en proteínas,Yopro,Tarrina,180 g,"1,79 €",Dia
Yogur desnatado líquido de fresa,L-Casei,Pack,12 x 100 g,"2,59 €",Dia
Cremoso desnatado con ciruela y kiwi,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso con manzanas asadas,Bífidus,Pack,4 x 125 g,"1,29 €",Dia
Cremoso desnatado con pera,Bífidus,Pack,4 x 125 g,"1,39 €",Dia
Bífidus desnatado con lima y limón,Activia,Pack,4 x 120 g,"2,99 €",Dia
Bífidus con avena y nueces,Activia,Pack,4 x 115 g,"2,59 €",Dia
Yogur líquido de fresa,Actimel,Pack,6 x 100 g,"3,99 €",Dia
Bífidus desnatado sabor vainilla,Activia,Vaso,4 x 120 g,"2,39 €",Dia
Bífidus desnatado sabor mango,Activia,Pack,4 x 115 g,"2,39 €",Dia
Bífidus desnatado sabor frutas silvestres,Activia,Pack,4 x 115 g,"2,39 €",Dia
Bífidus cremoso de lima-limón,Activia,Pack,4 x 115 g,"2,39 €",Dia
Bífidus natural azucarado,Activia,Pack,4 x 120 g,"2,79 €",Dia
Bífidus desnatado con frutos rojos,Activia,Vaso,480 g,"2,99 €",Dia
Yogur desnatado líquido natural,Actimel,Pack,12 x 100 g,"5,99 €",Dia
Bífidus desnatado con melocotón,Activia,Pack,4 x 120 g,"2,59 €",Dia
Bífidus con mango,Activia,Pack,4 x 120 g,"2,99 €",Dia
Bífidus natural desnatado edulcorado,Activia,Pack,4 x 120 g,"2,79 €",Dia
Bífidus natural,Activia,Pack,8 x 120 g,"3,99 €",Dia
Bebida láctea tropical,Danacol,Pack,6 x 100 g,"4,69 €",Dia
Yogur líquido de fresa y plátano,Actimel,Pack,8 x 100 g,"3,79 €",Dia
Bífidus con fresa,Activia,Pack,4 x 120 g,"2,99 €",Dia
