producto,marca,formato,cantidad,precio,supermercado
Yogur sabores,Dia Láctea,Pack,16 x 125 g,"2,69 €",Dia
"Yogur sabor coco, fresa, frutos del bosque y macedonia",Danone,Pack,8 x 120 g,"1,99 €",Dia
Yogur con frutas,Dia Láctea,Pack,8 x 125 g,"2,39 €",Dia
Yogur sabor macedonia,Danone,Pack,4 x 125 g,"1,00 €",Dia
Yogur líquido sabor fresa y plátano,Dia Láctea,Botella,1 Kg,"1,45 €",Dia
Yogur sabor fresa y plátano,Dia Láctea,Pack,8 x 125 g,"1,59 €",Dia
Yogur líquido sabor fresa,Dia Láctea,Botella,1 Kg,"1,45 €",Dia
Yogur sabor fresa,Danone,Pack,4 x 120 g,"1,00 €",Dia
"Yogur sabor fresa, macedonia, limón y galleta",Danone,Pack,8 x 120 g,"1,99 €",Dia
Yogur sabor coco,Dia Láctea,Pack,4 x 125 g,"0,79 €",Dia
"Yogur sabor coco, fresa, frutos del bosque y macedonia",Danone,Pack,8 x 120 g,"1,99 €",Dia
Yogur sabor limón,Danone,Pack,4 x 125 g,"1,00 €",Dia
Yogur sabor limón,Dia Láctea,Pack,4 x 125 g,"0,79 €",Dia
Yogur sabor galleta,Dia Láctea,Pack,4 x 125 g,"0,79 €",Dia
Yogur sabor fresa,Dia Láctea,Pack,4 x 125 g,"0,79 €",Dia
Yogur sabor plátano,Dia Láctea,Pack,4 x 125 g,"0,79 €",Dia
Yogur cremoso con stracciatella,Dia Láctea,Tarrina,1 Kg,"2,39 €",Dia
Yogur sabor macedonia,Danone,Pack,4 x 125 g,"1,00 €",Dia
Yogur cremoso con melocotón y maracuyá,Dia Láctea,Tarrina,1 Kg,"2,39 €",Dia
Yogur líquido sabor piña y coco,Dia Láctea,Botella,1 Kg,"1,45 €",Dia
Yogur líquido sabor melocotón y maracuyá,Dia Láctea,Botella,1 Kg,"1,45 €",Dia
Sabor fresa sin lactosa,Dia Láctea,Pack,4 x 125 g,"1,55 €",Dia
Yogur cremoso con cereza y granola,Dia Láctea,Vaso,230 g,"1,49 €",Dia
Yogur cremoso con naranja y granola,Dia Láctea,Vaso,230 g,"1,49 €",Dia
Yogur cremoso con fresa,Dia Láctea,Tarrina,1 Kg,"2,39 €",Dia
Yogur sabor vainilla desnatado enriquecido con proteínas,Yopro,Pack,2 x 160 g,"2,79 €",Dia
Yogur líquido con proteínas sabor fresa,Yopro,Botella,300 g,"2,49 €",Dia
Yogur líquido de fresa,Dia Láctea,Pack,4 x 180 g,"1,99 €",Dia
Yogur artesanal con frambuesa,Pastoret,Vaso,125 g,"0,89 €",Dia
Yogur líquido con proteínas sabor vainilla,Yopro,Botella,300 g,"2,49 €",Dia
Yogur desnatado líquido sabor fresa,Dia Láctea,Botella,1 Kg,"1,49 €",Dia
Yogur artesanal con melocotón y maracuyá,Pastoret,Vaso,125 g,"0,89 €",Dia
Yogur líquido sabor fresa y plátano,Dia Láctea,Pack,4 x 180 g,"1,99 €",Dia
Yogur sabor coco,Danone,Pack,4 x 125 g,"1,00 €",Dia
Yogur con fresa,Danone,Pack,2 x 130 g,"1,79 €",Dia
