producto,marca,formato,cantidad,precio,supermercado
Postre vegetal de soja sabor chocolate,Vegedia,Pack,4 x 100 g,"1,49 €",Dia
Postre vegetal de soja sabor vainilla,Vegedia,Pack,4 x 100 g,"1,49 €",Dia
Yogur natural de soja con coco,Alpro,Vaso,400 g,"2,29 €",Dia
Yogur de soja sabor vainilla,Alpro,Vaso,400 g,"2,29 €",Dia
Yogur de soja sabor arándanos y frutos rojos,Alpro,Pack,4 x 125 g,"2,59 €",Dia
Yogur de soja sabor mango,Alpro,Vaso,400 g,"2,59 €",Dia
Yogur de soja sabor frutos rojos,Alpro,Vaso,400 g,"2,59 €",Dia
Yogur natural con avena,Alpro,Vaso,400 g,"2,29 €",Dia
"Yogur de soja sabor melocotón, piña y fruta de la pasión",Alpro,Pack,4 x 125 g,"2,59 €",Dia
Yogur líquido de soja fresa tipo skyr alto en proteína,Alpro,Vaso,400 g,"2,59 €",Dia
Yogur vegetal de coco natural,Alpro,Tarrina,350 g,"2,59 €",Dia
Yogur de soja con arándanos,Alpro,Vaso,400 g,"2,29 €",Dia
Yogur líquido con proteínas sabor mango,Yopro,Botella,300 g,"2,49 €",Dia
Yogur líquido con proteínas sabor stracciatella,Yopro,Botella,300 g,"2,49 €",Dia
