producto,marca,formato,cantidad,precio,supermercado
Yogur desnatado con frutas,Dia Láctea,Pack,8 x 125 g,"2,25 €",Dia
Yogur desnatado de proteínas sabor stracciatella,Danone,Pack,4 x 100 g,"1,99 €",Dia
"Yogur desnatado sabor limón, fresa y piña",Dia Láctea,Pack,6 x 125 g,"1,39 €",Dia
Yogur desnatado de proteínas sabor fresa,Danone,Pack,4 x 100 g,"1,99 €",Dia
Yogur natural desnatado edulcorado,Dia Láctea,Pack,6 x 125 g,"1,09 €",Dia
Yogur natural desnatado,Dia Láctea,Pack,6 x 125 g,"1,09 €",Dia
Yogur natural desnatado rico en proteínas,Reina,Vaso,180 g,"0,89 €",Dia
Yogur desnatado de proteínas sabor stracciatella,Danone,Pack,4 x 100 g,"1,99 €",Dia
Yogur desnatado de proteínas sabor fresa,Danone,Pack,4 x 100 g,"1,99 €",Dia
Yogur desnatado sabor fresa,Vitalinea,Pack,4 x 125 g,"1,99 €",Dia
Yogur desnatado sabor limón,Vitalinea,Pack,4 x 125 g,"1,89 €",Dia
