producto,marca,formato,cantidad,precio,supermercado
Yogur de fresa líquido,Dia Láctea,Pack,12 x 100 g,"2,39 €",Dia
Petit de fresa líquido,Dia Láctea,Pack,4 x 80 g,"1,85 €",Dia
Yogur de fresa líquido,Danonino,Pack,4 x 70 g,"2,59 €",Dia
Petit de fresa,Dia Láctea,Pack,6 x 50 g,"0,95 €",Dia
Petit de fresa y plátano,Dia Láctea,Pack,6 x 50 g,"0,95 €",Dia
Petit de chocolate,Nesquik,Pack,6 x 60 g,"1,79 €",Dia
Petit de fresa y plátano,Danonino,Pack,6 x 50 g,"1,44 €",Dia
Yogur azucarado y galleta con chocolate blanco,Reina,Pack,2 x 143 g,"1,89 €",Dia
Yogur con fresas y grageas de chocolate con leche,Nestlé,Pack,2 x 128 g,"1,79 €",Dia
Yogur azucarado y trocitos de galleta con chocolate,Nestlé,Pack,2 x 115 g,"1,79 €",Dia
Petit de fresa,Danonino,Pack,6 x 50 g,"1,44 €",Dia
Petit de fresa y plátano,Dia Láctea,Pack,4 x 100 g,"1,25 €",Dia
Petit de fresa,Dia Láctea,Pack,4 x 100 g,"1,25 €",Dia
Maxi petit de fresa y plátano,Danonino,Pack,4 x 100 g,"2,11 €",Dia
