producto,marca,formato,cantidad,precio,supermercado
Yogur natural,Dia Láctea,Pack,8 x 125 g,"1,49 €",Dia
Yogur natural,Danone,Pack,4 x 120 g,"1,00 €",Dia
Yogur natural azucarado,Dia Láctea,Pack,8 x 125 g,"1,49 €",Dia
Yogur natural con azúcar de caña,Dia Láctea,Pack,8 x 125 g,"1,49 €",Dia
Yogur natural,Danone,Pack,8 x 120 g,"1,99 €",Dia
Yogur natural azucarado,Danone,Pack,8 x 120 g,"1,99 €",Dia
Yogur natural,Danone,Pack,4 x 120 g,"1,00 €",Dia
Yogur natural líquido con azúcar de caña,Dia Láctea,Botella,1 Kg,"1,49 €",Dia
Natural azucarado sin lactosa,Dia Láctea,Pack,4 x 125 g,"1,55 €",Dia
Yogur natural azucarado,Danone,Pack,4 x 120 g,"1,00 €",Dia
Yogur natural,Danone,Pack,2 x 130 g,"1,65 €",Dia
Yogur natural de cabra,Suerte Ampanera,Frasco,420 g,"3,15 €",Dia
