producto,marca,formato,cantidad,precio,supermercado
Mascarilla rizos perfectos,Imaqe de Dia,Frasco,300 ml,"3,99 €",Dia
Mascarilla plátano,Imaqe de Dia,Frasco,300 ml,"2,89 €",Dia
Acondicionador capilar,Noname,Botella,750 ml,"1,20 €",Dia
Acondicionador repara y protege,Pantene,Tubo,180 ml,"2,99 €",Dia
Mascarilla intensiva nutritiva,Babaria,Bote,400 ml,"3,55 €",Dia
Mascarilla repara y protege cabello dañado,Pantene,Frasco,300 ml,"4,29 €",Dia
Mascarilla suave y liso anti encrespamiento,Pantene,Frasco,300 ml,"4,29 €",Dia
Crema suavizante con keratina cabello seco o dañado,Flex,Botella,650 ml,"3,45 €",Dia
Acondicionador bifásico instantáneo hidratación,Anian,Spray,250 ml,"2,50 €",Dia
Mascarilla hidra ácido hialurónico,Elvive,Frasco,310 ml,"4,50 €",Dia
Mascarilla repara y revitaliza,Anian,Bote,350 ml,"3,30 €",Dia
Spray ondas surferas,Imaqe de Dia,Botella,200 ml,"2,45 €",Dia
Acondicionador suave y liso,Pantene,Tubo,180 ml,"2,99 €",Dia
Crema capilar nutri rizos sin aclarado,Fructis,Bote,400 ml,"5,49 €",Dia
Mascarilla cebolla y biotina,Anian,Bote,350 ml,"3,30 €",Dia
Crema suavizante repair 5 cabello dañado,Elvive,Bote,250 ml,"3,29 €",Dia
Acondicionador capilar karité,Vitarelle,Botella,400 ml,"2,90 €",Dia
Mascarilla oliva natural,Imaqe de Dia,Bote,300 ml,"2,95 €",Dia
Aceite oliva en crema sin aclarado cabello,Original Remedies,Bote,200 ml,"3,89 €",Dia
Aceite de argán capilar,Imaqe de Dia,Spray,100 ml,"4,45 €",Dia
Crema suavizante color vive cabello teñido,Elvive,Bote,250 ml,"3,29 €",Dia
Acondicionador adiós frizz miracles,Pantene,Tubo,160 ml,"3,99 €",Dia
Mascarilla capilar suave y liso,Tulipán Negro,Bote,400 ml,"4,90 €",Dia
Mascarilla capilar repara y protege,Tulipán Negro,Bote,400 ml,"4,90 €",Dia
Acondicionador bifásico instantáneo definición rizos,Anian,Spray,400 ml,"3,60 €",Dia
Crema capilar miel natural,Imaqe de Dia,Bote,200 ml,"2,20 €",Dia
Mascarilla aceite de argán,Ogx,Frasco,300 ml,"8,99 €",Dia
Crema sin aclarado magic flash,Revlon,Spray,200 ml,"4,49 €",Dia
Crema sin aclarado instant frizz control,Pantene,Frasco,70 ml,"7,99 €",Dia
Mascarilla repara y protege cabello dañado pack,Pantene,Frasco,600 ml,"8,49 €",Dia
Mascarilla reparadora con aceite argán,Herbal Essences,Frasco,450 ml,"7,99 €",Dia
Mascarilla intensiva protector de color,Babaria,Bote,400 ml,"3,55 €",Dia
Acondicionador tesoros de miel,Original Remedies,Bote,250 ml,"3,35 €",Dia
Mascarilla hair food papaya reparadora,Fructis,Frasco,390 ml,"6,49 €",Dia
Mascarilla hair food banana ultra nutritiva,Fructis,Frasco,390 ml,"6,49 €",Dia
Mascarilla capilar dream long,Elvive,Bote,300 ml,"4,79 €",Dia
Ampollas liso extremo 1 min,Pantene,Caja,3 unidades,"4,99 €",Dia
Acondicionador repara y protege 3 min,Pantene,Tubo,200 ml,"3,99 €",Dia
Polvo texturizante y volumen,Got2b,Frasco,10 g,"5,99 €",Dia
Pasta mate fijadora beach boy,Got2b,Frasco,100 ml,"4,95 €",Dia
Mascarilla adiós daños repara y fortifica,Fructis,Frasco,320 ml,"4,79 €",Dia
Mascarilla hidra rizos cabello rizo u ondulado,Fructis,Frasco,320 ml,"4,79 €",Dia
Mascarilla délicatesse todo tipo de cabello,Original Remedies,Frasco,300 ml,"4,69 €",Dia
Mascarilla oliva mítica,Original Remedies,Frasco,300 ml,"4,69 €",Dia
Mascarilla tesoros de miel,Original Remedies,Frasco,300 ml,"4,69 €",Dia
Serum antiencrespamiento extrafuerte,Frizz ease,Bote,50 ml,"12,99 €",Dia
Aceite seco repara y protege nutre las puntas,Pantene,Frasco,100 ml,"7,95 €",Dia
Ampollas rescate 1 min tratamiento intensivo,Pantene,Caja,3 unidades,"4,75 €",Dia
Mascarilla reconstructora rizos definidos,Pantene,Frasco,300 ml,"4,29 €",Dia
Aceite extraordinario,Elvive,Bote,100 ml,"9,99 €",Dia
Serum intensivo repara y protege cabello dañado,Pantene,Spray,75 ml,"6,95 €",Dia
Mascarilla capilar total repair,Elvive,Frasco,310 ml,"4,50 €",Dia
Mascarilla capilar color vive,Elvive,Frasco,310 ml,"4,50 €",Dia
