producto,marca,formato,cantidad,precio,supermercado
Maquinilla de afeitar 2 hojas,Imaqe de Dia,Bolsa,10 unidades,"2,15 €",Dia
Espuma de afeitar,Imaqe de Dia,Bote,250 ml,"1,95 €",Dia
Gel de afeitar clásico piel sensible,Gillette,Spray,200 ml,"3,29 €",Dia
Maquinilla de afeitar desechable  Blue II,Gillette,Bolsa,12 unidades,"5,95 €",Dia
Espuma de afeitar pieles sensibles,La toja,Spray,300 ml,"2,99 €",Dia
Maquinilla de afeitar desechable,Gillette,Blister,4 unidades,"5,79 €",Dia
Bálsamo after shave,Imaqe de Dia,Frasco,100 ml,"1,95 €",Dia
-Recambios maquinilla de afeitar 5 hojas,Imaqe de Dia,Caja,4 unidades,"5,55 €",Dia
Maquinilla de afeitar recargable 5 hojas,Imaqe de Dia,Caja,1 unidad,"5,70 €",Dia
Maquinilla de afeitar + 2 recambios  Mach3,Gillette,Caja,1 unidad,"10,99 €",Dia
Loción after shave,Imaqe de Dia,Frasco,100 ml,"1,95 €",Dia
Maquinilla desechable,Wilkinson,Bolsa,15 unidades,"6,79 €",Dia
Maquinilla desechable,Wilkinson,Bolsa,16 unidades,"12,19 €",Dia
Maquinilla desechable,Wilkinson,Blister,6 unidades,"6,79 €",Dia
Gel de afeitar,Imaqe de Dia,Bote,200 ml,"1,60 €",Dia
Maquinilla de afeitar recambio  Proglide Fusion,Gillette,Blister,3 unidades,"16,99 €",Dia
Maquinilla de afeitar recambio  Labs,Gillette,Blíster,3 unidades,"18,99 €",Dia
Recambios hojas de afeitar 2 filos,Imaqe de Dia,Blister,10 unidades,"1,79 €",Dia
Maquinilla de afeitar  Labs + estuche de viaje,Gillette,Estuche,1 unidad,"19,99 €",Dia
Maquinilla de afeitar  Proglide Fusion,Gillette,Blister,1 unidad,"13,15 €",Dia
Espuma de afeitar clásica,Gillette,Spray,200 ml,"2,99 €",Dia
Bálsamo after shave,Nivea,Frasco,100 ml,"5,99 €",Dia
