producto,marca,formato,cantidad,precio,supermercado
Azúcar blanco,Dia,Paquete,1 Kg,"1,45 €",Dia
Azúcar blanco,Azucarera,Paquete,1 Kg,"1,49 €",Dia
Edulcorante líquido,Dia,Botella,200 ml,"1,13 €",Dia
Azúcar moreno de caña integral,Azucarera,Brik,800 g,"1,85 €",Dia
Edulcorante,Dia,Bote,50 g,"1,15 €",Dia
Azúcar moreno de caña integral,Sidul,Bolsa,1 Kg,"1,95 €",Dia
Panela azúcar moreno de caña integral,Azucarera,Bolsa,500 g,"1,99 €",Dia
Azúcar moreno en s  caja,Dia,Sobre,300 g,"1,29 €",Dia
Azúcar blanco en s  caja,Dia,Sobre,300 g,"1,15 €",Dia
Edulcorante,Dia,Frasco,150 unidades,"1,79 €",Dia
Edulcorante en polvo,Dia,Bote,200 g,"3,10 €",Dia
Azúcar moreno integral en terrones,Azucarera,Caja,500 g,"1,79 €",Dia
Edulcorante en s  caja,Bonsweet,Sobre,102 unidades,"2,99 €",Dia
Sirope de ágave,Azucarera,Botella,360 g,"2,99 €",Dia
Azúcar moreno de caña integral,Azucarera,Brik,500 g,"1,29 €",Dia
Azúcar blanco en azucarillos,Azucarera,Caja,300 g,"1,25 €",Dia
Panela ecológica,Green panela,Bolsa,500 g,"2,49 €",Dia
Azúcar glacé,Dia,Bote,300 g,"1,56 €",Dia
Eritritol,Natur Wassy,Bolsa,200 g,"3,19 €",Dia
Edulcorante líquido,Dia,Botella,125 ml,"1,71 €",Dia
Azúcar blanco,Azucarera,Brik,800 g,"1,55 €",Dia
Edulcorante en comprimidos,Bonsweet,Caja,650 unidades,"1,89 €",Dia
Edulcorante granulado en s  caja,Natreen,Sobre,90 unidades,"4,25 €",Dia
Panela en s  caja,Azucarera,Sobre,240 g,"2,59 €",Dia
Azúcar moreno de caña,Azucarera,Bolsa,750 g,"2,49 €",Dia
Azúcar glacé seda,Azucarera,Bote,500 g,"2,65 €",Dia
Edulcorante,Natreen,Caja,400 unidades,"4,09 €",Dia
Azúcar moreno de caña en s  caja,Azucarera,Sobre,400 g,"1,75 €",Dia
Edulcorante líquido,Natreen,Botella,125 ml,"5,39 €",Dia
Endulzante de stevia 0 calorías,Truvia,Caja,40 unidades,"2,25 €",Dia
