producto,marca,formato,cantidad,precio,supermercado
Regaliz rojo torcidas,Marcelo Caramelo de Dia,Bolsa,225 g,"1,09 €",Dia
Regaliz relleno pica pica,Marcelo Caramelo de Dia,Bolsa,225 g,"1,09 €",Dia
Chicles sabor hierbabuena sin azúcar,Iceberg de Dia,Bolsa,44.8 g,"0,99 €",Dia
Chicles de hierbabuena sin azúcar,Iceberg de Dia,Bote,70 unidades,"1,99 €",Dia
Caramelo de goma relleno sabor cereza  Pikotas,Dulciora,Bolsa,100 g,"1,39 €",Dia
Golosinas fresa,Marcelo Caramelo de Dia,Bolsa,250 g,"1,69 €",Dia
Nubes,Marcelo Caramelo de Dia,Bolsa,200 g,"1,27 €",Dia
Golosinas sandía,Trolli,Bolsa,100 g,"1,09 €",Dia
masticables de frutas,Palotes,Bolsa,90 g,"1,05 €",Dia
Regaliz rueda rojo,Marcelo Caramelo de Dia,Bolsa,250 g,"1,39 €",Dia
Regaliz negro torcidas,Marcelo Caramelo de Dia,Bolsa,225 g,"1,09 €",Dia
Mini regalices sour boom colour mix,Fini,Bolsa,90 g,"1,19 €",Dia
Golosinas surtidas,Marcelo Caramelo de Dia,Bolsa,250 g,"1,79 €",Dia
Golosinas ositos azucarados,Marcelo Caramelo de Dia,Bolsa,250 g,"1,59 €",Dia
Chicles sabor menta fuerte sin azúcar,Iceberg de Dia,Bolsa,44.8 g,"0,99 €",Dia
Chicles de fresa sin azúcar,Iceberg de Dia,Bote,70 unidades,"1,99 €",Dia
Caramelos de menta sin azúcar,Sweets&sugar,Bolsa,100 g,"1,00 €",Dia
Golosinas gatos sabor regaliz,Trolli,Bolsa,100 g,"1,05 €",Dia
Golosinas cintas pica,Marcelo Caramelo de Dia,Tarrina,300 g,"1,75 €",Dia
Nubes rellenas,Fini,Bolsa,80 g,"1,19 €",Dia
Golosinas surtidas little mix,Fini,Tarrina,500 g,"3,79 €",Dia
Caramelos con  varios sabores  bolsa,Chupa Chups,Palo,208 g,"3,20 €",Dia
Caramelos clásicos de nata sin azúcar,Werther's,Bolsa,90 g,"2,39 €",Dia
Chicles sabor menta sin azúcar,Orbit,Bolsa,5 unidades,"3,69 €",Dia
Chicles sabor hierbabuena sin azúcar,Orbit,Bolsa,5 unidades,"3,69 €",Dia
Chicles sabor eucalipto sin azúcar,Orbit,Bolsa,5 unidades,"3,69 €",Dia
Chicles sabor fresa sin azúcar,Orbit,Bolsa,5 unidades,"3,69 €",Dia
Caramelos sabor mentol y limón,Iceberg de Dia,Bolsa,300 g,"2,19 €",Dia
