producto,marca,formato,cantidad,precio,supermercado
Champú rizos perfectos,Imaqe de Dia,Botella,400 ml,"3,60 €",Dia
Champú familiar,Perseida Belleza,Botella,1 l,"1,05 €",Dia
Champú profesional con keratina,Imaqe de Dia,Botella,750 ml,"1,99 €",Dia
Champú profesional hidratante,Imaqe de Dia,Botella,750 ml,"1,99 €",Dia
Recambio champú profesional hidratante,Imaqe de Dia,Bolsa,750 ml,"1,79 €",Dia
Champú anticaspa dos en uno clásico,H&s,Botella,250 ml,"3,49 €",Dia
Champú anticaspa mentol,Imaqe de Dia,Botella,500 ml,"2,75 €",Dia
Champú repara y protege,Pantene,Botella,225 ml,"2,99 €",Dia
Champú fortificante fuerza y brillo cabello normal,Fructis,Botella,300 ml,"3,49 €",Dia
Champú repara y protege pack,Pantene,Botella,2 x 250 ml,"5,79 €",Dia
Champú bio aceite de argán,Herbal Essences,Botella,2 x 250 ml,"4,99 €",Dia
Champú coco fruit revolution,Imaqe de Dia,Botella,400 ml,"2,49 €",Dia
Champú anticaspa cítrico,Imaqe de Dia,Botella,500 ml,"2,75 €",Dia
Champú hidra con ácido hialurónico,Elvive,Botella,300 ml,"3,29 €",Dia
Champú anticaspa citrus fresh cabello graso,H&s,Botella,250 ml,"3,49 €",Dia
Champú cuidado clásico todo tipo de cabellos,Tresemmé,Botella,685 ml,"5,99 €",Dia
Champú hidratación intensa cabello seco,Tresemmé,Botella,685 ml,"5,99 €",Dia
Champú tesoros de miel,Original Remedies,Botella,250 ml,"2,99 €",Dia
Champú con keratina fortificante,Flex,Botella,650 ml,"3,45 €",Dia
Champú hidra rizos,Fructis,Botella,300 ml,"3,49 €",Dia
Champú fresco y fuerte cabello normal,Timotei,Botella,400 ml,"3,95 €",Dia
Champú reflejos dorados cabello rubio,Timotei,Botella,400 ml,"3,95 €",Dia
Champú purificante con ácido hialurónico,Elvive,Botella,300 ml,"3,29 €",Dia
Champú anticaspa classic,H&s,Botella,250 ml,"3,49 €",Dia
Champú anticaspa menthol fresh,H&s,Botella,250 ml,"3,49 €",Dia
Champú anticaspa prevención de la caída,H&s,Botella,250 ml,"3,49 €",Dia
Champú anticaspa y acondicionador dos en uno,H&s,Botella,625 ml,"8,59 €",Dia
Champú anticaspa menthol fresh,H&s,Botella,625 ml,"8,59 €",Dia
Champú anticaspa citrus fresh,H&s,Botella,625 ml,"8,59 €",Dia
Champú anticaspa classic,H&s,Botella,625 ml,"8,59 €",Dia
Champú carbón activo,Anian,Botella,400 ml,"2,99 €",Dia
Champú reparador cabello muy dañado,Elvive,Botella,300 ml,"3,29 €",Dia
Champú reconstructor cabello largo,Elvive,Botella,300 ml,"3,29 €",Dia
Champú nutritivo cabello seco,Elvive,Botella,300 ml,"3,29 €",Dia
Champú fortificante cabello frágil,Elvive,Botella,300 ml,"3,29 €",Dia
Champú protector del color cabello teñido,Elvive,Botella,300 ml,"3,29 €",Dia
Champú anticaída herbolaria milenaria,Tío Nacho,Botella,330 ml,"4,99 €",Dia
Champú repara y revitaliza,Anian,Botella,400 ml,"2,99 €",Dia
Champú micelar high volumen,Tulipán Negro,Botella,400 ml,"3,60 €",Dia
Champú micelar purificante,Tulipán Negro,Botella,400 ml,"3,60 €",Dia
Champú seco antigrasa,Syoss,Spray,200 ml,"4,49 €",Dia
Champú duplo repara y protege,Pantene,Botella,2 x 385 ml,"6,99 €",Dia
Champú cebolla y biotina,Anian,Bote,400 ml,"2,99 €",Dia
Champú de carbón magnético,Original Remedies,Bote,250 ml,"2,99 €",Dia
Champú hidratante miracles pantene,Pantene,Botella,225 ml,"3,99 €",Dia
Champú y acondicionador anticaspa 2 en 1,Imaqe de Dia,Botella,500 ml,"2,75 €",Dia
Champú 7 hierbas,Schwarzkopf,Bote,400 ml,"2,29 €",Dia
Champú camomila natural,Imaqe de Dia,Botella,250 ml,"2,20 €",Dia
Champú plátano,Imaqe de Dia,Botella,400 ml,"2,49 €",Dia
Champú arcilla y té natural,Imaqe de Dia,Botella,250 ml,"2,20 €",Dia
Champú avena natural,Imaqe de Dia,Botella,250 ml,"2,20 €",Dia
Champú oliva natural,Imaqe de Dia,Botella,250 ml,"2,20 €",Dia
Champú miel natural,Imaqe de Dia,Botella,250 ml,"2,20 €",Dia
Champú karité cabello seco,Vitarelle,Botella,400 ml,"2,90 €",Dia
Champú biloba prevención,Vitarelle,Botella,400 ml,"2,90 €",Dia
Champú aloe vera uso diario,Vitarelle,Botella,400 ml,"2,90 €",Dia
Champú lemon grass cabello graso,Vitarelle,Botella,400 ml,"2,90 €",Dia
Champú en seco blush,Batiste,Bote,200 ml,"3,49 €",Dia
Champú bio leche de coco,Herbal Essences,Botella,2 x 250 ml,"4,99 €",Dia
Champú suave y liso pack,Pantene,Botella,2 x 250 ml,"5,79 €",Dia
Champú nutritivo reparador,Babaria,Botella,500 ml,"3,25 €",Dia
Champú protector de color,Babaria,Botella,500 ml,"3,25 €",Dia
Champú seco cherry,Batiste,Spray,200 ml,"3,49 €",Dia
Champú seco original,Batiste,Spray,200 ml,"3,49 €",Dia
Champú sólido reparador con aguacate y arándanos,Imaqe de Dia,Caja,60 g,"2,95 €",Dia
