producto,marca,formato,cantidad,precio,supermercado
Chocolate con leche,Temptation de Dia,Tableta,2 x 150 g,"1,99 €",Dia
Chocolate negro 85% cacao,Temptation de Dia,Tableta,100 g,"1,25 €",Dia
Chocolate negro con almendras enteras,Temptation de Dia,Tableta,200 g,"1,75 €",Dia
Chocolate con leche  Extrafino,Nestlé,Tableta,3 x 125 g,"3,95 €",Dia
Barritas de chocolate con leche y avellanas,Temptation de Dia,Bolsa,115 g,"1,28 €",Dia
Chocolate blanco,Temptation de Dia,Tableta,2 x 200 g,"1,50 €",Dia
Chocolate negro 74% cacao,Temptation de Dia,Tableta,100 g,"1,05 €",Dia
Chocolate con leche,Milka,Tableta,125 g,"1,30 €",Dia
Barritas de chocolate con leche,Kinder,Caja,100 g,"1,69 €",Dia
Barritas de chocolate y cacahuete,Temptation de Dia,Bolsa,250 g,"2,15 €",Dia
Barritas de barquillo recubierta de chocolate con leche,Huesitos,Bolsa,200 g,"2,45 €",Dia
Chocolate negro para postres,Temptation de Dia,Tableta,200 g,"1,45 €",Dia
Chocolate negro sin azúcares añadidos,Temptation de Dia,Tableta,100 g,"1,15 €",Dia
Chocolate con leche y almendras,Temptation de Dia,Tableta,150 g,"1,15 €",Dia
Chocolate blanco con relleno de galleta filipinos  Extrafino,Nestlé,Tableta,84 g,"1,25 €",Dia
Barrita de chocolate caramelo y galleta,Temptation de Dia,Bolsa,290 g,"2,25 €",Dia
Chocolate con leche,Dolca,Tableta,100 g,"1,05 €",Dia
Cacahuetes cubiertos de chocolate de colores,Temptation de Dia,Bolsa,180 g,"1,75 €",Dia
Chocolate con leche y avellanas,Temptation de Dia,Tableta,150 g,"1,15 €",Dia
Mini huevos de chocolate rellenos de crema leche y avellana,Temptation de Dia,Bolsa,150 g,"2,50 €",Dia
Chocolate con leche relleno con caramelo y avellanas,Milka,Tableta,300 g,"3,95 €",Dia
Bombones rellenos de coco y almendra  Raffaello,Ferrero,Caja,150 g,"3,85 €",Dia
Huevo de chocolate con sorpresa joy,Kinder,Tableta,20 g,"1,40 €",Dia
Huevos de chocolate con sorpresa 3 unidades,Kinder,Caja,60 g,"3,49 €",Dia
Chocolate con leche,Nesquik,Tableta,100 g,"1,49 €",Dia
Chocolate con leche con avellanas,Milka,Tableta,270 g,"3,95 €",Dia
Bolitas de chocolate rellenas de leche malteada,Maltesers,Bolsa,175 g,"3,59 €",Dia
Chocolate con leche  Extrafino,Nestlé,Tableta,270 g,"2,79 €",Dia
Chocolate con leche relleno de caramelo,Milka,Tableta,100 g,"1,55 €",Dia
Barritas de chocolate rellenas de caramelo y galleta,Twix,Bolsa,50 g,"1,39 €",Dia
Bolas de chocolate con leche chocobolas  Extrafino,Nestlé,Tableta,140 g,"2,59 €",Dia
Chocolate negro con naranja  Excellence,Lindt,Tableta,100 g,"3,25 €",Dia
Chocolate con leche suizo con miel y almendras,Toblerone,Tableta,3 x 50 g,"3,25 €",Dia
Chocolate con leche milkinis,Milka,Bolsa,87.5 g,"1,40 €",Dia
Chocolate con leche,Milka,Tableta,270 g,"2,85 €",Dia
Huevos de chocolate relleno de leche y avellanas,Kinder,Bolsa,200 g,"3,99 €",Dia
Huevo de chocolate con sorpresa,Kinder,Tableta,20 g,"1,30 €",Dia
Barritas de chocolate con leche y avellanas,Kinder,Bolsa,43 g,"1,29 €",Dia
Barritas de chocolate y galleta rellena de caramelo,Twix,Bolsa,150 g,"2,79 €",Dia
Chocolate con leche y almendras enteras,Temptation de Dia,Tableta,200 g,"1,53 €",Dia
Huevo de chocolate con sorpresa,Temptation de Dia,Caja,60 g,"1,65 €",Dia
Barritas de chocolate  turrón y caramelo,Temptation de Dia,Bolsa,200 g,"1,75 €",Dia
Paraguas de chocolate,Mauri,Bolsa,50 g,"2,69 €",Dia
Chocolate con leche relleno de galleta y caramelo  Extrafino,Nestlé,Tableta,87 g,"1,25 €",Dia
Mini barritas de galleta recubiertas de chocolate,Kit Kat,Bolsa,200 g,"2,79 €",Dia
Chocolate con leche con relleno cremoso y galletas María  Extrafino,Nestlé,Tableta,83 g,"1,25 €",Dia
Chocolate con leche sin lactosa,Trapa,Tableta,90 g,"1,49 €",Dia
Galletas cubiertas de chocolate con leche,Conguitos,Bolsa,120 g,"1,69 €",Dia
Mini barritas de chocolate y galleta rellena de caramelo,Twix,Bolsa,227 g,"3,69 €",Dia
Mini barritas de galleta recubiertas de chocolate blanco,Kit Kat,Bolsa,146 g,"2,79 €",Dia
Chocolate negro 52% cacao,Lindt,Tableta,100 g,"1,79 €",Dia
Chocolate con leche crispy,Lindt,Tableta,100 g,"1,79 €",Dia
Chocolate con leche,Lindt,Tableta,100 g,"1,79 €",Dia
Mini barritas de chocolate con caramelo y cacahuetes,Snickers,Bolsa,227 g,"3,69 €",Dia
Chocolate negro 100% cacao,Trapa,Tableta,80 g,"1,90 €",Dia
Chocolate con leche y almendras 0% azúcares añadidos,Trapa,Tableta,100 g,"1,75 €",Dia
Figuritas de chocolate con leche y galleta  Jungly,Nestlé,Bolsa,124 g,"3,49 €",Dia
Chocolate con leche para repostería,Dr. Oetker,Bolsa,150 g,"3,59 €",Dia
Chocolate con leche con relleno sabor dulce de leche  Extrafino,Nestlé,Tableta,83 g,"1,25 €",Dia
Bombones de chocolate negro 70% cacao  Dark,Nestlé,Bolsa,165 g,"4,49 €",Dia
Chocolate con leche con relleno cremoso y trocitos de galleta Dinosaurus,Nestlé,Tableta,84 g,"1,25 €",Dia
Chocolate con leche con relleno cremoso y trocitos de galleta Tosta Rica  Extrafino,Nestlé,Tableta,84 g,"1,25 €",Dia
Chocolate negro con sabor naranja  Dark,Nestlé,Tableta,120 g,"2,29 €",Dia
Bombones rellenos de cereza al licor,Trapa,Bolsa,120 g,"2,35 €",Dia
Surtido de bombones seducción,Trapa,Bolsa,56 g,"1,30 €",Dia
Chocolate con almendras enteras,Milka,Tableta,300 g,"3,79 €",Dia
Barritas de chocolate y galleta  Jungly,Nestlé,Bolsa,102 g,"1,69 €",Dia
Barquillo relleno de praliné y chocolate,Knoppers,Bolsa,40 g,"1,10 €",Dia
Barquillos rellenos de crema con leche y cacao,Knoppers,Bolsa,75 g,"1,49 €",Dia
Bombones sublimes 0% azúcares añadidos,Trapa,Caja,155 g,"3,80 €",Dia
Bombones sublimes,Trapa,Caja,200 g,"3,80 €",Dia
Barritas de chocolate con leche con galleta noir,Trapa,Bolsa,105 g,"1,85 €",Dia
Chocolate negro 70% con almendras,Trapa,Tableta,175 g,"2,49 €",Dia
Chocolate negro con almendras,Trapa,Tableta,100 g,"1,85 €",Dia
Chocolate blanco sin azúcar añadido,Trapa,Tableta,90 g,"1,75 €",Dia
Chocolate con leche y galleta XXL  Jungly,Nestlé,Tableta,235 g,"3,15 €",Dia
Tartaletas de chocolate rellenas de crema de cacahuete 2 unidades,Reeses's,Bolsa,42 g,"1,25 €",Dia
Chocolate blanco y galleta  Jungly,Nestlé,Tableta,125 g,"1,69 €",Dia
Barrita de chocolate con avellanas sin gluten ondulé,Dr. Schar,Bolsa,30 g,"1,19 €",Dia
Chocolate negro 70% cacao con galleta belga,Valor,Tableta,200 g,"2,80 €",Dia
Chocolate blanco,Huesitos,Tableta,125 g,"1,85 €",Dia
Chocolate con leche y galleta,Huesitos,Tableta,125 g,"1,85 €",Dia
Chocolate negro con almendras enteras  Dark,Nestlé,Tableta,150 g,"2,69 €",Dia
Barquillos rellenos de chocolate,Doña delicia,Caja,150 g,"1,29 €",Dia
