producto,marca,formato,cantidad,precio,supermercado
Semillas de chía,Ecocesta,Bolsa,160 g,"2,20 €",Dia
"Cabello, uñas y piel",Vivisima+,Caja,50 unidades,"3,89 €",Dia
Melatonina,Vivisima+,Caja,40 unidades,"3,99 €",Dia
Semillas de lino amarillo  Vital,Dia,Bolsa,250 g,"1,14 €",Dia
Própolis y jalea real + equinácea,Vive+,Caja,12 unidades,"5,95 €",Dia
Alcachofa con boldo,Vivisima+,Caja,50 unidades,"3,69 €",Dia
Carnitina + magnesio,Vivisima+,Caja,40 unidades,"3,59 €",Dia
Colágeno,Vivisima+,Caja,50 unidades,"3,99 €",Dia
Cola de caballo,Vivisima+,Caja,50 unidades,"3,95 €",Dia
Jarabe detoxificante depurativo con alcachofera y zarzaparrilla,Natur Tierra,Caja,250 ml,"6,85 €",Dia
Crema de cacahuete con plátano,Just loading,Bote,190 g,"2,59 €",Dia
Barrita de proteínas de coco y chocolate,Just loading,Bolsa,27 g,"1,00 €",Dia
Colágeno hidrolizado y magnesio,Vivisima+,Lata,250 g,"4,79 €",Dia
Jalea real,Vivisima+,Caja,12 unidades,"4,79 €",Dia
Café verde con zinc y colina,Vivisima+,Caja,40 unidades,"3,59 €",Dia
Semillas de sésamo tostado,Ecocesta,Bolsa,250 g,"2,99 €",Dia
Chitosán,Vivisima+,Caja,50 unidades,"3,89 €",Dia
Valeriana,Vivisima+,Caja,50 unidades,"3,95 €",Dia
Zumo de frutas con hierro,Hohes c,Botella,1 l,"2,79 €",Dia
Colesterol,Natur Tierra,Bote,30 unidades,"5,85 €",Dia
Barrita de proteínas sabor chocolate,Just loading,Bolsa,20 g,"1,00 €",Dia
Batido proteico de chocolate,Just loading,Botella,225 ml,"1,45 €",Dia
Semillas de lino dorado,Ecocesta,Bolsa,160 g,"2,20 €",Dia
Zumo de frutas con vitamina d,Hohes c,Botella,1 l,"2,79 €",Dia
Bebida isotónica sabor limón,Just loading,Caja,30 g,"3,19 €",Dia
Bebida isotónica sport de limón,Isostar,Bote,400 g,"11,99 €",Dia
Batido sustitutivo de chocolate,Bicentury,Caja,5 unidades,"7,29 €",Dia
Jalea real con própolis para niños,Vive+,Caja,12 unidades,"5,95 €",Dia
Cartílago de tiburón,Vivisima+,Caja,40 unidades,"4,39 €",Dia
Garcinia cambogia,Vivisima+,Caja,40 unidades,"4,10 €",Dia
Arándano rojo americano antioxidante,Natur Tierra,Bote,30 unidades,"5,75 €",Dia
Levadura de cerveza,Vivisima+,Caja,50 unidades,"3,89 €",Dia
