producto,marca,formato,cantidad,precio,supermercado
Compresas ultrafinas normal con alas,Esos Dias,Bolsa,16 unidades,"1,49 €",Dia
Compresas ultrafinas super con alas,Esos Dias,Bolsa,14 unidades,"1,49 €",Dia
Protegeslips clásico,Esos Dias,Caja,40 unidades,"0,99 €",Dia
Protegeslips maxi,Esos Dias,Caja,36 unidades,"1,89 €",Dia
Tampón con aplicador compact súper,Esos Dias,Caja,32 unidades,"2,98 €",Dia
Compresas noche con alas más larga,Ausonia,Bolsa,9 unidades,"2,09 €",Dia
Compresas normal con alas,Evax,Bolsa,16 unidades,"2,83 €",Dia
Compresas ultrafina normal sin alas,Esos Dias,Bolsa,16 unidades,"1,49 €",Dia
Compresas clásicas normal sin alas,Esos Dias,Bolsa,20 unidades,"0,87 €",Dia
Compresas ultrafina noche con alas,Esos Dias,Bolsa,10 unidades,"1,59 €",Dia
Protegeslips normal,Esos Dias,Caja,50 unidades,"1,79 €",Dia
Compresas de incontinencia maxi  Everyday de Dia,Bonté,Bolsa,12 unidades,"3,15 €",Dia
Tampón con aplicador compact normal,Esos Dias,Caja,32 unidades,"2,98 €",Dia
Protegeslips normal,Carefree,Caja,56 unidades,"2,79 €",Dia
Tampón regular,Tampax,Caja,22 unidades,"4,39 €",Dia
Tampón super,Tampax,Caja,20 unidades,"4,39 €",Dia
Compresas super con alas,Ausonia,Bolsa,12 unidades,"2,09 €",Dia
Protegeslips normal,Evax,Bolsa,50 unidades,"2,79 €",Dia
Tampones super plus pearl,Tampax,Caja,24 unidades,"5,09 €",Dia
Compresas clásicas noche sin alas,Esos Dias,Bolsa,10 unidades,"1,79 €",Dia
Protegeslips maxi,Carefree,Caja,48 unidades,"3,05 €",Dia
Compresas de incontinencia extra  Everyday de Dia,Bonté,Bolsa,20 unidades,"3,35 €",Dia
Compresas de incontinencia extra,Tena,Bolsa,10 unidades,"4,65 €",Dia
Protegeslips flexiform,Carefree,Caja,30 unidades,"2,06 €",Dia
Compresas super con alas,Evax,Bolsa,10 unidades,"2,83 €",Dia
Compresas incontinencia normal  Discreet,Ausonia,Bolsa,14 unidades,"5,49 €",Dia
Compresas incontinencia mini,Ausonia,Bolsa,24 unidades,"5,49 €",Dia
Compresas con alas,Evax,Caja,64 unidades,"8,48 €",Dia
Protegeslips algodón orgánico,Carefree,Caja,30 unidades,"2,99 €",Dia
Protegeslips cotton-algodón maxi,Esos Dias,Caja,28 unidades,"1,85 €",Dia
Protegeslips cotton-algodón normal,Esos Dias,Caja,28 unidades,"1,85 €",Dia
Protector cubrecamas 60x90 cm,Amd,Bolsa,30 unidades,"9,99 €",Dia
Protegeslips duoform,Esos Dias,Caja,30 unidades,"1,89 €",Dia
Protegeslips normal plegado,Esos Dias,Bolsa,30 unidades,"1,65 €",Dia
Compresas ultrafinas cotton-algodón súper con alas,Esos Dias,Bolsa,12 unidades,"1,99 €",Dia
Compresas súper plegada esos,Esos Dias,Bolsa,16 unidades,"1,32 €",Dia
Compresas normal plegada esos,Esos Dias,Bolsa,18 unidades,"1,06 €",Dia
Tampón digital super,o.b.,Caja,16 unidades,"5,21 €",Dia
Pants de incontinencia cintura alta talla L,Tena,Bolsa,8 unidades,"11,99 €",Dia
Compresas incontinencia normal ultra,Tena,Bolsa,16 unidades,"4,65 €",Dia
Protegeslips fresh normal plegado en bolsitas,Evax,Caja,20 unidades,"1,29 €",Dia
Protegeslips flexiconfort cotton fresh,Carefree,Caja,20 unidades,"1,65 €",Dia
Compresas normal con alas,Evax,Bolsa,12 unidades,"3,45 €",Dia
Compresas super con alas  Liberty,Evax,Bolsa,10 unidades,"3,45 €",Dia
Compresas de incontinencia normal,Tena,Bolsa,12 unidades,"4,65 €",Dia
Compresas incontinencia mini discreet ultra,Tena,Bolsa,20 unidades,"4,65 €",Dia
Protegeslips flexiform,Carefree,Caja,56 unidades,"3,69 €",Dia
Protegeslips cotton aloe vera,Carefree,Caja,56 unidades,"3,65 €",Dia
Tampón super,Tampax,Caja,24 unidades,"5,09 €",Dia
Tampón regular,Tampax,Caja,24 unidades,"5,09 €",Dia
Compresas de incontinencia maxi noche,Ausonia,Bolsa,12 unidades,"7,79 €",Dia
Tampón digital regular,o.b.,Caja,32 unidades,"6,29 €",Dia
Compresas de incontinencia mini  Everyday de Dia,Bonté,Bolsa,30 unidades,"3,35 €",Dia
Pants de incontinencia plus talla L,Tena,Bolsa,8 unidades,"11,65 €",Dia
Pants de incontinencia plus talla M,Tena,Bolsa,9 unidades,"11,65 €",Dia
Tampón digital super,o.b.,Caja,32 unidades,"6,29 €",Dia
Protegeslips maxi plus,Evax,Caja,30 unidades,"3,49 €",Dia
Protegeslips plus long fresh,Carefree,Caja,40 unidades,"3,24 €",Dia
Toallitas íntimas fresh,Chilly,Bolsa,12 unidades,"2,99 €",Dia
Compresas noche super plus,Ausonia,Bolsa,9 unidades,"2,39 €",Dia
Tampones super plus compak,Tampax,Caja,18 unidades,"4,39 €",Dia
Compresas de incontinencia maxi night,Tena,Bolsa,12 unidades,"8,49 €",Dia
Compresas normal sin alas,Evax,Bolsa,24 unidades,"2,69 €",Dia
Compresas normal con alas,Ausonia,Bolsa,14 unidades,"2,09 €",Dia
Compresas de incontinencia normal  Everyday de Dia,Bonté,Bolsa,24 unidades,"3,35 €",Dia
Protegeslips maxi fresh,Carefree,Caja,36 unidades,"2,50 €",Dia
Toallitas íntimas con aloe vera,Carefree,Bolsa,20 unidades,"3,60 €",Dia
Compresas super plus con alas,Evax,Caja,10 unidades,"2,83 €",Dia
Protegeslips normal fragancia fresca,Carefree,Caja,44 unidades,"2,25 €",Dia
Compresas de incontinencia maxi,Tena,Bolsa,12 unidades,"7,69 €",Dia
Protegeslips maxi,Evax,Caja,36 unidades,"3,09 €",Dia
