producto,marca,formato,cantidad,precio,supermercado
Crema de cacao con avellanas dúo,Temptation de Dia,Bote,400 g,"1,85 €",Dia
Crema de cacao con avellanas,Temptation de Dia,Bote,400 g,"1,85 €",Dia
Crema de cacao con avellanas original,Nocilla,Bote,360 g,"3,65 €",Dia
Crema de cacao con avellanas,Nutella,Bote,350 g,"3,69 €",Dia
Crema de cacao y leche de avellanas dúo,Nocilla,Bote,360 g,"3,65 €",Dia
Crema de cacahuete,Just loading,Frasco,500 g,"3,19 €",Dia
Crema de cacao con avellanas cookies&cream,Nocilla,Bote,180 g,"2,99 €",Dia
Crema de galletas para untar,Lotus Biscoff,Bote,400 g,"3,49 €",Dia
Dulce de leche,Mardel,Frasco,450 g,"3,15 €",Dia
Crema de cacao con avellanas original,Nocilla,Bote,620 g,"5,69 €",Dia
Crema de cacao y leche de avellanas dúo 0% azúcares añadidos,Nocilla,Bote,620 g,"5,69 €",Dia
Crema de cacao y leche de avellanas dúo,Nocilla,Bote,0% azúcares añadidos   180 g,"2,99 €",Dia
Crema de cacao con avellanas,Nutella,Bote,200 g,"2,49 €",Dia
Crema de cacao con avellanas 0% azúcares añadidos,Nocilla,Bote,180 g,"2,99 €",Dia
Crema de cacahuete,Just loading,Frasco,475 g,"3,39 €",Dia
Crema de cacao con avellanas,Milka,Bote,340 g,"2,99 €",Dia
Crema de cacao y leche de avellanas dúo,Nocilla,Bote,180 g,"2,59 €",Dia
Crema de cacao con avellanas original,Nocilla,Bote,180 g,"2,59 €",Dia
Sticks con crema de cacao y leche de avellanas,Nocilla,Caja,60 g,"1,20 €",Dia
Crema de cacahuete,Capitán Mani,Bote,340 g,"3,19 €",Dia
Crema de almendras,Actibran,Frasco,180 g,"3,79 €",Dia
Crema de cacao noir,Nocilla,Bote,180 g,"2,99 €",Dia
Sticks con crema de cacao con avellanas,Nocilla,Caja,60 g,"1,20 €",Dia
Crema de cacahuete crujiente,Capitán Mani,Bote,340 g,"3,39 €",Dia
Dulce de leche,La lechera,Lata,397 g,"3,99 €",Dia
