producto,marca,formato,cantidad,precio,supermercado
Friegasuelos aroma spa,Super Paco de Dia,Botella,1.5 l,"0,95 €",Dia
Friegasuelos aroma pino,Super Paco de Dia,Botella,1.5 l,"0,95 €",Dia
Limpiacristales,Super Paco de Dia,Spray,1 l,"1,00 €",Dia
Friegasuelos aroma colonia,Super Paco de Dia,Botella,1.5 l,"0,95 €",Dia
Friegasuelos concentrado rosa,Super Paco de Dia,Botella,1 l,"1,70 €",Dia
Friegasuelos aroma limón,Super Paco de Dia,Botella,1.5 l,"0,95 €",Dia
Friegasuelos concentrado cítrico,Super Paco de Dia,Botella,1 l,"1,70 €",Dia
Limpiador jabonoso madera,Tenso pro,Botella,1 l,"1,89 €",Dia
Toallitas limpiagafas,Super Paco de Dia,Caja,30 unidades,"1,60 €",Dia
Limpiador concentrado para suelos y superficies,Sanicentro,Botella,1.5 l,"2,19 €",Dia
Limpiador multiusos,Don Limpio,Botella,1.3 l,"3,99 €",Dia
Limpiacristales cristalino,Cristasol,Spray,750 ml,"2,59 €",Dia
Limpiador madera,Don Limpio,Botella,1.3 l,"3,99 €",Dia
Limpiacristales,Cristasol,Botella,1.25 l,"2,45 €",Dia
Limpiador multiusos lavanda,Disiclin,Botella,1 l,"1,75 €",Dia
Cera para suelos y madera,Tenso pro,Botella,1 l,"3,59 €",Dia
Limpiacristales para ventanas,Ecocleox,Spray,500 ml,"3,99 €",Dia
Limpiador jabonoso de madera,Pronto,Botella,750 ml,"4,99 €",Dia
