producto,marca,formato,cantidad,precio,supermercado
Pasta dentífrica con flúor,Colgate,Tubo,75 ml,"1,99 €",Dia
Pasta dentífrica original  Total,Colgate,Tubo,75 ml,"2,54 €",Dia
Pasta dentífrica con micro cristales blancos  Max White,Colgate,Tubo,75 ml,"2,59 €",Dia
Enjuague bucal protección dientes y encías,Imaqe de Dia,Botella,500 ml,"1,35 €",Dia
Pasta dentífrica protección total,Imaqe de Dia,Tubo,75 ml,"1,35 €",Dia
Pasta dentífrica blanqueante,Imaqe de Dia,Tubo,75 ml,"1,55 €",Dia
Pasta dentífrica complete con enjuague bucal,Oral-B,Tubo,75 ml,"1,99 €",Dia
Cepillo dental medio,Imaqe de Dia,Blister,3 unidades,"1,00 €",Dia
Enjuague bucal blanqueador,Imaqe de Dia,Bote,500 ml,"1,50 €",Dia
Pasta dentífrica blanqueadora bicarbonato,Signal,Tubo,100 ml,"1,99 €",Dia
Enjuague bucal zero alcohol,Imaqe de Dia,Bote,500 ml,"1,35 €",Dia
Enjuague bucal acción total,Imaqe de Dia,Bote,500 ml,"1,50 €",Dia
Pasta dentífrica anticaries,Profiden,Tubo,75 ml,"1,29 €",Dia
Pasta dentífrica flúor y calcio máxima protección,Colgate,Tubo,75 ml,"1,99 €",Dia
Arcos dentales sabor menta,Imaqe de Dia,Caja,30 unidades,"0,90 €",Dia
Enjuague bucal mentol,Listerine,Botella,500 ml,"5,65 €",Dia
Pasta dentífrica con cristales refrescantes,Colgate,Tubo,75 ml,"2,59 €",Dia
Cepillos interdentales extrafinos,Imaqe de Dia,Blister,6 unidades,"1,79 €",Dia
Pasta dentífrica repair & protect,Sensodyne,Tubo,75 ml,"4,69 €",Dia
Pasta dentífrica protección,Oral-B,Tubo,85 ml,"3,20 €",Dia
Cepillo dental,Oral-B,Blister,1 unidad,"2,89 €",Dia
Pasta dentífrica para niños,Signal,Tubo,50 ml,"1,69 €",Dia
Pasta dentífrica blanqueante,Sensodyne,Tubo,75 ml,"3,95 €",Dia
Enjuague bucal menta fresca,Listerine,Botella,500 ml,"5,65 €",Dia
Cepillo dental medio,Colgate,Blister,1 unidad,"2,88 €",Dia
Cepillo dental,Colgate,Blister,4 unidades,"2,99 €",Dia
Pasta dentífrica flúor,Colgate,Tubo,75 ml,"2,10 €",Dia
Cepillo dental zig zag medio,Colgate,Blister,3 unidades,"2,89 €",Dia
Pasta dentífrica protección diaria,Sensodyne,Tubo,75 ml,"3,95 €",Dia
Crema fijadora para protesis dental,Polident,Tubo,44 g,"5,45 €",Dia
Pasta dentífrica clorofila,Licor del polo,Tubo,75 ml,"1,89 €",Dia
Enjuague bucal cuidado total,Listerine,Botella,500 ml,"5,65 €",Dia
Pasta dentífrica herbal,Colgate,Tubo,75 ml,"2,10 €",Dia
Cepillo dental infantil 2 - 8 años,Pierrot,Blister,1 unidad,"1,80 €",Dia
Pasta dentífrica densify  pack,Oral-B,Pack,2 x 75 ml,"4,99 €",Dia
Pasta dentífrica sensitive,Pierrot,Tubo,75 ml,"1,45 €",Dia
Pasta dentífrica active fresh,Aquafresh,Tubo,125 ml,"2,59 €",Dia
Pasta dentífrica active white,Aquafresh,Tubo,125 ml,"2,59 €",Dia
Pasta dentífrica integral 8 nettoyage intense,Signal,Tubo,75 ml,"2,29 €",Dia
Recambio cepillo dental cross action  Pro,Oral-B,Blister,2 unidades,"13,99 €",Dia
Cabezal de recambio para cepillo pro precision clean,Oral-B,Blister,4 unidades,"17,99 €",Dia
Recambio cabezal precisión cepillo,Oral-B,Blister,2 unidades,"9,45 €",Dia
Pasta dentífrica integral 8 complet,Signal,Tubo,75 ml,"2,29 €",Dia
Recambios cepillo dental eléctrico,Imaqe de Dia,Blister,2 unidades,"3,85 €",Dia
Cepillos interdentales finos,Imaqe de Dia,Blister,6 unidades,"1,79 €",Dia
Hilo dental con cera sabor menta,Imaqe de Dia,Blister,1 unidad,"1,29 €",Dia
Cepillo dental plegable de viaje,Imaqe de Dia,Blister,1 unidad,"1,10 €",Dia
Cepillo dental suave niños + 6 años,Planeta Junior,Blister,1 unidad,"0,90 €",Dia
Cepillo dental sensitive,Imaqe de Dia,Blister,1 unidad,"1,30 €",Dia
Cepillo dental avanzado medio,Imaqe de Dia,Blister,1 unidad,"2,99 €",Dia
