producto,marca,formato,cantidad,precio,supermercado
Detergente máquina líquido marsella Super Paco de,Dia,Garrafa,46 lavados,"3,30 €",Dia
Suavizante concentrado azul Super Paco de,Dia,Botella,80 lavados,"2,09 €",Dia
Detergente máquina líquido marsella Super Paco de,Dia,Garrafa,61 lavados,"5,09 €",Dia
Detergente máquina líquido azul Super Paco de,Dia,Garrafa,46 lavados,"3,30 €",Dia
Suavizante concentrado talco Super Paco de,Dia,Botella,80 lavados,"2,09 €",Dia
Detergente máquina líquido colonia  Super Paco de  garrafa,Dia,Botella,46 lavados,"3,30 €",Dia
Suavizante concentrado algodón Super Paco de,Dia,Botella,80 lavados,"2,15 €",Dia
Suavizante concentrado floral Super Paco de,Dia,Botella,80 lavados,"2,15 €",Dia
Detergente máquina líquido prendas delicadas Super Paco de,Dia,Garrafa,66 lavados,"2,50 €",Dia
Oxígeno activo blanco Super Paco de,Dia,Frasco,1 Kg,"3,10 €",Dia
Oxígeno activo color Super Paco de,Dia,Frasco,1 Kg,"3,10 €",Dia
Quitamanchas Super Paco de,Dia,Spray,750 ml,"2,00 €",Dia
Lejía ropa densa perfumada,Dia,Garrafa,2 l,"1,20 €",Dia
Toallitas atrapacolor Super Paco de,Dia,Caja,20 unidades,"1,85 €",Dia
Detergente máquina polvo marsella Super Paco de,Dia,Caja,35 lavados,"4,25 €",Dia
Suavizante premium albaricoque y nectarina Super Paco de,Dia,Botella,60 lavados,"2,29 €",Dia
Detergente máquina 3 en 1 Super Paco de ,Dia,Caja,18 lavados,"4,39 €",Dia
Detergente máquina fusión floral,Puntomatic,Bolsa,12 lavados,"2,89 €",Dia
Suavizante concentrado azul vital,Mimosin,Botella,56 lavados,"3,25 €",Dia
Detergente máquina líquido floral Super Paco de,Dia,Garrafa,46 lavados,"3,30 €",Dia
Suavizante concentrado talco rosa,San,Botella,59 lavados,"2,49 €",Dia
Descalcificador de lavadora en pastillas,Calgon,Caja,15 unidades,"7,99 €",Dia
Lejía,Neutrex,Garrafa,1.9 l,"2,99 €",Dia
Suavizante concentrado caricias,Mimosin,Botella,56 lavados,"3,25 €",Dia
Suavizante concentrado bergamota salvaje  Origins,Mimosin,Botella,50 lavados,"3,25 €",Dia
Detergente máquina adiós al separar,Dixan,Bolsa,12 lavados,"3,99 €",Dia
Detergente máquina líquido básico,Ariel,Botella,32 lavados,"7,99 €",Dia
Detergente máquina líquido básico,Ariel,Botella,75 lavados,"16,99 €",Dia
Detergente máquina líquido limpieza profunda,Skip,Botella,35 lavados,"9,99 €",Dia
Detergente máquina líquido máxima eficacia,Skip,Botella,33 lavados,"9,99 €",Dia
Detergente líquido Marsella,Omino bianco,Botella,45 lavados,"9,99 €",Dia
Jabón blando quitamanchas natural,Beltrán,Bote,500 g,"2,90 €",Dia
Detergente máquina líquido gel colores vivos,Micolor,Garrafa,30 lavados,"8,59 €",Dia
Perlas para lavadora classics es de Algodón Lenor,Flor,Botella,210 g,"5,59 €",Dia
Detergente máquina líquido complet,Norit,Garrafa,53 lavados,"8,95 €",Dia
Detergente ropa gel lana y ropa delicada,Perlan,Garrafa,41 lavados,"5,85 €",Dia
Detergente máquina en polvo limpieza total,Elena,Caja,45 lavados,"7,99 €",Dia
Detergente máquina frescor natural,Alin,Caja,84 lavados,"9,79 €",Dia
Suavizante perfumador azul,Flor,Botella,36 lavados,"4,69 €",Dia
Suavizante perfumado rosa,Flor,Botella,36 lavados,"4,69 €",Dia
Detergente máquina líquido básico,Colon,Botella,40 lavados,"5,99 €",Dia
Detergente máquina doble acción,Skip,Bolsa,46 lavados,"15,95 €",Dia
Suavizante concentrado aromaterapia lirio,Vernel,Botella,70 lavados,"3,99 €",Dia
Suavizante concentrado cielo azul,Vernel,Botella,70 lavados,"3,99 €",Dia
Aditivo desinfectante textil ytol,San,Botella,1.2 l,"5,99 €",Dia
Lejía futura,Neutrex,Garrafa,1.9 l,"3,09 €",Dia
Detergente máquina all in 1,Ariel,Caja,25 lavados,"11,99 €",Dia
Suavizante concentrado flor de tiaré  Creaciones,Mimosin,Botella,60 lavados,"4,49 €",Dia
Perfumador líquido para ropa green,Asevi,Botella,720 ml,"4,29 €",Dia
Perfumador líquido para ropa blue,Asevi,Botella,720 ml,"4,29 €",Dia
Perfumador líquido para ropa pink,Asevi,Botella,720 ml,"4,29 €",Dia
Detergente máquina líquido limpio y liso,Wipp Express,Botella,43 lavados,"14,99 €",Dia
Detergente máquina,Micolor,Caja,10 lavados,"4,65 €",Dia
Detergente máquina en polvo,Colon,Caja,50 lavados,"12,49 €",Dia
Detergente máquina líquido gel sensaciones,Colon,Garrafa,45 lavados,"11,99 €",Dia
Suavizante premium bergamota y sándalo Super Paco de,Dia,Botella,60 lavados,"2,29 €",Dia
