producto,marca,formato,cantidad,precio,supermercado
Gel de baño relajante,Planeta Bebé de Dia,Bote,750 ml,"2,25 €",Dia
Suero fisiológico,Planeta Bebé de Dia,Frasco,30 unidades,"3,23 €",Dia
Agua de colonia infantil  lla,Planeta Bebé de Dia,Bote,750 ml,"1,75 €",Dia
Gel de baño relajante recambio,Planeta Bebé de Dia,Bolsa,750 ml,"1,55 €",Dia
Agua de colonia infantil,Nenuco,Bote,500 ml,"2,85 €",Dia
Gel de baño dulces sueños,Johnson,Bote,750 ml,"3,99 €",Dia
Aceite corporal para bebé  lla,Planeta Bebé de Dia,Bote,500 ml,"2,29 €",Dia
Champú gotas de brillo,Johnson,Bote,500 ml,"3,95 €",Dia
Esponja infantil extrasuave,Planeta Junior de Dia,Bolsa,1 unidad,"0,90 €",Dia
Loción corporal relajante,Planeta Bebé de Dia,Bote,500 ml,"2,49 €",Dia
Champú para bebé,Planeta Bebé de Dia,Bote,750 ml,"2,35 €",Dia
Crema protectora de pañal,Johnson,Tubo,100 ml,"4,59 €",Dia
Agua de colonia gotas frescas,Instituto Español,Spray,250 ml,"4,30 €",Dia
Champú gold,Johnson,Bote,750 ml,"4,89 €",Dia
Colonia,Nenuco,Spray,240 ml,"3,99 €",Dia
Agua de colonia  lla,Petit cheri,Bote,750 ml,"3,69 €",Dia
Jabón hidratante,Nenuco,Bote,650 ml,"3,59 €",Dia
Polvos de talco bebé natural s baby,Johnson,Bote,200 g,"2,69 €",Dia
Champú camomila,Johnson,Bote,750 ml,"4,89 €",Dia
Loción corporal dulces sueños,Johnson,Bote,500 ml,"4,29 €",Dia
Gel de baño aloe vera  Naturaly sensitive lla,Johnson,Bote,395 ml,"2,99 €",Dia
solidario Rey León,Baby pelon,Muñeco,1 unidad,"15,95 €",Dia
solidario Frozen Anna,Baby pelon,Muñeco,1 unidad,"15,95 €",Dia
Acondicionador gotas de brillo,Johnson,Spray,200 ml,"3,69 €",Dia
Acondicionador no más tirones,Johnson,Spray,200 ml,"4,29 €",Dia
Acondicionador gotas de fuerza,Johnson,Spray,200 ml,"4,29 €",Dia
Aceite aloe vera  lla,Johnson,Bote,500 ml,"3,70 €",Dia
