producto,marca,formato,cantidad,precio,supermercado
Maquinilla depilación 5 hojas formato viaje,Imaqe de Dia,Caja,1 unidad,"4,90 €",Dia
Banda depilatoria facial aloe vera,Imaqe de Dia,Frasco,16 unidades,"1,20 €",Dia
Maquinilla depilación dos hojas,Imaqe de Dia,Bolsa,10 unidades,"2,00 €",Dia
Maquinilla depilación 3 hojas,Imaqe de Dia,Bolsa,4 unidades,"2,60 €",Dia
Maquinilla desechable mujer  Blue II,Gillette,Blister,5 unidades,"2,99 €",Dia
Crema depilatoria aloe vera,Imaqe de Dia,Bote,200 ml,"3,19 €",Dia
Maquinilla depilación recargable 5 hojas,Imaqe de Dia,Caja,1 unidad,"4,85 €",Dia
Cera depilatoria caliente,Imaqe de Dia,Bote,100 ml,"2,69 €",Dia
Bandas de cera depilatoria corporal aloe vera,Imaqe de Dia,Estuche,20 unidades,"1,65 €",Dia
Bandas de cera depilatoria facial,Veet,Caja,20 unidades,"4,95 €",Dia
Recambio maquinilla de depilación 5 hojas,Imaqe de Dia,Caja,2 unidades,"3,91 €",Dia
Maquinilla desechable mujer,Wilkinson,Blister,7 unidades,"3,55 €",Dia
Maquinilla confortglide spa breeze recambio  Venus,Gillette,Blister,4 unidades,"14,99 €",Dia
Maquinilla confortglide spa breeze  Venus,Gillette,Blister,1 unidad,"7,99 €",Dia
Crema depilatoria piel sensible,Veet,Tubo,200 ml,"4,99 €",Dia
Crema gel depilatoria hidratante,Body Natur,Tubo,200 ml,"3,45 €",Dia
Maquinilla desechable mujer,Wilkinson,Blister,8 unidades,"7,39 €",Dia
Bandas de cera depilatoria corporal,Veet,Caja,20 unidades,"5,49 €",Dia
Banda cera fría facial piel normal,Veet,Caja,16 unidades,"4,99 €",Dia
Gel crema depilatorio corporal piel sensible,Veet,Tubo,200 ml,"4,99 €",Dia
Crema depilatoria áreas sensibles + bálsamo post-depilación  Men,Veet,Caja,150 ml,"6,49 €",Dia
Crema depilatoria para axilas pieles sensibles,Veet,Tubo,100 ml,"4,99 €",Dia
Maquinilla desechable mujer,Wilkinson,Blister,4 unidades,"4,25 €",Dia
