producto,marca,formato,cantidad,precio,supermercado
Desodorante roll-on dermo algodón,Imaqe de Dia,Bote,50 ml,"0,85 €",Dia
Desodorante roll-on con extracto de rosa mosqueta,Imaqe de Dia,Bote,50 ml,"0,85 €",Dia
Desodorante dark temptation man,Imaqe de Dia,Spray,150 ml,"1,89 €",Dia
Desodorante roll-on invisible & antimanchas,Imaqe de Dia,Bote,50 ml,"0,85 €",Dia
Desodorante con extracto de rosa mosqueta,Imaqe de Dia,Spray,200 ml,"1,95 €",Dia
Desodorante roll-on dermo extra control,Sanex,Bote,50 ml,"2,19 €",Dia
Desodorante invisible black & white,Nivea,Spray,200 ml,"2,75 €",Dia
Desodorante roll-on advanced care original,Dove,Bote,50 ml,"2,49 €",Dia
Desodorante black and white,Imaqe de Dia,Spray,200 ml,"1,95 €",Dia
Desodorante roll-on dermo extra control duplo,Sanex,Bote,100 ml,"3,99 €",Dia
Desodorante roll-on sensitive,Byly,Bote,50 ml,"1,70 €",Dia
Desodorante invisible on black + white,Rexona,Spray,200 ml,"2,70 €",Dia
Desodorante roll-on invisible & antimanchas hombre,Imaqe de Dia,Bote,50 ml,"0,85 €",Dia
Desodorante invisible ice fresh,Rexona,Spray,200 ml,"2,70 €",Dia
Desodorante dark temptation duplo,Axe,Spray,300 ml,"7,29 €",Dia
Desodorante protege & cuida dermo algodón,Imaqe de Dia,Spray,200 ml,"1,95 €",Dia
Desodorante en barra original,Dove,Bote,40 ml,"3,65 €",Dia
Desodorante apollo man,Imaqe de Dia,Spray,150 ml,"1,89 €",Dia
Desodorante roll-on invisible for black & white,Nivea,Bote,50 ml,"2,15 €",Dia
Desodorante en barra negro,Tulipán Negro,Bote,75 ml,"2,39 €",Dia
Desodorante dry impact,Nivea,Spray,200 ml,"2,75 €",Dia
Desodorante cobalt blue,Rexona,Spray,200 ml,"2,70 €",Dia
Desodorante roll-on confort,Nivea,Bote,50 ml,"2,15 €",Dia
Desodorante BzRP black remixed,Axe,Spray,150 ml,"3,69 €",Dia
Desodorante original 0%,Dove,Spray,150 ml,"3,79 €",Dia
Desodorante roll-on dermo total protection,Sanex,Bote,50 ml,"2,25 €",Dia
Desodorante go fresh pepino y té verde,Dove,Spray,200 ml,"3,99 €",Dia
Desodorante advanced care original,Dove,Spray,200 ml,"3,99 €",Dia
Desodorante advanced care invisible,Dove,Spray,200 ml,"3,99 €",Dia
Desodorante roll-on + motionsense tropical,Rexona,Bote,50 ml,"2,15 €",Dia
Desodorante roll-on invisible,Dove,Bote,50 ml,"2,49 €",Dia
Desodorante copper santal,Axe,Spray,150 ml,"5,35 €",Dia
Desodorante aqua bergamot,Axe,Spray,150 ml,"5,35 €",Dia
