producto,marca,formato,cantidad,precio,supermercado
Crema activadora rizos perfectos,Imaqe de Dia,Botella,200 ml,"2,99 €",Dia
Espuma rizos definidos,Pantene,Spray,200 ml,"3,79 €",Dia
Gel fijación extrafuerte,Imaqe de Dia,Tubo,200 ml,"1,28 €",Dia
Laca fijación fuerte,Nelly,Spray,600 ml,"3,38 €",Dia
Gel efecto mojado,Imaqe de Dia,Tubo,200 ml,"1,28 €",Dia
Espuma hidra rizos,Fructis,Spray,300 ml,"3,49 €",Dia
Laca clásica,Nelly,Spray,600 ml,"3,38 €",Dia
Cera fijadora acabado mate,Imaqe de Dia,Bote,100 ml,"3,45 €",Dia
Protector térmico,Nelly,Spray,200 ml,"3,60 €",Dia
Espuma perfect volume,Pantene,Spray,200 ml,"3,79 €",Dia
Laca fijación ultra fuerte,Pantene,Spray,250 ml,"3,99 €",Dia
Gel fijador perfect fix 24 hrs extrafuerte,Giorgi line,Tubo,170 ml,"2,89 €",Dia
Laca fijación extrafuerte todo tipo de cabello,Fixpray,Spray,400 ml,"3,85 €",Dia
Espuma rizos perfectos,Imaqe de Dia,Spray,300 ml,"2,30 €",Dia
Cera fijadora brillo,Imaqe de Dia,Bote,100 ml,"3,45 €",Dia
Laca volumen perfecto,Pantene,Spray,250 ml,"4,19 €",Dia
Cera fijadora en gel ultra fuerte,Giorgi line,Bote,145 ml,"3,59 €",Dia
Laca fijación normal cabello seco/normal,Fixpray,Spray,400 ml,"3,85 €",Dia
Espuma extrafuerte,Imaqe de Dia,Spray,300 ml,"2,20 €",Dia
Gel fijador efecto húmedo extrafuerte,Amalfi,Tubo,150 ml,"1,55 €",Dia
Espuma rizos perfectos,Got2b,Bote,250 ml,"4,99 €",Dia
