producto,marca,formato,cantidad,precio,supermercado
Gel de ducha pomelo,Imaqe de Dia,Botella,400 ml,"1,40 €",Dia
Gel de ducha avena,Iberfrasa,Botella,1 l,"1,05 €",Dia
Gel de ducha mandarina,Imaqe de Dia,Botella,400 ml,"1,40 €",Dia
Gel de ducha almendras y miel,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha con leche de coco,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha dermo,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha vainilla y sándalo con nueces de macadamia,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Esponja de baño flor exfoliante,Imaqe de Dia,Bolsa,1 unidad,"0,85 €",Dia
Recambio gel de ducha zero,Imaqe de Dia,Bolsa,1 l,"1,59 €",Dia
Gel de ducha proteínas de la leche,Imaqe de Dia,Botella,1.5 l,"2,25 €",Dia
Gel de ducha avena,Instituto Español,Botella,1.25 l,"2,45 €",Dia
Gel de ducha clásico,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha thermal,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha aloe vera,Instituto Español,Botella,1.25 l,"2,45 €",Dia
Esponja de baño clásica,Imaqe de Dia,Bolsa,2 unidades,"1,30 €",Dia
Gel de baño hidratante,Natural Honey,Botella,675 ml,"2,29 €",Dia
Gel de ducha rosa y jazmín,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Gel de ducha clásico,Moussel,Botella,650 ml,"3,79 €",Dia
Gel de ducha glicerina,Imaqe de Dia,Botella,750 ml,"1,40 €",Dia
Esponja de baño doble acción,Imaqe de Dia,Bolsa,2 unidades,"1,30 €",Dia
Gel íntimo aloe vera,Carefree,Tubo,200 ml,"3,60 €",Dia
Gel de ducha con flor de azahar,Le petit marseillais,Botella,650 ml,"3,99 €",Dia
Gel de ducha energy moment,Natural Honey,Botella,600 ml,"2,45 €",Dia
Gel de ducha zen moment,Natural Honey,Botella,600 ml,"2,45 €",Dia
