producto,marca,formato,cantidad,precio,supermercado
Body milk reafirmante vitamina C y Q 10,Imaqe de Dia,Botella,400 ml,"1,95 €",Dia
Body milk nutritivo almendras y prebióticos,Imaqe de Dia,Botella,400 ml,"1,95 €",Dia
Body milk hidratante aloe vera y ácido hialurónico,Imaqe de Dia,Botella,400 ml,"1,95 €",Dia
Crema hidratante universal todo tipo de pieles,Nivea,Lata,250 ml,"3,75 €",Dia
Crema corporal regeneradora rosa mosqueta,Imaqe de Dia,Bote,250 ml,"2,60 €",Dia
Crema corporal nutritiva piel muy seca,Nivea,Botella,500 ml,"5,50 €",Dia
Aceite corporal argán,Imaqe de Dia,Botella,400 ml,"2,95 €",Dia
Crema reparadora para pies con urea,Imaqe de Dia,Tubo,125 ml,"1,20 €",Dia
Aceite corporal anticelulítico,Imaqe de Dia,Botella,100 ml,"3,50 €",Dia
Crema corporal aceite de oliva piel seca,Nivea,Botella,400 ml,"3,99 €",Dia
Crema corporal reparadora urea formato viaje,Instituto Español,Bote,30 ml,"1,00 €",Dia
Gel frío calmante para pies y piernas,Imaqe de Dia,Tubo,125 ml,"1,55 €",Dia
Aceite corporal aloe vera,Imaqe de Dia,Botella,400 ml,"2,55 €",Dia
Iluminador corporal perfumado,Imaqe de Dia,Botella,100 ml,"3,90 €",Dia
Crema de manos con vainilla,Imaqe de Dia,Tubo,50 ml,"1,00 €",Dia
Crema corporal reparadora urea piel seca,Instituto Español,Bote,400 ml,"3,85 €",Dia
Calcetín exfoliante para pies,Imaqe de Dia,Bolsa,2 unidades,"4,50 €",Dia
Manteca corporal nutritiva,Imaqe de Dia,Bote,200 ml,"4,99 €",Dia
Crema hidratante cara y cuerpo aloe,Tabaibaloe,Frasco,300 ml,"2,39 €",Dia
Crema de manos hidratante con aloe vera,Imaqe de Dia,Tubo,125 ml,"1,30 €",Dia
Crema hidratante intensiva,Nivea,Bote,375 ml,"5,95 €",Dia
Calcetín ultra hidratante para pies,Imaqe de Dia,Bolsa,2 unidades,"6,95 €",Dia
Body milk hidratante natural,Imaqe de Dia,Bote,250 ml,"3,99 €",Dia
Aceite corporal aromaterapia,Imaqe de Dia,Botella,250 ml,"3,50 €",Dia
Exfoliante corporal aromaterapia extracto de lavanda,Imaqe de Dia,Bote,250 ml,"4,30 €",Dia
Crema corporal aromaterapia,Imaqe de Dia,Botella,240 ml,"2,60 €",Dia
Crema corporal con vitaminas encapsuladas,Imaqe de Dia,Bote,250 ml,"2,95 €",Dia
Crema corporal hidratante con ceramidas,Imaqe de Dia,Bote,250 ml,"2,60 €",Dia
Crema corporal nutritiva oliva y péptidos,Imaqe de Dia,Bote,250 ml,"1,85 €",Dia
Crema exfoliante para pies piedra pómez,Imaqe de Dia,Tubo,125 ml,"1,90 €",Dia
Crema de manos natural reparadora,Imaqe de Dia,Tubo,75 ml,"1,99 €",Dia
Calcetín efecto frío hidratante,Iroha,Bolsa,2 unidades,"4,90 €",Dia
Crema corporal vitamina b 3,Babaria,Bote,400 ml,"3,20 €",Dia
Crema corporal vitamina c,Babaria,Bote,400 ml,"3,20 €",Dia
Leche corporal vitamina b 3,Babaria,Bote,500 ml,"2,99 €",Dia
Loción corporal revitalize,Natural Honey,Botella,400 ml,"4,89 €",Dia
Loción corporal nutritiva biomeprotect dermo,Sanex,Bote,360 ml,"4,99 €",Dia
Crema de manos con melocotón,Imaqe de Dia,Tubo,50 ml,"1,00 €",Dia
Crema de manos concentrada con urea,Imaqe de Dia,Tubo,75 ml,"1,30 €",Dia
Crema de manos nutritiva con karité,Imaqe de Dia,Tubo,125 ml,"1,30 €",Dia
Exfoliante corporal de mango,Body Natur,Bote,200 ml,"4,99 €",Dia
Exfoliante corporal de coco,Body Natur,Bote,200 ml,"4,99 €",Dia
Manteca corporal de mango,Body Natur,Bote,200 ml,"4,99 €",Dia
Loción corporal aloe vera piel normal-seca,Nivea,Botella,350 ml,"4,99 €",Dia
Leche corporal vitamina e,Babaria,Bote,500 ml,"3,15 €",Dia
Leche corporal vitamina c,Babaria,Bote,500 ml,"2,99 €",Dia
Crema de manos con aceite de coco y almendras,Dove,Tubo,75 ml,"3,25 €",Dia
Crema corporal coco,Babaria,Bote,400 ml,"3,50 €",Dia
Loción corporal emoliente,Kinesia,Bote,400 ml,"4,99 €",Dia
Aceite corporal piel perfecta formato viaje,Natural Honey,Bote,100 ml,"1,50 €",Dia
Loción corporal,Dove,Bote,200 ml,"4,25 €",Dia
Crema multiusos para hombres,Nivea,Lata,150 ml,"3,99 €",Dia
Bruma solar protege & refresca spf 50,Nivea,Spray,200 ml,"15,49 €",Dia
Leche solar protege & hidrata spf 30,Nivea,Bote,200 ml,"12,99 €",Dia
Gel crema anticelulítica + reafirmante Q 10,Nivea,Tubo,200 ml,"10,99 €",Dia
Leche corporal reparadora  Lactourea,Lactovit,Bote,400 ml,"4,89 €",Dia
Crema de manos antiedad para manos secas,Nivea,Tubo,100 ml,"3,69 €",Dia
Leche corporal nutritiva piel normal-seca,Lactovit,Bote,400 ml,"4,99 €",Dia
Loción corporal con karité piel seca,Dove,Bote,400 ml,"4,69 €",Dia
Loción corporal elixir de juventud,Natural Honey,Bote,330 ml,"4,50 €",Dia
Crema de manos aceite de oliva,Nivea,Tubo,100 ml,"2,09 €",Dia
Loción corporal hidratante piel normal/seca,Natural Honey,Bote,330 ml,"4,69 €",Dia
Loción corporal reafirmante energy piel normal,Nivea,Botella,400 ml,"5,75 €",Dia
Loción corporal intensiva piel extra seca,Dove,Bote,400 ml,"4,69 €",Dia
