producto,marca,formato,cantidad,precio,supermercado
Insecticida moscas y mosquitos perfumado,Aniquilax,Spray,750 ml,"2,49 €",Dia
Vela citronela Imaqe de,Dia,Vaso,1 unidad,"1,69 €",Dia
Insecticida moscas y mosquitos sin perfume,Aniquilax,Spray,750 ml,"2,49 €",Dia
Insecticida cucarachas y hormigas,Aniquilax,Spray,400 ml,"2,99 €",Dia
Trampa para hormigas,Casa Jardín,Caja,2 unidades,"2,90 €",Dia
Pastillas antipolillas ropa limpia,Aniquilax,Bolsa,24 unidades,"1,20 €",Dia
Trampa para cucarachas,Casa Jardín,Caja,6 unidades,"2,95 €",Dia
Colgador antipolillas ropa limpia,Aniquilax,Bolsa,2 unidades,"1,25 €",Dia
Bolas antipolillas lavanda,Orion,Bolsa,20 unidades,"2,79 €",Dia
Insecticida eléctrico antimosquitos difusor + recambio,Aniquilax,Caja,1 unidad,"3,75 €",Dia
Colgador antipolillas lavanda,Aniquilax,Bolsa,2 unidades,"1,25 €",Dia
Insecticida eléctrico antimosquitos recambio,Aniquilax,Caja,1 unidad,"2,49 €",Dia
Pastillas antipolillas lavanda,Aniquilax,Bolsa,24 unidades,"1,20 €",Dia
Insecticida eléctrico anti mosquitos aparato + recambio,Raid,Caja,1 unidad,"4,99 €",Dia
Insecticida eléctrico antimosquitos aparato + 2 recambios,Bloom,Caja,1 unidad,"7,99 €",Dia
Bolsita perfumada aroma lavanda,Dia,Bolsita,3 UD,"1,79 €",Dia
Trampa detectora de polillas de alimentos,Casa Jardín,Caja,2 unidades,"2,90 €",Dia
Insecticida multi insectos,Casa Jardín,Spray,400 ml,"5,10 €",Dia
Insecticida para exteriores,Casa Jardín,Spray,400 ml,"5,20 €",Dia
Insecticida eléctrico antimosquitos,Raid,Spray,1 unidad,"3,99 €",Dia
Gel post picadura con aloe vera,Bloom,Caja,1 unidad,"6,99 €",Dia
Insecticida eléctrico duplo 45 noches,Raid,Caja,2 unidades,"6,49 €",Dia
Insecticida total multi insectos,Bloom,Spray,400 ml,"7,99 €",Dia
Insecticida eléctrico anti mosquitos,Bloom,Caja,2 unidades,"7,99 €",Dia
Insecticida trampa cucarachas,Cucal,Caja,8 unidades,"5,99 €",Dia
