producto,marca,formato,cantidad,precio,supermercado
Jabón de manos líquido aloe vera,Imaqe de Dia,Bote,500 ml,"0,99 €",Dia
Recambio jabón de manos líquido aloe vera,Imaqe de Dia,Bolsa,500 ml,"1,99 €",Dia
Jabón de manos líquido oliva,Imaqe de Dia,Bote,500 ml,"0,79 €",Dia
Recambio jabón de manos líquido almendra y miel,Imaqe de Dia,Bolsa,500 ml,"1,30 €",Dia
Jabón de manos líquido almendra y miel,Imaqe de Dia,Bote,500 ml,"0,95 €",Dia
Jabón de manos líquido infantil,Planeta Junior de Dia,Bote,500 ml,"1,30 €",Dia
Jabón de manos líquido rosa y jazmín,Imaqe de Dia,Bote,500 ml,"1,30 €",Dia
Jabón de manos,Dove,Pastilla,2 x 90 g,"1,35 €",Dia
Jabón de manos delicate care 3 unidades,Palmolive,Pastilla,270 ml,"1,99 €",Dia
Jabón de manos líquido neutralizador de olores,Imaqe de Dia,Bote,500 ml,"2,29 €",Dia
Jabón de manos líquido glicerina,Imaqe de Dia,Bote,500 ml,"1,55 €",Dia
Jabón de manos líquido hidratante,Sanytol,Bote,250 ml,"1,35 €",Dia
Jabón de manos líquido dermo protector,Sanex,Bote,250 ml,"2,19 €",Dia
