producto,marca,formato,cantidad,precio,supermercado
Lavavajillas concentrado ultra,Super Paco de Dia,Botella,1 l,"1,46 €",Dia
Lavavajillas concentrado ultra,Super Paco de Dia,Botella,500 ml,"0,91 €",Dia
Lavavajillas,Super Paco de Dia,Botella,1.5 l,"1,27 €",Dia
Lavavajillas máquina todo en 1,Super Paco de Dia,Bolsa,40 lavados,"4,19 €",Dia
Lavavajillas mano concentrado ultra,Fairy,Botella,1.15 l,"4,79 €",Dia
Gel lavavajillas máquina todo en 1,Super Paco de Dia,Botella,720 ml,"3,55 €",Dia
Lavavajillas máquina classic,Super Paco de Dia,Caja,45 unidades,"3,99 €",Dia
Lavavajillas máquina todo en uno powerball,Finish,Bolsa,48 unidades,"12,99 €",Dia
Sal para lavavajillas,Super Paco de Dia,Bolsa,3 Kg,"1,69 €",Dia
Lavavajillas mano formula mejorada,Flota,Botella,1.1 l,"1,59 €",Dia
Lavavajillas mano concentrado dermo,Super Paco de Dia,Botella,1 l,"1,75 €",Dia
Lavavajillas máquina poder plus,Super Paco de Dia,Bolsa,25 unidades,"4,79 €",Dia
Ambientador lavavajillas aroma limón,Relevi,Blister,2 unidades,"1,55 €",Dia
Lavavajillas máquina ultra platinum,Fairy,Bolsa,35 unidades,"9,99 €",Dia
Limpiador para máquina lavavajillas,Finish,Botella,250 ml,"3,69 €",Dia
Lavavajillas mano ultra poder,Fairy,Botella,450 ml,"3,99 €",Dia
Lavavajillas mano concentrado aloe vera y pepino,Fairy,Botella,650 ml,"2,99 €",Dia
Abrillantador para máquina lavavajillas,Somat,Botella,500 ml,"3,99 €",Dia
Lavavajillas máquina powerball,Finish,Bolsa,36 unidades,"9,99 €",Dia
Lavavajillas mano concentrado limón,Super Paco de Dia,Botella,1 l,"1,75 €",Dia
Lavavajillas mano maxi poder anti-goteo,Fairy,Botella,370 ml,"3,99 €",Dia
Abrillantador para lavavajillas máquina,Finish,Botella,500 ml,"4,99 €",Dia
Lavavajillas máquina original limón,Fairy,Bolsa,41 unidades,"13,49 €",Dia
Lavavajillas máquina todo en 1 lima y limón  ,Somat,Botella,1.08 l,"9,99 €",Dia
Lavavajillas máquina ultimate plus,Finish,Bolsa,18 unidades,"9,99 €",Dia
Lavavajillas ultra plus,Mistol,Botella,650 ml,"2,69 €",Dia
Lavavajillas mano concentrado ultra poder,Fairy,Botella,1.015 l,"7,69 €",Dia
Lavavajillas máquina todo en 1 limón,Somat,Botella,640 ml,"6,89 €",Dia
Lavavajillas mano concentrado,Alin,Botella,750 ml,"1,49 €",Dia
Lavavajillas mano maxi poder anti-goteo,Fairy,Botella,440 ml,"4,49 €",Dia
Lavavajillas máquina 0% ,Finish,Bolsa,32 unidades,"9,99 €",Dia
Lavavajillas máquina excellence,Somat,Bolsa,20 unidades,"7,99 €",Dia
Lavavajillas mano concentrado extra higiene,Fairy,Botella,500 ml,"4,69 €",Dia
Lavavajillas máquina gel limón,Fairy,Botella,650 ml,"6,99 €",Dia
Lavavajillas máquina ultimate,Finish,Bolsa,15 unidades,"6,99 €",Dia
Sal para lavavajillas,Super Paco de Dia,Bolsa,2 Kg,"1,69 €",Dia
Lavavajillas máquina platinum plus limón,Fairy,Bolsa,16 unidades,"7,99 €",Dia
Lavavajillas mano concentrado ultra,Fairy,Botella,480 ml,"2,99 €",Dia
Lavavajillas máquina todo en uno limón,Finish,Botella,700 ml,"7,49 €",Dia
Lavavajillas máquina todo en uno power gel,Finish,Botella,700 ml,"7,49 €",Dia
Limpiamáquinas intensivo,Somat,Botella,250 ml,"3,99 €",Dia
Ambientador para lavavajillas deo perls,Somat,Blister,1 unidad,"3,99 €",Dia
Limpia lavavajillas,Somat,Blister,3 unidades,"3,89 €",Dia
Sal para lavavajillas,Finish,Caja,2 Kg,"4,99 €",Dia
