producto,marca,formato,cantidad,precio,supermercado
Leche infantil crecimiento con cereales,Puleva,Brik,1 l,"1,95 €",Dia
Leche peques 3 crecimiento con omega,Puleva,Brik,1 l,"1,95 €",Dia
Leche infantil 2 continuación,Nativa,Lata,800 g,"11,90 €",Dia
Leche infantil 1 inicio premium,Nidina,Lata,800 g,"14,95 €",Dia
Leche multifrutas,Puleva,Brik,3 x 200 ml,"1,95 €",Dia
Leche crecimiento,Puleva,Brik,1 l,"1,95 €",Dia
Leche infantil 2 continuación,Nidina,Lata,800 g,"17,95 €",Dia
Leche infantil 1 inicio,Nativa,Lata,800 g,"11,90 €",Dia
Leche crecimiento original + 12 meses,Nativa,Brik,1 l,"2,35 €",Dia
Bebida con cereales y cacao pack,Puleva,Brik,3 x 200 ml,"1,95 €",Dia
Leche infantil crecimiento con galleta maria,Nativa,Brik,1 l,"2,35 €",Dia
Leche infantil 2 classic Nutrasense,Hero Baby,Bote,800 g,"11,95 €",Dia
Leche infantil 1 inicio Nutrasense premium,Hero Baby,Bote,800 g,"16,95 €",Dia
Leche infantil 3 crecimiento,Nidina,Lata,800 g,"17,95 €",Dia
Leche de continuación,Nativa,Brik,1 l,"2,39 €",Dia
Leche infantil crecimiento con cereales,Nestlé,Brik,1 l,"2,35 €",Dia
Leche crecimiento con cereales + 12 meses,Nativa,Brik,1 l,"2,35 €",Dia
Leche crecimiento con galleta maría + 3 años,Nestlé,Brik,1 l,"2,29 €",Dia
