producto,marca,formato,cantidad,precio,supermercado
Lejía con detergente,Dia,Garrafa,2 l,"1,15 €",Dia
Lejía,Dia,Garrafa,5 l,"1,60 €",Dia
Lejía con detergente,Cloromax,Garrafa,2 l,"1,55 €",Dia
Lejía con detergente limón,Dia,Garrafa,2 l,"1,15 €",Dia
Amoniaco perfumado,Dia,Botella,1.5 l,"0,65 €",Dia
Lejía hogar  amarilla,Dia,Garrafa,2 l,"0,80 €",Dia
Lejía con detergente limón,Estrella,Botella,1.43 l,"2,65 €",Dia
Lejía densa hogar,Dia,Garrafa,2 l,"1,15 €",Dia
Amoniaco con detergente,Dia,Botella,1.5 l,"0,95 €",Dia
Lejía con detergente azul,Estrella,Botella,1.43 l,"2,65 €",Dia
Blanqueador,Blanco Nuclear,Sobres,120 g,"2,89 €",Dia
Lejía todo uso,Cloromax,Garrafa,5 l,"2,25 €",Dia
Aditivo desinfectante textil,Sanytol,Botella,500 ml,"2,99 €",Dia
Agua fuerte,Dia,Botella,1 l,"0,99 €",Dia
Quitamanchas,Vanish,Spray,750 ml,"3,39 €",Dia
Quitamanchas para ropa blanca,Vanish,Bote,450 g,"5,49 €",Dia
Quitamanchas oxy color,Neutrex,Botella,950 ml,"3,99 €",Dia
Quitamanchas oxy blanco puro,Neutrex,Botella,950 ml,"3,99 €",Dia
Quitamanchas experto en seco,Cebralin,Spray,200 ml,"3,99 €",Dia
Quitamanchas,Vanish,Botella,900 ml,"5,49 €",Dia
Aditivo desinfectante textil,Lysol,Botella,720 ml,"2,75 €",Dia
Quitamanchas para ropa de color,Vanish,Bote,450 g,"5,49 €",Dia
