producto,marca,formato,cantidad,precio,supermercado
Vinagre de limpieza,Riojavina,Botella,1 l,"1,15 €",Dia
Limpiador desinfectante multiusos,Sanytol,Spray,750 ml,"2,99 €",Dia
Limpiador oxígeno activo,Super Paco de Dia,Botella,1 l,"1,35 €",Dia
Limpiador multiusos,Super Paco de Dia,Spray,1 l,"1,30 €",Dia
Limpiador gel baño,Super Paco de Dia,Botella,1.5 l,"1,50 €",Dia
Toallitas limpiadoras multiusos,Super Paco de Dia,Bolsa,80 unidades,"1,99 €",Dia
Limpiamuebles cuidado experto madera classic,Pronto,Spray,250 ml,"2,89 €",Dia
Limpiamuebles,Hechicera,Spray,400 ml,"3,19 €",Dia
Limpiahogar pino con bioalcohol,Super Paco de Dia,Botella,1.5 l,"1,60 €",Dia
Limpiahogar ph neutro,Super Paco de Dia,Botella,1.5 l,"1,55 €",Dia
Limpiador multiusos con lejía,Sanicentro,Spray,750 ml,"2,05 €",Dia
Limpiador desinfectante limpiahogar,Sanytol,Botella,1.2 l,"3,19 €",Dia
Alcohol de limpieza perfumado,Super Paco de Dia,Spray,300 ml,"1,65 €",Dia
Desinfectante multiusos gerpostar plus,Asevi,Botella,750 ml,"2,55 €",Dia
Limpiador baño,Don Limpio,Botella,1.3 l,"3,99 €",Dia
Limpiador multiusos aroma lavanda,Ajax,Botella,1.25 l,"2,69 €",Dia
Limpiador multiusos,Sanicentro,Spray,750 ml,"2,29 €",Dia
Limpiador suciedad humedad,Cillit bang,Spray,750 ml,"5,05 €",Dia
Limpiador desinfectante cocinas,Sanytol,Spray,750 ml,"3,25 €",Dia
Limpiador desinfectante baños,Sanytol,Spray,750 ml,"3,25 €",Dia
Limpiador con bioalcohol aloe vera,Tenn,Botella,1.3 l,"3,65 €",Dia
Limpiador antical,Viakal,Spray,700 ml,"4,49 €",Dia
Limpiador antical,Viakal,Botella,750 ml,"4,49 €",Dia
Limpiador de baño ultra brillo y limpieza,Cillit bang,Spray,750 ml,"4,49 €",Dia
Limpiahogar universal con bioalcohol,Tenn,Botella,1.3 l,"3,65 €",Dia
Limpiador multiusos,Glassex,Spray,750 ml,"2,75 €",Dia
Limpiador multiusos con bioalcohol,Tenn,Spray,750 ml,"3,29 €",Dia
Limpiador quitagrasas cítrico con bioalcohol,Tenn,Spray,750 ml,"3,39 €",Dia
Desatascador baño acción turbo,Sanicentro,Botella,1 l,"3,99 €",Dia
Limpiador multiusos aire polar,Disiclin,Botella,1 l,"1,75 €",Dia
Limpiador multiusos concentrado silver,Disiclin,Botella,900 ml,"1,99 €",Dia
Limpiador multiusos concentrado gold,Disiclin,Botella,900 ml,"1,99 €",Dia
Limpiador desinfectante multiusos manzana,Sanytol,Spray,750 ml,"3,25 €",Dia
Recarga limpiador desinfectante multiusos eucaliptus,Sanytol,Bolsa,750 ml,"2,49 €",Dia
Desatascador de tuberías turbo,WC Net,Botella,1 l,"8,99 €",Dia
Limpiador desinfectante cocina frescor limón,Lysol,Spray,750 ml,"2,99 €",Dia
Limpiador de baño desinfectante sin lejía antical,Lysol,Spray,750 ml,"2,99 €",Dia
Desinfectante multiusos frescor manzana,Lysol,Spray,750 ml,"2,99 €",Dia
Limpiador de superficies universal,Ecocleox,Spray,500 ml,"3,99 €",Dia
Limpiador cocina/baño,Ecocleox,Spray,500 ml,"3,99 €",Dia
Limpiador cocina/baño,Ecocleox,Spray,500 ml,"3,99 €",Dia
Limpiador quitagrasas express,Don Limpio,Spray,720 ml,"3,99 €",Dia
Limpiador baño,Don Limpio,Spray,720 ml,"3,89 €",Dia
Limpiador multi desinfectante,Sanicentro,Botella,2 l,"2,49 €",Dia
Limpiador pino,Ajax,Botella,1.25 l,"2,69 €",Dia
Toallitas desinfectantes,Sanytol,Bolsa,30 unidades,"2,29 €",Dia
Limpiador multiusos,Cillit bang,Spray,1 l,"3,89 €",Dia
Limpiador de baño con bioalcohol,Tenn,Botella,1.3 l,"3,65 €",Dia
Limpiador multiusos,Cristasol,Spray,750 ml,"2,59 €",Dia
Limpiador multiusos básico aroma limón,Don Limpio,Botella,1.3 l,"3,99 €",Dia
